timestamp,edge_id,guard_relation,margin_channel,endpoint_status_combination,boundary_class,n_interior,endpoint_a_margin_pu,endpoint_b_margin_pu,endpoint_min_margin_pu,endpoint_max_margin_pu,s_e_pu,s_e_sign,predicted_midpoint_margin_pu,model_rmse_pu,failure_point_count,direct_angular_failure_count,cell_edge_failure_count,cap_role
2010-07-01 07:30:00,E0014,NONE,VMAX_MARGIN,REFLEX-REFLEX,VMAX30,9,3.28379000014145e-06,3.17069000010939e-06,3.17069000010939e-06,3.28379000014145e-06,-3.27217736779768e-05,NEGATIVE,-4.95320341936878e-06,1.86023068669366e-08,11,7,4,GEOMETRY_BOUND_ONLY_NOT_PRIMARY_FALSIFICATION_PATH
2010-07-01 07:30:00,E0015,NONE,VMAX_MARGIN,REFLEX-REFLEX,VMAX30,9,3.17069000010939e-06,7.66837000010234e-06,3.17069000010939e-06,7.66837000010234e-06,-4.91962465519122e-05,NEGATIVE,-6.87953163787218e-06,3.50749844597536e-08,12,8,4,GEOMETRY_BOUND_ONLY_NOT_PRIMARY_FALSIFICATION_PATH
2010-07-01 07:30:00,E0016,NONE,VMAX_MARGIN,REFLEX-REFLEX,VMAX30,9,7.66837000010234e-06,6.20877000012676e-06,6.20877000012676e-06,7.66837000010234e-06,-8.17479083115862e-05,NEGATIVE,-1.3498407077782e-05,7.7092543521495e-08,12,8,4,GEOMETRY_BOUND_ONLY_NOT_PRIMARY_FALSIFICATION_PATH
2010-07-01 07:30:00,E0017,ADJACENT_TO_GUARD_LIMITED_EDGE,VMAX_MARGIN,REFLEX-CONVEX,VMAX30,10,6.20877000012676e-06,8.06310000012189e-06,6.20877000012676e-06,8.06310000012189e-06,-0.000156077657727085,NEGATIVE,-3.18834794316469e-05,2.00003252500116e-07,13,9,4,GEOMETRY_BOUND_ONLY_NOT_PRIMARY_FALSIFICATION_PATH
2010-07-01 07:30:00,E0018,CROSSES_GUARD_LIMITED_RAY,VMAX_MARGIN,CONVEX-CONVEX,CLASS_TRANSITION,30,8.06310000012189e-06,0.02590872079,8.06310000012189e-06,0.02590872079,-0.00109166801386547,NEGATIVE,0.0126854749415337,3.30222316260906e-06,0,0,0,GEOMETRY_BOUND_ONLY_NOT_PRIMARY_FALSIFICATION_PATH
2010-07-01 07:30:00,E0018,CROSSES_GUARD_LIMITED_RAY,VMIN_MARGIN,CONVEX-CONVEX,CLASS_TRANSITION,30,0.0426880571939999,7.09042399993365e-06,7.09042399993365e-06,0.0426880571939999,0.00242731551840868,POSITIVE,0.0219544026886021,8.76342975672956e-06,0,0,0,GEOMETRY_BOUND_ONLY_NOT_PRIMARY_FALSIFICATION_PATH
2010-07-01 07:30:00,E0019,ADJACENT_TO_GUARD_LIMITED_EDGE,VMIN_MARGIN,CONVEX-CONVEX,VMIN18,10,7.09042399993365e-06,6.59974999994706e-06,6.59974999994706e-06,7.09042399993365e-06,0.000127444541885819,POSITIVE,3.87062224713951e-05,7.17982301365246e-08,0,0,0,GEOMETRY_BOUND_ONLY_NOT_PRIMARY_FALSIFICATION_PATH
2010-07-01 07:30:00,E0020,NONE,VMIN_MARGIN,CONVEX-CONVEX,VMIN18,9,6.59974999994706e-06,6.29450599998194e-06,6.29450599998194e-06,6.59974999994706e-06,9.24607370662281e-05,POSITIVE,2.95623122665215e-05,4.87284030484634e-08,0,0,0,GEOMETRY_BOUND_ONLY_NOT_PRIMARY_FALSIFICATION_PATH
2010-07-01 07:30:00,E0021,NONE,VMIN_MARGIN,CONVEX-CONVEX,VMIN18,10,6.29450599998194e-06,7.23199899999027e-06,6.29450599998194e-06,7.23199899999027e-06,7.02095544115641e-05,POSITIVE,2.43156411028771e-05,3.16543935356713e-08,0,0,0,GEOMETRY_BOUND_ONLY_NOT_PRIMARY_FALSIFICATION_PATH
2010-07-01 07:30:00,E0022,NONE,VMIN_MARGIN,CONVEX-CONVEX,VMIN18,11,7.23199899999027e-06,4.24141299992797e-06,4.24141299992797e-06,7.23199899999027e-06,5.55035382517483e-05,POSITIVE,1.96125905628962e-05,2.18905297222253e-08,0,0,0,GEOMETRY_BOUND_ONLY_NOT_PRIMARY_FALSIFICATION_PATH
