timestamp,edge_id,boundary_class,guard_relation,endpoint_status_combination,original_n_interior,original_g_e,original_interior_fractions,new_point_count,final_n_interior,final_g_e,final_interior_fractions,requested_count_note
2011-05-11 17:30:00,E0049,VMAX13,NONE,REFLEX-REFLEX,1,0.635784507213357,0.364215492786643,4,5,0.182107746393322,0.182107746393322;0.364215492786643;0.523161619589982;0.682107746393322;0.841053873196661,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-05-11 18:00:00,E0028,VMIN18,NONE,CONVEX-CONVEX,2,0.447220922773767,0.447220922773767;0.894152022016805,2,4,0.223610461386884,0.223610461386884;0.447220922773767;0.670686472395286;0.894152022016805,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-05-11 18:00:00,E0049,VMAX13,NONE,REFLEX-REFLEX,2,0.450150662947573,0.107876359112963;0.558027022060536,2,4,0.225075331473786,0.107876359112963;0.33295169058675;0.558027022060536;0.779013511030268,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-05-16 07:30:00,E0011,VMAX30,NONE,REFLEX-REFLEX,1,0.669206982815661,0.669206982815661,4,5,0.167301745703915,0.167301745703915;0.334603491407831;0.501905237111746;0.669206982815661;0.834603491407831,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-05-16 07:30:00,E0027,VMIN18,NONE,REFLEX-CONVEX,0,1,,3,3,0.25,0.25;0.5;0.75,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-05-16 07:30:00,E0036,VMIN33,NONE,CONVEX-CONVEX,2,0.671057534711431,0.328942465268855;0.999999999980286,4,6,0.167764383677858,0.164471232634428;0.328942465268855;0.496706848946713;0.664471232624571;0.832235616302428;0.999999999980286,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-05-16 07:30:00,E0051,VMAX13,NONE,CONVEX-REFLEX,0,1,,3,3,0.25,0.25;0.5;0.75,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-09-11 00:00:00,E0000,VMAX13,NONE,REFLEX-REFLEX,2,0.446930493391232,0.446930493391232;0.890309085432513,2,4,0.223465246695616,0.223465246695616;0.446930493391232;0.668619789411873;0.890309085432513,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-09-11 00:00:00,E0011,VMAX30,NONE,REFLEX-REFLEX,1,0.652023462023936,0.347976537976064,4,5,0.173988268988032,0.173988268988032;0.347976537976064;0.510982403482048;0.673988268988032;0.836994134494016,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-09-11 00:00:00,E0027,VMIN18,NONE,CONVEX-CONVEX,2,0.445902766947863,0.111360281929046;0.557263048876909,2,4,0.222951383473932,0.111360281929046;0.334311665402978;0.557263048876909;0.778631524438455,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-09-11 00:00:00,E0038,VMIN33,NONE,CONVEX-CONVEX,1,0.650182602485093,0.650182602485093,4,5,0.174908698757454,0.162545650621273;0.325091301242546;0.48763695186382;0.650182602485093;0.825091301242546,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-09-30 11:30:00,E0011,VMAX30,NONE,CONVEX-REFLEX,2,0.393375824573752,0.215343902552179;0.606624175426248,2,4,0.215343902552179,0.215343902552179;0.410984038989214;0.606624175426248;0.803312087713124,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-09-30 11:30:00,E0038,VMIN33,NONE,CONVEX-CONVEX,2,0.392192100562616,0.390212218590906;0.782404319153522,2,4,0.217595680846478,0.195106109295453;0.390212218590906;0.586308268872214;0.782404319153522,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-11-14 17:30:00,E0028,VMIN18,NONE,CONVEX-CONVEX,1,0.582122860418583,0.582122860418583,4,5,0.208938569790709,0.145530715104646;0.291061430209291;0.436592145313937;0.582122860418583;0.791061430209292,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2011-11-14 17:30:00,E0049,VMAX13,NONE,REFLEX-REFLEX,1,0.578113690336343,0.421886309663657,4,5,0.210943154831828,0.210943154831828;0.421886309663657;0.566414732247743;0.710943154831828;0.855471577415914,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2012-08-05 23:30:00,E0000,VMAX13,NONE,REFLEX-REFLEX,2,0.394249991813229,0.394249991813229;0.785387148889564,2,4,0.214612851110436,0.197124995906615;0.394249991813229;0.589818570351397;0.785387148889564,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2012-08-05 23:30:00,E0011,VMAX30,NONE,REFLEX-REFLEX,1,0.539534525125132,0.460465474874868,4,5,0.230232737437434,0.230232737437434;0.460465474874868;0.595349106156151;0.730232737437434;0.865116368718717,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2012-08-05 23:30:00,E0027,VMIN18,NONE,CONVEX-CONVEX,2,0.392460712431797,0.217871046023409;0.610331758455206,2,4,0.217871046023409,0.217871046023409;0.414101402239308;0.610331758455206;0.805165879227603,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
2012-08-05 23:30:00,E0038,VMIN33,NONE,CONVEX-CONVEX,1,0.537108393367163,0.537108393367163,4,5,0.231445803316419,0.134277098341791;0.268554196683581;0.402831295025372;0.537108393367163;0.768554196683581,TRUE_SET_HAS_41_EDGES_NOT_PROMPT_EXPECTATION_44
