timestamp,field,preregistration_value,canonical_s0_value,absolute_difference,pass,canonical_source_path,canonical_source_sha256,canonical_row_sha256,preregistered_source_sha256,preregistered_row_sha256
2011-02-05 18:00:00,Vmax_bus,1,1,,true,results/s0_full_period_baseline/s0_interval_metrics.csv,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,9680bde17c4cb03265393ea25f9a1c93eb4ed9ecc3fc8218bc7c29c1e33fa0d3,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,9680bde17c4cb03265393ea25f9a1c93eb4ed9ecc3fc8218bc7c29c1e33fa0d3
2011-02-05 18:00:00,operational_feasibility_090_105,true,true,,true,results/s0_full_period_baseline/s0_interval_metrics.csv,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,9680bde17c4cb03265393ea25f9a1c93eb4ed9ecc3fc8218bc7c29c1e33fa0d3,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,9680bde17c4cb03265393ea25f9a1c93eb4ed9ecc3fc8218bc7c29c1e33fa0d3
2011-02-05 18:00:00,numerical_validation_status,true,true,,true,results/s0_full_period_baseline/s0_interval_metrics.csv,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,9680bde17c4cb03265393ea25f9a1c93eb4ed9ecc3fc8218bc7c29c1e33fa0d3,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,9680bde17c4cb03265393ea25f9a1c93eb4ed9ecc3fc8218bc7c29c1e33fa0d3
2012-08-31 11:30:00,timestamp,2012-08-31 11:30:00,2012-08-31 11:30:00,,true,results/s0_full_period_baseline/s0_interval_metrics.csv,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a
2012-08-31 11:30:00,Vmin,0.985721017599078,0.985721017599078,0,true,results/s0_full_period_baseline/s0_interval_metrics.csv,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a
2012-08-31 11:30:00,Vmin_bus,18,18,,true,results/s0_full_period_baseline/s0_interval_metrics.csv,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a
2012-08-31 11:30:00,Vmax,1,1,0,true,results/s0_full_period_baseline/s0_interval_metrics.csv,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a
2012-08-31 11:30:00,Vmax_bus,1,1,,true,results/s0_full_period_baseline/s0_interval_metrics.csv,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a
2012-08-31 11:30:00,operational_feasibility_090_105,true,true,,true,results/s0_full_period_baseline/s0_interval_metrics.csv,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a
2012-08-31 11:30:00,numerical_validation_status,true,true,,true,results/s0_full_period_baseline/s0_interval_metrics.csv,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a
