iteration,active_before,active_after,accepted_start_count,best_start_name,objective_kw,c13_kw,c20_kw,c24_kw,c30_kw,replay_count,replay_failure_count,violating_count,max_violation_pu,added_indices,stop_reason,start_summary
1,3,4,13,"random_2_scaled",10697.020590558497,739.50790708689,4680.801724323103,3990.3763684966207,1286.3345906518819,144,0,1,0.00034932726930787415,"8330","","zero_pv:LOCALLY_SOLVED:true:10697.020590558488;uniform_small:LOCALLY_SOLVED:true:10697.02059055847;uniform_medium:LOCALLY_SOLVED:true:10697.020590558484;uniform_near_boundary:LOCALLY_SOLVED:true:10697.020590558486;prior_socp_pattern_scaled:LOCALLY_SOLVED:true:10697.020590558483;tilt_bus13_scaled:LOCALLY_SOLVED:true:10697.020590558484;tilt_bus20_scaled:LOCALLY_SOLVED:true:10697.020590558484;tilt_bus24_scaled:LOCALLY_SOLVED:true:10697.020590558483;tilt_bus30_scaled:LOCALLY_SOLVED:true:10697.020590558493;random_1_scaled:LOCALLY_SOLVED:true:10697.020590558483;random_2_scaled:LOCALLY_SOLVED:true:10697.020590558497;random_3_scaled:LOCALLY_SOLVED:true:10697.020590558495;random_4_scaled:LOCALLY_SOLVED:true:10697.020590558495"
2,4,4,14,"uniform_near_boundary",10680.484846153431,733.6402572816077,4681.670271371973,3988.773998169411,1276.4003193304388,144,0,0,0.0,"","converged","previous_active_set_best:LOCALLY_SOLVED:true:10680.484846153411;zero_pv:LOCALLY_SOLVED:true:10680.484846153417;uniform_small:LOCALLY_SOLVED:true:10680.484846153426;uniform_medium:LOCALLY_SOLVED:true:10680.484846153415;uniform_near_boundary:LOCALLY_SOLVED:true:10680.484846153431;prior_socp_pattern_scaled:LOCALLY_SOLVED:true:10680.484846153424;tilt_bus13_scaled:LOCALLY_SOLVED:true:10680.484846153417;tilt_bus20_scaled:LOCALLY_SOLVED:true:10680.484846153422;tilt_bus24_scaled:LOCALLY_SOLVED:true:10680.484846153418;tilt_bus30_scaled:LOCALLY_SOLVED:true:10680.484846153411;random_1_scaled:LOCALLY_SOLVED:true:10680.484846153422;random_2_scaled:LOCALLY_SOLVED:true:10680.484846153431;random_3_scaled:LOCALLY_SOLVED:true:10680.484846153431;random_4_scaled:LOCALLY_SOLVED:true:10680.484846153422"
