timestamp,cell_id,convex,nondegenerate,area_before_kw2,area_after_kw2,area_loss_kw2,facet_count_before,facet_count_after
2010-07-01 07:30:00,8,true,true,282246.352076889,280610.573260924,1635.77881596505,3,3
2010-07-01 07:30:00,10,true,true,151780.347625911,150969.949579032,810.398046878778,3,3
2010-07-01 07:30:00,2,true,true,204072.74386408,202845.353451357,1227.39041272301,3,3
2010-07-01 07:30:00,20,true,true,268403.791718899,266685.0362408,1718.75547809887,3,3
2010-07-01 07:30:00,4,true,true,499259.811961683,496089.609909856,3170.20205182623,5,5
2010-07-01 07:30:00,1,true,true,208687.080154203,207433.323961437,1253.75619276601,3,3
2010-07-01 07:30:00,3,true,true,212897.780670088,211613.796328983,1283.98434110516,3,3
2010-07-01 07:30:00,17,true,true,223345.254811318,221888.361668199,1456.89314311853,3,3
2010-07-01 07:30:00,18,true,true,185741.385613333,184610.007860257,1131.37775307614,3,3
2010-07-01 07:30:00,12,true,true,245651.65259759,244251.704614594,1399.94798299589,3,3
2010-07-01 07:30:00,15,true,true,8541819.26097051,8518679.15513859,23140.1058319211,26,26
2010-07-01 07:30:00,19,true,true,159646.556080077,158531.380110057,1115.17597001995,4,4
2010-07-01 07:30:00,0,true,true,228061.888479145,226691.222231298,1370.66624784749,3,3
2010-07-01 07:30:00,5,true,true,246853.745121863,245499.949987302,1353.79513456079,3,3
2010-07-01 07:30:00,16,true,true,279918.29765264,277957.261302493,1961.0363501471,3,3
2010-07-01 07:30:00,11,true,true,207237.44644329,206068.441831256,1169.00461203489,3,3
2010-07-01 07:30:00,14,true,true,2669658.19454865,2660503.48190838,9154.71264026547,6,6
2010-07-01 07:30:00,9,true,true,188816.866181899,187815.062819428,1001.80336247131,4,4
2010-07-01 07:30:00,6,true,true,241752.011082449,240424.416809522,1327.5942729268,3,3
2010-07-01 07:30:00,7,true,true,252527.305614649,251135.785119637,1391.52049501188,3,3
2010-07-01 07:30:00,13,true,true,302153.557846432,300318.446161628,1835.11168480397,3,3
2010-07-03 00:00:00,9,true,true,262675.526102983,261321.730391916,1353.79571106669,3,3
2010-07-03 00:00:00,12,true,true,243748.004098777,242465.540486934,1282.46361184347,3,3
2010-07-03 00:00:00,4,true,true,606998.31273614,603801.530212982,3196.78252315766,5,5
2010-07-03 00:00:00,18,true,true,283937.928278544,282278.947993215,1658.98028532846,3,3
2010-07-03 00:00:00,14,true,true,358435.374649768,356301.943606646,2133.43104312243,3,3
2010-07-03 00:00:00,13,true,true,289943.144932743,288397.223615366,1545.92131737643,3,3
2010-07-03 00:00:00,2,true,true,255629.084202491,254257.717014472,1371.36718801907,3,3
2010-07-03 00:00:00,8,true,true,67123.0437184359,66794.7106534222,328.333065013721,3,3
2010-07-03 00:00:00,1,true,true,261699.723081051,260297.312939382,1402.41014166907,3,3
2010-07-03 00:00:00,10,true,true,188013.540030642,187039.335131381,974.204899261065,3,3
2010-07-03 00:00:00,22,true,true,53425.6230069594,53156.9381561445,268.684850814869,3,3
2010-07-03 00:00:00,0,true,true,286496.509504458,284960.395368999,1536.11413545976,3,3
2010-07-03 00:00:00,6,true,true,281411.541735991,279975.432632707,1436.10910328315,3,3
2010-07-03 00:00:00,17,true,true,358086.215569317,355706.345597082,2379.86997223552,3,3
2010-07-03 00:00:00,15,true,true,2442496.04489608,2436584.2784365,5911.76645957725,6,6
2010-07-03 00:00:00,7,true,true,294451.712474426,292944.386203587,1507.32627083978,3,3
2010-07-03 00:00:00,21,true,true,284481.864765201,282950.719977332,1531.14478786982,3,3
2010-07-03 00:00:00,3,true,true,266492.766019421,265058.206975984,1434.55904343649,3,3
2010-07-03 00:00:00,5,true,true,286906.73114327,285445.087111463,1461.64403180638,3,3
2010-07-03 00:00:00,11,true,true,211334.118575159,210232.394020682,1101.72455447784,3,3
2010-07-03 00:00:00,16,true,true,8175636.54557024,8146992.66206682,28643.8835034193,27,27
2010-07-03 00:00:00,19,true,true,235196.753737803,233915.88835778,1280.86538002314,3,3
2010-07-03 00:00:00,20,true,true,201550.901691422,200461.057820712,1089.84387071017,3,3
2010-11-26 18:00:00,16,true,true,8041404.96451074,8017272.55698384,24132.4075268982,27,27
2010-11-26 18:00:00,4,true,true,583969.020179112,581612.900475017,2356.11970409437,5,5
2010-11-26 18:00:00,8,true,true,155941.196932848,155127.618389308,813.578543539392,3,3
2010-11-26 18:00:00,2,true,true,244586.350801417,243244.242234718,1342.10856669987,3,3
2010-11-26 18:00:00,5,true,true,278443.693497219,277004.315921518,1439.37757570046,3,3
2010-11-26 18:00:00,11,true,true,204669.561225306,203586.151551236,1083.40967407072,3,3
2010-11-26 18:00:00,14,true,true,346291.943007563,344205.315710422,2086.62729714176,3,3
