registry_id,timestamp,p13_abs_kw,p30_abs_kw,first_membership_id
REG_000065,2010-07-01 07:30:00,-1477.23626751051,1230.0708250211,CAL_000350
REG_000066,2010-07-01 07:30:00,-1471.11840204863,3381.70067373494,CAL_000280
REG_000067,2010-07-01 07:30:00,-1470.11646249662,1202.52791326192,CAL_000351
REG_000068,2010-07-01 07:30:00,-1463.07508533694,1175.28839906258,CAL_000352
REG_000069,2010-07-01 07:30:00,-1456.10979221553,1148.34321538895,CAL_000353
REG_000070,2010-07-01 07:30:00,-1450.65781383441,3400.46612024542,CAL_000279
REG_000071,2010-07-01 07:30:00,-1449.21831262962,1121.68357881817,CAL_000354
REG_000072,2010-07-01 07:30:00,-1442.3984462,1095.3009772,CAL_000355
REG_000073,2010-07-01 07:30:00,-1435.43333747168,1069.13546318301,CAL_000357
REG_000074,2010-07-01 07:30:00,-1430.27287917302,3419.16218103324,CAL_000278
REG_000075,2010-07-01 07:30:00,-1428.53934437426,1043.23710609201,CAL_000358
REG_000076,2010-07-01 07:30:00,-1421.71434907474,1017.59794995807,CAL_000359
REG_000077,2010-07-01 07:30:00,-1414.95629673614,992.210275466468,CAL_000360
REG_000078,2010-07-01 07:30:00,-1409.96009121538,3437.79207240816,CAL_000277
REG_000079,2010-07-01 07:30:00,-1408.26319283299,967.066589872176,CAL_000361
REG_000080,2010-07-01 07:30:00,-1401.63310059393,942.159617392353,CAL_000362
REG_000081,2010-07-01 07:30:00,-1395.06413856358,917.482290047389,CAL_000363
REG_000082,2010-07-01 07:30:00,-1389.71598979566,3456.35896786428,CAL_000276
REG_000083,2010-07-01 07:30:00,-1388.55447827722,893.027738925165,CAL_000364
REG_000084,2010-07-01 07:30:00,-1382.10234204168,868.789285844867,CAL_000365
REG_000085,2010-07-01 07:30:00,-1375.70600081676,844.76043539813,CAL_000366
REG_000086,2010-07-01 07:30:00,-1369.53715896619,3474.86600034105,CAL_000275
REG_000087,2010-07-01 07:30:00,-1369.36377219153,820.934867346665,CAL_000367
REG_000088,2010-07-01 07:30:00,-1363.07401845029,797.306429356796,CAL_000368
REG_000089,2010-07-01 07:30:00,-1356.83514472334,773.869130052473,CAL_000369
REG_000090,2010-07-01 07:30:00,-1350.64559721789,750.617132369495,CAL_000370
REG_000091,2010-07-01 07:30:00,-1349.42022459379,3493.31626442767,CAL_000274
REG_000092,2010-07-01 07:30:00,-1344.50386152487,727.544747194646,CAL_000371
REG_000093,2010-07-01 07:30:00,-1338.40846099742,704.646427274425,CAL_000372
REG_000094,2010-07-01 07:30:00,-1332.35795519739,681.916761378939,CAL_000373
REG_000095,2010-07-01 07:30:00,-1329.36185201416,3511.71281851444,CAL_000273
REG_000096,2010-07-01 07:30:00,-1326.35093840611,659.350468707372,CAL_000374
REG_000097,2010-07-01 07:30:00,-1320.38603819601,636.942393522189,CAL_000375
REG_000098,2010-07-01 07:30:00,-1314.46191406,614.6875,CAL_000376
REG_000099,2010-07-01 07:30:00,-1309.35874374046,3530.05868689434,CAL_000272
REG_000100,2010-07-01 07:30:00,-1308.34938868872,592.583728192864,CAL_000377
REG_000101,2010-07-01 07:30:00,-1302.27809408421,570.629052774666,CAL_000378
REG_000102,2010-07-01 07:30:00,-1296.24669895543,548.818659605319,CAL_000379
REG_000103,2010-07-01 07:30:00,-1290.25390152935,527.147841286142,CAL_000380
REG_000104,2010-07-01 07:30:00,-1289.40763722281,3548.35686181785,CAL_000271
REG_000105,2010-07-01 07:30:00,-1284.29842832638,505.611992731557,CAL_000381
REG_000106,2010-07-01 07:30:00,-1278.37903298223,484.206606908877,CAL_000382
REG_000107,2010-07-01 07:30:00,-1272.4944951139,462.927270737437,CAL_000383
REG_000108,2010-07-01 07:30:00,-1269.50530266,3566.6103055,CAL_000270
REG_000109,2010-07-01 07:30:00,-1269.50530264943,3566.6103054942,CAL_000269
REG_000110,2010-07-01 07:30:00,-1266.64361922737,441.769661138733,CAL_000384
REG_000111,2010-07-01 07:30:00,-1260.8252336649,420.729541229706,CAL_000385
REG_000112,2010-07-01 07:30:00,-1255.03818958987,399.8027566517,CAL_000386
REG_000113,2010-07-01 07:30:00,-1249.28136000712,378.985232027993,CAL_000387
REG_000114,2010-07-01 07:30:00,-1243.55363881706,358.272967543194,CAL_000388
REG_000115,2010-07-01 07:30:00,-1237.85393990164,337.662035638075,CAL_000389
REG_000116,2010-07-01 07:30:00,-1232.18119624061,317.148577813789,CAL_000390
