timestamp,control_id,control_category,expected_status,observed_status,vmin_pu,vmax_pu,retry_count,classification_match
2010-07-01 07:30:00,CTRL_T001_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.987014533504517,1,0,true
2010-07-01 07:30:00,CTRL_T001_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.987389114265364,1.04999843865105,0,true
2010-07-01 07:30:00,CTRL_T001_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900008795502725,1,0,true
2010-07-01 07:30:00,CTRL_T001_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.987390917398407,1.05000444923109,0,true
2010-07-02 17:30:00,CTRL_T002_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.98575714363313,1.0010128367433,0,true
2010-07-02 17:30:00,CTRL_T002_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.972944311520269,1.04999679378466,0,true
2010-07-02 17:30:00,CTRL_T002_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900004572807036,1,0,true
2010-07-02 17:30:00,CTRL_T002_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.972947891240939,1.05000863103061,0,true
2010-07-02 18:00:00,CTRL_T003_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.986291948169605,1,0,true
2010-07-02 18:00:00,CTRL_T003_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.975071160469231,1.04999458991875,0,true
2010-07-02 18:00:00,CTRL_T003_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.90000406179447,1,0,true
2010-07-02 18:00:00,CTRL_T003_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.97507474405501,1.05000645407911,0,true
2010-07-03 00:00:00,CTRL_T004_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.982092916814027,1,0,true
2010-07-03 00:00:00,CTRL_T004_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.997902209940975,1.0499902277007,0,true
2010-07-03 00:00:00,CTRL_T004_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900007825030084,1,0,true
2010-07-03 00:00:00,CTRL_T004_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.99790319694639,1.05000241623881,0,true
2010-11-26 18:00:00,CTRL_T005_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.983272807572838,1,0,true
2010-11-26 18:00:00,CTRL_T005_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.99679081211175,1.04999277367556,0,true
2010-11-26 18:00:00,CTRL_T005_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900005349289621,1,0,true
2010-11-26 18:00:00,CTRL_T005_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.996791796863237,1.05000492740086,0,true
2010-12-21 11:30:00,CTRL_T006_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.979876134826365,1,0,true
2010-12-21 11:30:00,CTRL_T006_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.999276273839823,1.04999408449935,0,true
2010-12-21 11:30:00,CTRL_T006_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900000572660262,1,0,true
2010-12-21 11:30:00,CTRL_T006_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.999276351639806,1.05000020685904,0,true
2010-12-21 12:00:00,CTRL_T007_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.980030405867534,1,0,true
2010-12-21 12:00:00,CTRL_T007_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.999238391571902,1.04999497631896,0,true
2010-12-21 12:00:00,CTRL_T007_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900004940887312,1,0,true
2010-12-21 12:00:00,CTRL_T007_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.999238469348305,1.0500010967574,0,true
2011-01-21 18:00:00,CTRL_T008_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.98488242483607,1,0,true
2011-01-21 18:00:00,CTRL_T008_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.993241700585818,1.0499992527025,0,true
2011-01-21 18:00:00,CTRL_T008_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900005568328001,1,0,true
2011-01-21 18:00:00,CTRL_T008_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.993243509237639,1.05000530105387,0,true
2011-02-05 11:30:00,CTRL_T009_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.985312707803485,1.00208070208512,0,true
2011-02-05 11:30:00,CTRL_T009_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.971170915135795,1.04999024614673,0,true
2011-02-05 11:30:00,CTRL_T009_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900002599373861,1,0,true
2011-02-05 11:30:00,CTRL_T009_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.971174491737456,1.05000206126947,0,true
2011-02-05 17:30:00,CTRL_T010_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.982218532555622,1.00948209616851,0,true
2011-02-05 17:30:00,CTRL_T010_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.958764531420186,1.0499911104475,0,true
2011-02-05 17:30:00,CTRL_T010_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900002757615736,1,0,true
2011-02-05 17:30:00,CTRL_T010_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.958768086142601,1.05000277082411,0,true
2011-02-05 18:00:00,CTRL_T011_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.981808691514337,1.01046153704617,0,true
2011-02-05 18:00:00,CTRL_T011_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.957109826715272,1.04999461944247,0,true
2011-02-05 18:00:00,CTRL_T011_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.90000696196737,1,0,true
2011-02-05 18:00:00,CTRL_T011_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.957111602641953,1.05000043939329,0,true
2011-02-06 00:00:00,CTRL_T012_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.987136108395725,1,0,true
2011-02-06 00:00:00,CTRL_T012_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.98706353361905,1.04999591529574,0,true
2011-02-06 00:00:00,CTRL_T012_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900001350054533,1,0,true
2011-02-06 00:00:00,CTRL_T012_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.987067139272395,1.05000793226671,0,true
2011-03-04 18:00:00,CTRL_T013_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.983271892894055,1,0,true
2011-03-04 18:00:00,CTRL_T013_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.99679270114426,1.04999720530606,0,true
2011-03-04 18:00:00,CTRL_T013_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900002667716398,1,0,true
2011-03-04 18:00:00,CTRL_T013_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.996793685887336,1.05000935895477,0,true
2011-03-08 11:30:00,CTRL_T014_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.979820745674356,1,0,true
2011-03-08 11:30:00,CTRL_T014_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.999292004617208,1.04999962633676,0,true
2011-03-08 11:30:00,CTRL_T014_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900009055308175,1,0,true
2011-03-08 11:30:00,CTRL_T014_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.999292082425711,1.05000574940671,0,true
2011-03-08 12:30:00,CTRL_T015_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.980286975319578,1,0,true
2011-03-08 12:30:00,CTRL_T015_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.999174144885074,1.04999976499104,0,true
2011-03-08 12:30:00,CTRL_T015_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900002689139893,1,0,true
2011-03-08 12:30:00,CTRL_T015_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.999174222620767,1.05000588212287,0,true
2011-05-11 17:30:00,CTRL_T016_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.987849352130669,1,0,true
2011-05-11 17:30:00,CTRL_T016_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.981251906043556,1.04999981490899,0,true
2011-05-11 17:30:00,CTRL_T016_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900006461248465,1,0,true
2011-05-11 17:30:00,CTRL_T016_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.98125370346986,1.05000578617905,0,true
2011-05-11 18:00:00,CTRL_T017_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.987755413546379,1,0,true
2011-05-11 18:00:00,CTRL_T017_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.980878699557528,1.0499917693233,0,true
2011-05-11 18:00:00,CTRL_T017_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900002755761933,1,0,true
2011-05-11 18:00:00,CTRL_T017_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.98088229377707,1.0500037072765,0,true
2011-05-16 07:30:00,CTRL_T018_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.985221782008319,1,0,true
2011-05-16 07:30:00,CTRL_T018_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.992324440626061,1.0499977799888,0,true
2011-05-16 07:30:00,CTRL_T018_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900006090465268,1,0,true
2011-05-16 07:30:00,CTRL_T018_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.992328056172765,1.05000986476884,0,true
2011-09-11 00:00:00,CTRL_T019_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.980723979471463,1,0,true
2011-09-11 00:00:00,CTRL_T019_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.999014834024032,1.04999788396302,0,true
2011-09-11 00:00:00,CTRL_T019_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.90000709047817,1,0,true
2011-09-11 00:00:00,CTRL_T019_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.99901532864291,1.05000399557532,0,true
2011-09-30 05:30:00,CTRL_T020_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.97932553970003,1,0,true
2011-09-30 05:30:00,CTRL_T020_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.999414516827824,1.04999371993789,0,true
2011-09-30 05:30:00,CTRL_T020_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900004290640883,1,0,true
2011-09-30 05:30:00,CTRL_T020_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.999414672597255,1.05000597850849,0,true
2011-09-30 11:30:00,CTRL_T021_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.980486561652391,1,0,true
2011-09-30 11:30:00,CTRL_T021_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.999124032515175,1.04999666104379,0,true
2011-09-30 11:30:00,CTRL_T021_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900007940143158,1,0,true
2011-09-30 11:30:00,CTRL_T021_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.999124187924694,1.05000889026534,0,true
2011-11-14 17:30:00,CTRL_T022_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.987827971461018,1,0,true
2011-11-14 17:30:00,CTRL_T022_VMAX_IN,KNOWN_FEASIBLE_INWARD_VMAX,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.981166324477087,1.04999571593792,0,true
2011-11-14 17:30:00,CTRL_T022_VMIN_IN,KNOWN_FEASIBLE_INWARD_VMIN,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.900006273074433,1,0,true
2011-11-14 17:30:00,CTRL_T022_OUTWARD,KNOWN_CONVERGED_INFEASIBLE_OUTWARD_PHYSICAL_ENDPOINT,CONVERGED_INFEASIBLE,CONVERGED_INFEASIBLE,0.981169919185252,1.05000765743335,0,true
2011-11-14 19:30:00,CTRL_T023_CENTER,CERTIFIED_PRODUCTION_CENTER,CONVERGED_FEASIBLE,CONVERGED_FEASIBLE,0.987430884750308,1,0,true
