attempt_id,logical_call_id,attempt_index,phase,timestamp,edge_id,calibration_id,d_kw,p13_abs_kw,p30_abs_kw,initialization,solver_status,primary_power_flow_status,replay_status,vmin_pu,vmin_bus,vmax_pu,vmax_bus,maximum_residual,primary_replay_voltage_difference_pu,primary_iterations,replay_iterations,runtime_ms
ATT_T001_000019_1,CALL_T001_000019,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000008,4,1804.24488558727,732.793540111838,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994389084998293,25,1.0498412404448,13,8.99550722970333e-15,1.14130926931466e-13,23,25,0.1274
ATT_T001_000020_1,CALL_T001_000020,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000009,4,1799.02644480288,749.364520484241,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994430247689024,25,1.04984199290514,13,8.91270602607382e-15,1.13686837721616e-13,23,25,0.13
ATT_T001_000021_1,CALL_T001_000021,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000010,4,1793.84171938694,765.828438856403,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994471075493669,25,1.04984247459684,13,8.83004989809289e-15,1.12798659301916e-13,23,25,0.1533
ATT_T001_000022_1,CALL_T001_000022,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000012,4,1783.56900699762,798.449085982296,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994551767062025,25,1.04984264842408,13,8.66518946810144e-15,1.10134124042816e-13,23,25,0.1584
ATT_T001_000023_1,CALL_T001_000023,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000013,4,1778.47887461095,814.612627422671,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994591650493918,25,1.049842351244,13,8.51264284671704e-15,1.0946799022804e-13,23,25,0.1477
ATT_T001_000024_1,CALL_T001_000024,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000014,4,1773.41816481836,830.682738421049,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994631238397122,25,1.04984180468554,13,8.52618406106157e-15,1.08357767203415e-13,23,25,0.1417
ATT_T001_000025_1,CALL_T001_000025,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000015,4,1768.38585901123,846.662653534295,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994670540011806,25,1.04984101344781,13,8.36600427420295e-15,1.0813572259849e-13,23,25,0.1271
ATT_T001_000026_1,CALL_T001_000026,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000016,4,1763.380958589,862.555543784363,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994709564358,25,1.04983998198998,13,8.30239742975467e-15,1.0680345496894e-13,23,25,0.1293
ATT_T001_000027_1,CALL_T001_000027,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000017,4,1758.40248410279,878.364519377662,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994748320244672,25,1.04983871454017,13,8.23888392301613e-15,1.0635936575909e-13,23,25,0.1479
ATT_T001_000028_1,CALL_T001_000028,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000018,4,1753.44947442873,894.092632330269,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994786816278431,25,1.04983721510371,13,8.16912946887445e-15,1.0547118733939e-13,23,25,0.127
ATT_T001_000029_1,CALL_T001_000029,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000019,4,1748.52098596926,909.74287900393,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994825060871894,25,1.04983548747101,13,8.10581912942707e-15,1.04805053524615e-13,23,25,0.1265
ATT_T001_000030_1,CALL_T001_000030,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0000,CAL_000020,4,1743.6160918812,925.318202557537,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.99486306225172,25,1.04983353522498,13,8.04892550849339e-15,1.0369483049999e-13,23,25,0.1263
ATT_T001_000031_1,CALL_T001_000031,1,LOCAL_REENTRY_STENCIL,2010-07-01 07:30:00,E0000,CAL_000011,4.25,1788.45114597452,782.113720109766,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994510572758232,25,1.04983249522068,13,8.74120257115061e-15,1.11466391672366e-13,23,25,0.2151
ATT_T001_000032_1,CALL_T001_000032,1,LOCAL_REENTRY_STENCIL,2010-07-01 07:30:00,E0000,CAL_000011,3.75,1788.9280569909,782.263906269093,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994512584481767,25,1.04985288710898,13,8.76022645420916e-15,1.12132525487141e-13,23,25,0.1384
ATT_T001_000033_1,CALL_T001_000033,1,ANCHOR_SEARCH,2010-07-01 07:30:00,E0001,CAL_000032,0,1691.23454776465,1109.04254137608,FLAT_START,CONVERGED_INFEASIBLE,CONVERGED,PASSED,0.995323986748277,25,1.05000704509115,13,7.3363504704891e-15,9.9031893796564e-14,23,25,0.2036
ATT_T001_000034_1,CALL_T001_000034,1,ANCHOR_SEARCH,2010-07-01 07:30:00,E0001,CAL_000032,0.5,1690.75659716171,1108.89569716902,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995321994682426,25,1.04998661679758,13,7.32997177203276e-15,9.85878045867139e-14,23,25,0.1363
ATT_T001_000035_1,CALL_T001_000035,1,ANCHOR_SEARCH,2010-07-01 07:30:00,E0001,CAL_000032,1,1690.27864655876,1108.74885296196,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995320002523724,25,1.04996618759643,13,7.3172174338468e-15,9.81437153768638e-14,23,25,0.1521
ATT_T001_000036_1,CALL_T001_000036,1,ANCHOR_SEARCH,2010-07-01 07:30:00,E0001,CAL_000032,2,1689.32274535288,1108.45516454785,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995316017927727,25,1.04992532647089,13,7.29172106727534e-15,9.81437153768638e-14,23,25,0.1311
ATT_T001_000037_1,CALL_T001_000037,1,ANCHOR_SEARCH,2010-07-01 07:30:00,E0001,CAL_000032,4,1687.41094294111,1107.86778771961,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995308047621101,25,1.049843593324,13,7.25987391282237e-15,9.76996261670138e-14,23,25,0.1294
ATT_T001_000038_1,CALL_T001_000038,1,ANCHOR_SEARCH,2010-07-01 07:30:00,E0001,CAL_000032,3,1688.36684414699,1108.16147613373,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995312032960211,25,1.0498844617137,13,7.27897908200787e-15,9.81437153768638e-14,23,25,0.1268
ATT_T001_000039_1,CALL_T001_000039,1,ANCHOR_SEARCH,2010-07-01 07:30:00,E0001,CAL_000032,3.5,1687.88889354405,1108.01463192667,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.99531004033711,25,1.04986402797296,13,7.36356258038831e-15,9.76996261670138e-14,23,25,0.1274
ATT_T001_000040_1,CALL_T001_000040,1,ANCHOR_SEARCH,2010-07-01 07:30:00,E0001,CAL_000032,3.75,1687.64991824258,1107.94120982314,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995309043990719,25,1.04985381076202,13,7.25987391282237e-15,9.76996261670138e-14,23,25,0.1261
ATT_T001_000041_1,CALL_T001_000041,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000022,4,1733.97466105413,956.311539140408,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994938875258892,25,1.04983359401412,13,7.84478091879986e-15,1.03472785895065e-13,23,25,0.1264
ATT_T001_000042_1,CALL_T001_000042,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000023,4,1729.24338903171,971.710950265291,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.994976641396461,25,1.04983559267264,13,7.78112105340165e-15,1.02362562870439e-13,23,25,0.1484
ATT_T001_000043_1,CALL_T001_000043,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000024,4,1724.53091088511,987.049190817235,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995014199810197,25,1.04983736130395,13,7.73026415735384e-15,1.01474384450739e-13,23,25,0.1303
ATT_T001_000044_1,CALL_T001_000044,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000025,4,1719.83640127556,1002.32894712051,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995051557886632,25,1.04983890324466,13,7.67947172747386e-15,1.01030295240889e-13,23,25,0.1276
ATT_T001_000045_1,CALL_T001_000045,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000026,4,1715.15904660019,1017.5528673013,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995088722872713,25,1.04984022165186,13,7.63508224519883e-15,9.99200722162641e-14,23,25,0.1281
ATT_T001_000046_1,CALL_T001_000046,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000027,4,1710.49804439923,1032.723563217,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995125701881877,25,1.04984131950837,13,7.49614139165326e-15,9.96980276113391e-14,23,25,0.1264
ATT_T001_000047_1,CALL_T001_000047,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000028,4,1705.85260277899,1047.84361233441,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995162501899911,25,1.04984219962762,13,7.52749427630508e-15,9.9253938401489e-14,23,25,0.1516
ATT_T001_000048_1,CALL_T001_000048,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000029,4,1701.2219398496,1062.91555955968,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995199129790616,25,1.04984286465829,13,7.40019290313968e-15,9.9475983006414e-14,23,25,0.1299
ATT_T001_000049_1,CALL_T001_000049,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000030,4,1696.60528317672,1077.94191902313,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995235592301304,25,1.04984331708868,13,7.3554926514799e-15,9.85878045867139e-14,23,25,0.1505
ATT_T001_000050_1,CALL_T001_000050,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000031,4,1692.00186924619,1092.92517582136,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995271896068101,25,1.04984355925075,13,7.31084179945337e-15,9.81437153768638e-14,23,25,0.1308
ATT_T001_000051_1,CALL_T001_000051,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000033,4,1682.83175703023,1122.77218681667,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995344053389355,25,1.04984342133898,13,7.21533201127617e-15,9.74775815620887e-14,23,25,0.1614
ATT_T001_000052_1,CALL_T001_000052,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000034,4,1678.26357166716,1137.64078117504,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995379919705724,25,1.04984304518073,13,7.18354835230554e-15,9.68114477473137e-14,23,25,0.1874
ATT_T001_000053_1,CALL_T001_000053,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000035,4,1673.70565389954,1152.47595641851,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995415652811583,25,1.04984246659182,13,7.13275092674005e-15,9.59232693276135e-14,23,25,0.1872
ATT_T001_000054_1,CALL_T001_000054,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000036,4,1669.15727718739,1167.2800772996,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995451258861397,25,1.04984168717528,13,7.10103837140704e-15,9.61453139325386e-14,23,25,0.1867
ATT_T001_000055_1,CALL_T001_000055,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000037,4,1664.6177209302,1182.05548923909,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995486743927181,25,1.04984070839732,13,7.06302031285091e-15,9.57012247226885e-14,23,25,0.2115
ATT_T001_000056_1,CALL_T001_000056,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000038,4,1660.08627000179,1196.80451983976,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995522114002832,25,1.04983953158975,13,7.02504324550346e-15,9.54791801177635e-14,23,25,0.1903
ATT_T001_000057_1,CALL_T001_000057,1,EDGE_CANDIDATE_SCREEN,2010-07-01 07:30:00,E0001,CAL_000039,4,1655.56221429256,1211.52948037642,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.995557375008362,25,1.04983815795232,13,6.98710783776398e-15,9.54791801177635e-14,23,25,0.1872
