selection_index,timestamp,search_kind,search_id,status
25,2010-07-02 18:00:00,RAY,315.000000,RAY_UNBOUNDED_WITHIN_GUARD
26,2011-09-30 05:30:00,RAY,320.000000,RAY_UNBOUNDED_WITHIN_GUARD
26,2011-09-30 05:30:00,RAY,135.000000,RAY_UNBOUNDED_WITHIN_GUARD
26,2011-09-30 05:30:00,RAY,325.000000,RAY_UNBOUNDED_WITHIN_GUARD
27,2011-09-11 00:00:00,RAY,320.000000,RAY_UNBOUNDED_WITHIN_GUARD
27,2011-09-11 00:00:00,RAY,135.000000,RAY_UNBOUNDED_WITHIN_GUARD
28,2011-09-30 11:30:00,RAY,320.000000,RAY_UNBOUNDED_WITHIN_GUARD
28,2011-09-30 11:30:00,RAY,135.000000,RAY_UNBOUNDED_WITHIN_GUARD
29,2012-09-03 07:00:00,RAY,320.000000,RAY_UNBOUNDED_WITHIN_GUARD
29,2012-09-03 07:00:00,RAY,135.000000,RAY_UNBOUNDED_WITHIN_GUARD
30,2011-11-14 17:30:00,RAY,140.000000,RAY_UNBOUNDED_WITHIN_GUARD
30,2011-11-14 17:30:00,RAY,315.000000,RAY_UNBOUNDED_WITHIN_GUARD
31,2010-11-26 18:00:00,RAY,320.000000,RAY_UNBOUNDED_WITHIN_GUARD
31,2010-11-26 18:00:00,RAY,135.000000,RAY_UNBOUNDED_WITHIN_GUARD
32,2011-11-14 19:30:00,RAY,140.000000,RAY_UNBOUNDED_WITHIN_GUARD
32,2011-11-14 19:30:00,RAY,315.000000,RAY_UNBOUNDED_WITHIN_GUARD
