selection_index,timestamp,search_kind,search_id,status,no_reentry_statement
2,2011-12-15 05:30:00,RAY,100.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,110.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,120.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,130.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,140.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,150.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,160.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,170.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,180.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,190.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,200.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
2,2011-12-15 05:30:00,RAY,210.000000,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA
