selection_index,timestamp,level,angle_deg,parent_start_angle_deg,parent_end_angle_deg,adaptive_triggers,status,no_reentry_statement,official_boundary_r,binding_mechanism,binding_bus,safe_r,safe_p13_abs_kw,safe_p30_abs_kw,safe_vmin_pu,safe_vmin_bus,safe_vmax_pu,safe_vmax_bus,safe_solver_status,violating_r,violating_p13_abs_kw,violating_p30_abs_kw,violating_vmin_pu,violating_vmin_bus,violating_vmax_pu,violating_vmax_bus,violating_solver_status,sweep_point_count,refinement_steps,unresolved_point_count,bracket_width_kw
1,2012-10-15 13:00:00,BASE,120,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.481640625,BINDING_VMAX,30,1.481640625,-1297.00965881,2722.90681082,0.960053336634,18,1.04999340261,30,CONVERGED_FEASIBLE,1.48203125,-1297.31887817,2723.6742032,0.96004694421,18,1.05000966656,30,CONVERGED_INFEASIBLE,41,7,0,0.827349794919
1,2012-10-15 13:00:00,BASE,130,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.9375,BINDING_VMAX,30,1.9375,-2095.86337021,3179.02763654,0.922705606985,18,1.04999853612,30,CONVERGED_FEASIBLE,1.9376953125,-2096.06213258,3179.36703574,0.922698576195,18,1.05000440463,30,CONVERGED_INFEASIBLE,41,8,0,0.393317051559
1,2012-10-15 13:00:00,BASE,140,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.8095703125,BINDING_VMIN,18,1.8095703125,-2318.79465909,2450.76453076,0.900003907251,18,1.02618836316,30,CONVERGED_FEASIBLE,1.809765625,-2319.03153486,2451.04932051,0.899993509952,18,1.02619226166,30,CONVERGED_INFEASIBLE,41,8,0,0.370425880865
1,2012-10-15 13:00:00,BASE,150,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.424609375,BINDING_VMIN,18,1.424609375,-2077.41417034,1428.00616455,0.900003346532,18,1.00058498444,30,CONVERGED_FEASIBLE,1.4248046875,-2077.68196216,1428.22769165,0.899990659465,18,1.0005869394,30,CONVERGED_INFEASIBLE,41,8,0,0.347543832449
1,2012-10-15 13:00:00,BASE,160,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.1966796875,BINDING_VMIN,18,1.1966796875,-1904.47006795,740.633013818,0.900008139071,18,1,1,CONVERGED_FEASIBLE,1.196875,-1904.7606391,740.784547279,0.89999337354,18,1,1,CONVERGED_INFEASIBLE,41,8,0,0.327710212816
1,2012-10-15 13:00:00,BASE,170,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.05517578125,BINDING_VMIN,18,1.05517578125,-1769.31869572,227.831832117,0.900003059217,18,1,1,CONVERGED_FEASIBLE,1.0552734375,-1769.47095653,227.870299894,0.89999479965,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.157044976573
1,2012-10-15 13:00:00,BASE,180,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.9671875,BINDING_VMIN,18,0.9671875,-1655.39489746,-187.8125,0.900001840002,18,1,1,CONVERGED_FEASIBLE,0.96728515625,-1655.54950714,-187.8125,0.899992906201,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.154609680176
1,2012-10-15 13:00:00,BASE,190,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.91640625,BINDING_VMIN,18,0.91640625,-1552.95608225,-548.794120785,0.900005698249,18,1,1,CONVERGED_FEASIBLE,0.91650390625,-1553.10834307,-548.832588562,0.89999632019,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.157044976574
1,2012-10-15 13:00:00,BASE,200,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.89482421875,BINDING_VMIN,18,0.89482421875,-1455.39235389,-882.063050279,0.900006699386,18,1,1,CONVERGED_FEASIBLE,0.894921875,-1455.53763946,-882.138817009,0.899997122946,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.163855106408
1,2012-10-15 13:00:00,BASE,210,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.89921875,BINDING_VMIN,18,0.89921875,-1357.05417076,-1207.7232666,0.900006433626,18,1,1,CONVERGED_FEASIBLE,0.89931640625,-1357.18806667,-1207.83403015,0.899996910003,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.173771916225
1,2012-10-15 13:00:00,BASE,220,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.930078125,BINDING_VMIN,18,0.930078125,-1252.14305461,-1543.98128796,0.900005867406,18,1,1,CONVERGED_FEASIBLE,0.93017578125,-1252.26149249,-1544.12368284,0.899996641843,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.185212940432
1,2012-10-15 13:00:00,BASE,230,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.99169921875,BINDING_VMIN,18,0.99169921875,-1133.35657649,-1911.11197513,0.900004806033,18,1,1,CONVERGED_FEASIBLE,0.991796875,-1133.45595768,-1911.28167473,0.899996105206,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.19665852578
