kind,interval_index,timestamp,bus,voltage_pu,limit_pu,distance_pu,substation_p_kw,substation_q_kvar,active_losses_kw,reactive_losses_kvar
"minimum_voltage",8329,"2010-12-21 12:00:00",23,0.8999999574203531,0.9,4.257964691944949e-8,-7516.805168432691,175697.13306119252,231852.91870160925,175254.77481324377
"maximum_voltage",8329,"2010-12-21 12:00:00",24,1.05000001287694,1.05,1.2876939958772482e-8,-7516.805168432691,175697.13306119252,231852.91870160925,175254.77481324377
