constraint,interval_index,timestamp,bus,value_pu,limit_pu,distance_pu
"voltage_min",8329,"2010-12-21 12:00:00",3,0.9000000392220463,0.9,3.9222046277487266e-8
"voltage_min",8329,"2010-12-21 12:00:00",7,0.8999999860420169,0.9,-1.3957983102663718e-8
"voltage_max",8329,"2010-12-21 12:00:00",13,1.0500000073563496,1.05,-7.356349529530348e-9
"voltage_min",8329,"2010-12-21 12:00:00",19,0.8999999780566483,0.9,-2.194335169125594e-8
"voltage_max",8329,"2010-12-21 12:00:00",20,1.0500000091183868,1.05,-9.118386712358983e-9
"voltage_min",8329,"2010-12-21 12:00:00",23,0.8999999574203531,0.9,-4.257964691944949e-8
"voltage_max",8329,"2010-12-21 12:00:00",24,1.05000001287694,1.05,-1.2876939958772482e-8
"voltage_max",8329,"2010-12-21 12:00:00",30,1.0500000076131186,1.05,-7.61311857999658e-9
