timestamp,angular_localization,concave_vertex_count,local_depth_kw_count,local_depth_kw_min,local_depth_kw_q1,local_depth_kw_median,local_depth_kw_q3,local_depth_kw_max,local_depth_kw_mean,hull_perpendicular_deficit_kw_count,hull_perpendicular_deficit_kw_min,hull_perpendicular_deficit_kw_q1,hull_perpendicular_deficit_kw_median,hull_perpendicular_deficit_kw_q3,hull_perpendicular_deficit_kw_max,hull_perpendicular_deficit_kw_mean
2010-07-01 07:30:00,WITHIN_VMAX_RUN,20,20,0.207422187659503,0.983663601116776,1.15887310129128,1.52360999074415,3.77087909590601,1.38614880115692,20,7.17931588903987,25.1794746741427,36.6666957013105,42.5256678923389,46.2209024454234,33.5482854889007
2010-07-02 17:30:00,WITHIN_VMAX_RUN,24,24,0.210044460194898,0.677466999982021,0.774760800199739,1.00962214655136,5.48457257522293,1.21754019388959,24,7.87308769518421,32.1417799565173,43.9467021702255,47.9121251527171,54.0646242002737,39.3372773272389
2010-07-02 18:00:00,WITHIN_VMAX_RUN,24,24,0.229496944162487,0.661519813469067,0.831691692448885,1.12141556845597,5.87407999378106,1.31300369343749,24,8.30962776099451,33.6840343859864,46.3477837090086,50.2531930265313,57.6297596720888,41.6661878912073
2010-07-03 00:00:00,WITHIN_VMAX_RUN,22,22,0.0787546544262705,0.895738341130216,1.24117313628539,1.6695475880483,5.73303433376152,1.61281951352777,22,9.20448813902452,35.7796789165953,49.2415701075086,53.7880914173847,62.3935788912202,44.7987428135974
2010-11-26 18:00:00,WITHIN_VMAX_RUN,22,22,0.347589785068456,0.911839803036425,1.16388569446665,1.61910082917549,5.24934426736837,1.55253006368017,22,8.34830181352496,33.5386956585554,47.4871472313362,51.1052789631836,58.8875442118962,42.505879726844
2010-12-21 11:30:00,WITHIN_VMAX_RUN,22,22,0.251844866383969,0.907789055042457,1.34060247895075,1.70259539410851,6.28053711087697,1.75037113515676,22,9.51109992969443,38.4395151726095,52.3597957720369,57.9729074664395,68.4964779533718,48.3487899462918
2010-12-21 12:00:00,WITHIN_VMAX_RUN,22,22,0.122064956732828,0.955054028895842,1.26454259513371,1.79172152619127,6.28924365456191,1.74221576830162,22,9.53711541118615,38.2752047416349,51.9995164328323,57.6504740212881,68.0139891782426,48.1119098262676
2011-01-21 18:00:00,WITHIN_VMAX_RUN,21,21,0.124999706268644,0.910021249055191,1.19975560651463,1.5794834986687,4.55318186498663,1.46912252951006,21,7.93327841680226,29.6505192197486,43.3733553765125,47.2461893943847,52.9843742084325,38.6386409002825
2011-01-21 18:00:00,WITHIN_VMIN_RUN,1,1,0.0757787373499487,0.0757787373499487,0.0757787373499487,0.0757787373499487,0.0757787373499487,0.0757787373499487,1,0.0757787373499487,0.0757787373499487,0.0757787373499487,0.0757787373499487,0.0757787373499487,0.0757787373499487
2011-02-05 11:30:00,WITHIN_VMAX_RUN,23,23,0.284080950075851,0.577497157452868,0.802581555778299,1.04607858630431,5.23303818921706,1.17074314092121,23,7.41984103020632,29.9054620929306,41.8857956462515,45.2763970018049,51.2951336848189,37.163036611131
