timestamp,cell_index,cell_vertex_index_ccw,p13_abs_kw,p30_abs_kw,vertex_role,triangle_indices,primary_classes,binding_families,cell_area_kw2,cell_irredundant_facet_count,cell_convex,ac_certification_status
2010-07-01 07:30:00,8,2,181.439636502,2823.75572928,ANGULAR_POLYGON_BOUNDARY,10,VMAX_BUS_30,VMAX,282246.352076889,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,9,0,452.1875,614.6875,PRODUCTION_CENTER,11;12,VMAX_BUS_30,VMAX,188816.866181899,4,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,9,1,181.439636502,2823.75572928,ANGULAR_POLYGON_BOUNDARY,11;12,VMAX_BUS_30,VMAX,188816.866181899,4,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,9,2,27.1962650697,2896.55479175,ANGULAR_POLYGON_BOUNDARY,11;12,VMAX_BUS_30,VMAX,188816.866181899,4,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,9,3,0,2909.375,ANGULAR_POLYGON_BOUNDARY,11;12,VMAX_BUS_30,VMAX,188816.866181899,4,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,10,0,452.1875,614.6875,PRODUCTION_CENTER,13,VMAX_BUS_30,VMAX,151780.347625911,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,10,1,0,2909.375,ANGULAR_POLYGON_BOUNDARY,13,VMAX_BUS_30,VMAX,151780.347625911,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,10,2,-146.182084813,2979.88006149,ANGULAR_POLYGON_BOUNDARY,13,VMAX_BUS_30,VMAX,151780.347625911,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,11,0,452.1875,614.6875,PRODUCTION_CENTER,14,VMAX_BUS_30,VMAX,207237.44644329,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,11,1,-146.182084813,2979.88006149,ANGULAR_POLYGON_BOUNDARY,14,VMAX_BUS_30,VMAX,207237.44644329,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,11,2,-346.303068974,3078.23026468,ANGULAR_POLYGON_BOUNDARY,14,VMAX_BUS_30,VMAX,207237.44644329,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,12,0,452.1875,614.6875,PRODUCTION_CENTER,15,VMAX_BUS_30,VMAX,245651.65259759,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,12,1,-346.303068974,3078.23026468,ANGULAR_POLYGON_BOUNDARY,15,VMAX_BUS_30,VMAX,245651.65259759,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,12,2,-584.718261719,3198.51060563,ANGULAR_POLYGON_BOUNDARY,15,VMAX_BUS_30,VMAX,245651.65259759,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,13,0,452.1875,614.6875,PRODUCTION_CENTER,16,VMAX_BUS_30,VMAX,302153.557846432,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,13,1,-584.718261719,3198.51060563,ANGULAR_POLYGON_BOUNDARY,16,VMAX_BUS_30,VMAX,302153.557846432,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,13,2,-880.783973283,3353.46616337,ANGULAR_POLYGON_BOUNDARY,16,VMAX_BUS_30,VMAX,302153.557846432,3,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,14,0,452.1875,614.6875,PRODUCTION_CENTER,17;18;19;20,VMAX_BUS_30;VMIN_BUS_18,VMAX;VMIN,2669658.19454865,6,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,14,1,-880.783973283,3353.46616337,ANGULAR_POLYGON_BOUNDARY,17;18;19;20,VMAX_BUS_30;VMIN_BUS_18,VMAX;VMIN,2669658.19454865,6,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,14,2,-1269.50530266,3566.6103055,ANGULAR_POLYGON_BOUNDARY,17;18;19;20,VMAX_BUS_30;VMIN_BUS_18,VMAX;VMIN,2669658.19454865,6,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,14,3,-1902.14986976,2986.3797833,ANGULAR_POLYGON_BOUNDARY,17;18;19;20,VMAX_BUS_30;VMIN_BUS_18,VMAX;VMIN,2669658.19454865,6,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,14,4,-1783.26932827,2471.50201416,ANGULAR_POLYGON_BOUNDARY,17;18;19;20,VMAX_BUS_30;VMIN_BUS_18,VMAX;VMIN,2669658.19454865,6,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,14,5,-1681.70887418,2046.24479991,ANGULAR_POLYGON_BOUNDARY,17;18;19;20,VMAX_BUS_30;VMIN_BUS_18,VMAX;VMIN,2669658.19454865,6,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,0,452.1875,614.6875,PRODUCTION_CENTER,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,1,-1681.70887418,2046.24479991,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,2,-1593.01448823,1685.62699947,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,3,-1514.09931396,1372.67524095,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,4,-1442.3984462,1095.3009772,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,5,-1314.46191406,614.6875,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,6,-1198.65323784,195.906652974,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
2010-07-01 07:30:00,15,7,-1142.8125,0,ANGULAR_POLYGON_BOUNDARY,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,VMAX_BUS_13;VMIN_BUS_18;VMIN_BUS_33,VMAX;VMIN,8541819.26097051,26,true,NOT_AC_CERTIFIED_GEOMETRIC_CELL
