timestamp,angular_polygon_area_kw2,angular_polygon_vertex_count,concave_vertex_count,kernel_area_ratio,kernel_inward_boundary_retention_fraction,kernel_circular_angular_coverage_deg,kernel_largest_angular_gap_deg,kernel_all_signed_axis_endpoints_retained,initial_fan_triangle_count,merged_convex_cell_count,piecewise_exact_area_ratio,vmax_concavity_depth_median_kw,vmax_concavity_depth_max_kw,vmin_concavity_depth_median_kw,vmin_concavity_depth_max_kw,vmax_positive_hull_deficit_median_kw,vmax_positive_hull_deficit_max_kw,vmin_positive_hull_deficit_median_kw,vmin_positive_hull_deficit_max_kw,exact_piecewise_partition_verified
2010-07-01 07:30:00,15800531.3311156,51,20,0.713432776403286,0.274509803921569,84.999999999907,275.000000000093,false,51,21,1,1.15887310129128,3.77087909590601,,,38.447157143787,46.2209024454234,,,true
2010-07-02 17:30:00,16209310.0011413,53,24,0.951530839359192,0.471698113207547,164.999999999954,195.000000000046,false,53,25,1,0.774760800199739,5.48457257522293,,,43.9467021702255,54.0646242002737,,,true
2010-07-02 18:00:00,16215120.5076153,53,24,0.94829057322775,0.471698113207547,164.999999999987,195.000000000013,false,53,25,1,0.831691692448885,5.87407999378106,,,46.3477837090086,57.6297596720888,,,true
2010-07-03 00:00:00,16196171.0105219,53,22,0.942547532839992,0.509433962264151,175.000000000096,184.999999999904,false,53,23,1,1.24117313628539,5.73303433376152,,,49.2415701075086,62.3935788912202,,,true
2010-11-26 18:00:00,16197634.6841407,53,22,0.946514946488884,0.509433962264151,175.000000000113,184.999999999887,false,53,23,1,1.16388569446665,5.24934426736837,,,47.4871472313362,58.8875442118962,,,true
2010-12-21 11:30:00,16213946.378087,53,22,0.937249603959658,0.509433962264151,175.000000000096,184.999999999904,false,53,23,1,1.34060247895075,6.28053711087697,,,52.3597957720369,68.4964779533718,,,true
2010-12-21 12:00:00,16211564.6920277,53,22,0.937362372093671,0.509433962264151,175.000000000035,184.999999999965,false,53,23,1,1.26454259513371,6.28924365456191,,,51.9995164328323,68.0139891782426,,,true
2011-01-21 18:00:00,16219020.1169545,53,22,0.951276214180434,0.433962264150943,175.000000000006,184.999999999994,false,53,22,1,1.19975560651463,4.55318186498663,0.0757787373499487,0.0757787373499487,44.2146043939927,52.9843742084325,0.0757787373499487,0.0757787373499487,true
2011-02-05 11:30:00,16210397.6518577,53,23,0.954034201698588,0.471698113207547,165.000000000096,194.999999999904,false,53,24,1,0.802581555778299,5.23303818921706,,,42.0569649535009,51.2951336848189,,,true
2011-02-05 17:30:00,16300472.5820802,54,27,0.940986945651877,0.425925925925926,154.999999999978,205.000000000022,false,54,28,1,0.606072993901957,9.02245431931105,,,50.4238375371739,65.4152877724188,,,true
