timestamp,pocket_index,left_hull_vertex_index,right_hull_vertex_index,interior_polygon_vertex_count,interior_vertex_indices,interior_primary_classes,interior_binding_families,family_area_attribution,class_area_attribution,polygon_vs_hull_pocket_area_kw2
2011-05-11 18:00:00,0,6,19,12,7;8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,130966.224212351
2011-05-11 18:00:00,27,45,6,13,46;47;48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,188064.071353173
2011-05-16 07:30:00,1,6,18,11,7;8;9;10;11;12;13;14;15;16;17,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,90615.3265956118
2011-05-16 07:30:00,10,26,28,1,27,VMIN_BUS_18,VMIN,VMIN_ONLY,VMIN_BUS_18_ONLY,3.93671731455493
2011-05-16 07:30:00,29,46,5,11,47;48;49;50;51;52;0;1;2;3;4,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,142590.671805708
2011-09-11 00:00:00,1,7,19,11,8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,118211.712358882
2011-09-11 00:00:00,30,47,6,11,48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,199887.590149114
2011-09-30 05:30:00,0,6,19,12,7;8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,127784.904621301
2011-09-30 05:30:00,29,47,6,10,48;49;50;51;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,121858.313955326
2011-09-30 11:30:00,1,7,19,11,8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,119439.462555407
2011-09-30 11:30:00,30,47,6,11,48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,203476.863314601
2011-11-14 17:30:00,1,6,19,12,7;8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,131912.563243244
2011-11-14 17:30:00,28,45,5,12,46;47;48;49;50;51;52;0;1;2;3;4,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,190584.005338471
2011-11-14 19:30:00,0,6,19,12,7;8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,126109.260894801
2011-11-14 19:30:00,27,45,6,13,46;47;48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,191462.339321903
2011-12-15 05:30:00,0,6,19,12,7;8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,135770.824753428
2011-12-15 05:30:00,29,47,6,10,48;49;50;51;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,124038.819057592
2012-08-04 03:30:00,0,6,19,12,7;8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,139173.216564548
2012-08-04 03:30:00,29,47,6,10,48;49;50;51;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,125381.658506124
2012-08-05 23:30:00,1,7,19,11,8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,118821.6509282
2012-08-05 23:30:00,30,47,6,11,48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,201368.03061935
2012-08-24 12:00:00,1,7,19,11,8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,123472.559987442
2012-08-24 12:00:00,30,47,6,11,48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,211163.175142833
2012-08-31 11:30:00,1,7,19,11,8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,124961.227324751
2012-08-31 11:30:00,30,47,6,11,48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,215205.753052054
2012-09-03 07:00:00,1,6,18,11,7;8;9;10;11;12;13;14;15;16;17,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,97309.5825304636
2012-09-03 07:00:00,30,46,5,11,47;48;49;50;51;52;0;1;2;3;4,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,155949.857598794
2012-10-15 13:00:00,0,6,19,12,7;8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,136049.783266627
2012-10-15 13:00:00,29,47,6,10,48;49;50;51;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,124142.981023829
2013-04-07 02:00:00,1,6,18,11,7;8;9;10;11;12;13;14;15;16;17,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,110665.148491184
2013-04-07 02:00:00,30,46,5,11,47;48;49;50;51;52;0;1;2;3;4,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,183106.670503141
2013-04-17 05:30:00,0,7,19,11,8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,151919.360633525
2013-04-17 05:30:00,29,47,7,11,48;49;50;51;0;1;2;3;4;5;6,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,127847.479899688
