timestamp,run_index_ccw,primary_class,binding_family,binding_bus,vertex_count,first_vertex_index,last_vertex_index,first_ray_angle_deg,last_ray_angle_deg,vertex_to_vertex_angular_span_deg,midpoint_transition_sector_extent_deg,concave_vertex_count,contains_signed_axis_endpoint,guard_adjacent_sector,guard_context,timestamp_class_transition_count
2010-12-21 11:30:00,2,VMIN_BUS_33,VMIN,33,13,34,46,235.000000000038,315.000000000044,80.000000000006,87.4999999999245,0,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
2010-12-21 11:30:00,3,VMAX_BUS_13,VMAX,13,13,47,6,324.999999999985,50.0000000000418,85.0000000000568,92.5000000000307,11,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
2010-12-21 12:00:00,0,VMAX_BUS_30,VMAX,30,13,7,19,54.9999999999705,130.000000000009,75.0000000000385,82.5000000000049,11,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
2010-12-21 12:00:00,1,VMIN_BUS_18,VMIN,18,14,20,33,139.999999999956,229.999999999956,90,97.4999999999605,0,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
2010-12-21 12:00:00,2,VMIN_BUS_33,VMIN,33,13,34,46,234.99999999993,314.999999999991,80.000000000061,87.500000000037,0,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
2010-12-21 12:00:00,3,VMAX_BUS_13,VMAX,13,13,47,6,324.999999999969,49.9999999999848,85.0000000000158,92.4999999999976,11,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
2011-01-21 18:00:00,0,VMAX_BUS_30,VMAX,30,13,6,18,55.0000000000229,129.999999999961,74.9999999999381,82.4999999999468,10,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
2011-01-21 18:00:00,1,VMIN_BUS_18,VMIN,18,14,19,32,140.000000000043,230.000000000024,89.999999999981,97.500000000019,0,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
2011-01-21 18:00:00,2,VMIN_BUS_33,VMIN,33,13,33,45,235.000000000018,315.000000000049,80.000000000031,87.5000000000045,1,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
2011-01-21 18:00:00,3,VMAX_BUS_13,VMAX,13,13,46,5,325.000000000002,50.0000000000875,85.0000000000855,92.5000000000297,11,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
2011-02-05 11:30:00,0,VMAX_BUS_30,VMAX,30,13,7,19,59.9999999998408,135.000000000114,75.0000000002732,82.5000000001588,10,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
2011-02-05 11:30:00,1,VMIN_BUS_18,VMIN,18,13,20,32,144.999999999967,224.999999999989,80.000000000022,87.499999999952,0,true,false,NOT_APPLICABLE_ANGULAR_INWARD_POLYGON_HAS_NO_ARTIFICIAL_GUARD_VERTICES,4
