timestamp,cell_id,convex,nondegenerate,area_before_kw2,area_after_kw2,area_loss_kw2,facet_count_before,facet_count_after
2011-11-14 19:30:00,20,true,true,108667.842375332,107992.325935977,675.516439354658,3,3
2011-11-14 19:30:00,21,true,true,81627.6813232637,81123.0517817311,504.629541532573,3,3
2011-11-14 19:30:00,7,true,true,228545.719412936,227225.551384736,1320.16802819946,3,3
2011-11-14 19:30:00,19,true,true,237716.970858969,236025.915342039,1691.05551693018,3,3
2011-11-14 19:30:00,5,true,true,223853.921649369,222565.882807468,1288.038841901,3,3
2011-11-14 19:30:00,18,true,true,313492.553002428,310944.599065654,2547.95393677417,3,3
2011-11-14 19:30:00,8,true,true,255112.039640875,253560.532482726,1551.50715814903,3,3
2011-11-14 19:30:00,4,true,true,438622.099150478,435973.908514664,2648.19063581328,5,5
2011-11-14 19:30:00,12,true,true,67200.3848385764,66821.097131173,379.287707403462,3,3
2011-11-14 19:30:00,2,true,true,175390.004407918,174322.139652383,1067.8647555348,3,3
2011-11-14 19:30:00,11,true,true,119379.489966087,118709.265898556,670.224067531643,3,3
2011-11-14 19:30:00,23,true,true,136546.329424107,135709.918497372,836.410926735494,3,3
2011-11-14 19:30:00,6,true,true,219055.393420911,217793.353385781,1262.04003512952,3,3
2011-11-14 19:30:00,22,true,true,158665.51781254,157623.337537288,1042.18027525151,3,3
2011-11-14 19:30:00,0,true,true,195750.578953178,194480.545202635,1270.03375054349,3,3
2011-11-14 19:30:00,10,true,true,162416.340280551,161463.993288246,952.346992305131,3,3
2011-11-14 19:30:00,15,true,true,348252.032599609,345787.166475577,2464.86612403183,3,3
2011-11-14 19:30:00,9,true,true,144923.938352381,144078.408319807,845.530032574316,3,3
2011-11-14 19:30:00,1,true,true,179268.067158654,178105.300155194,1162.76700345968,3,3
2011-11-14 19:30:00,24,true,true,229980.463863516,228484.697021061,1495.76684245467,3,3
2011-11-14 19:30:00,14,true,true,270843.53624654,269127.24440832,1716.29183822044,3,3
2011-11-14 19:30:00,3,true,true,183070.13292803,181878.113350907,1192.01957712334,3,3
2011-11-14 19:30:00,16,true,true,1621915.21309222,1615235.87190701,6679.34118521027,4,4
2011-11-14 19:30:00,13,true,true,220797.198607222,219417.976210946,1379.22239627654,3,3
2011-11-14 19:30:00,17,true,true,9926772.4618949,9897421.16344381,29351.2984510958,28,28
