timestamp,cell_id,vertex_index_ccw,p13_abs_kw,p30_abs_kw
2011-09-30 11:30:00,0,0,1545.79676620317,-0.157255604958486
2011-09-30 11:30:00,0,1,-35.3125,-64.0625
2011-09-30 11:30:00,0,2,1566.48706324387,-64.0625
2011-09-30 11:30:00,1,0,1445.96266529845,310.417939657918
2011-09-30 11:30:00,1,1,-35.3125,-64.0625
2011-09-30 11:30:00,1,2,1545.54067838785,-0.16760615743123
2011-09-30 11:30:00,2,0,1338.93652859302,653.080778323195
2011-09-30 11:30:00,2,1,-35.3125,-64.0625
2011-09-30 11:30:00,2,2,1445.96438705952,310.41837493548
2011-09-30 11:30:00,3,0,1236.67946154932,988.864748229646
2011-09-30 11:30:00,3,1,-35.3125,-64.0625
2011-09-30 11:30:00,3,2,1338.93179186055,653.078306488919
2011-09-30 11:30:00,4,0,1132.39494094366,1340.76242219257
2011-09-30 11:30:00,4,1,-35.3125,-64.0625
2011-09-30 11:30:00,4,2,1236.66883049761,988.85594807653
2011-09-30 11:30:00,5,0,745.010346980853,1873.74028375874
2011-09-30 11:30:00,5,1,-35.3125,-64.0625
2011-09-30 11:30:00,5,2,1132.37972517061,1340.74411666804
2011-09-30 11:30:00,5,3,1018.1165591722,1736.99489802913
2011-09-30 11:30:00,5,4,884.440116405254,1814.90078689314
2011-09-30 11:30:00,6,0,484.941042229678,1985.32367891981
2011-09-30 11:30:00,6,1,-35.3125,-64.0625
2011-09-30 11:30:00,6,2,745.010118559143,1873.73971651118
2011-09-30 11:30:00,7,0,230.541881273505,2097.6586724541
2011-09-30 11:30:00,7,1,-35.3125,-64.0625
2011-09-30 11:30:00,7,2,484.938785001248,1985.31478723071
2011-09-30 11:30:00,8,0,-35.3125,2218.75602046757
2011-09-30 11:30:00,8,1,-35.3125,-64.0625
2011-09-30 11:30:00,8,2,230.539474268116,2097.63910055731
2011-09-30 11:30:00,9,0,-333.279044139902,2358.76981919881
2011-09-30 11:30:00,9,1,-35.3125,-64.0625
2011-09-30 11:30:00,9,2,-35.3125,2218.61422803503
2011-09-30 11:30:00,10,0,-503.569599933072,2441.507520109
2011-09-30 11:30:00,10,1,-35.3125,-64.0625
2011-09-30 11:30:00,10,2,-333.309802652882,2359.01992351691
2011-09-30 11:30:00,11,0,-695.358034775604,2535.99321635851
2011-09-30 11:30:00,11,1,-35.3125,-64.0625
2011-09-30 11:30:00,11,2,-503.505439627902,2441.16420841733
2011-09-30 11:30:00,12,0,-917.69037014035,2648.9805491513
2011-09-30 11:30:00,12,1,-35.3125,-64.0625
2011-09-30 11:30:00,12,2,-695.341296271512,2535.92727993299
2011-09-30 11:30:00,13,0,-1183.89815270199,2788.2600787863
2011-09-30 11:30:00,13,1,-35.3125,-64.0625
2011-09-30 11:30:00,13,2,-917.5499802546,2648.54889303595
2011-09-30 11:30:00,14,0,-1516.9668148903,2969.79189392862
2011-09-30 11:30:00,14,1,-35.3125,-64.0625
2011-09-30 11:30:00,14,2,-1183.68644335407,2787.73433362155
2011-09-30 11:30:00,15,0,-1935.02703676442,1206.03049061711
2011-09-30 11:30:00,15,1,-35.3125,-64.0625
2011-09-30 11:30:00,15,2,-1516.01813784292,2967.84937062903
2011-09-30 11:30:00,15,3,-1970.36718604337,3231.04952085011
2011-09-30 11:30:00,15,4,-2275.2113797345,2635.70017107731
2011-09-30 11:30:00,15,5,-2147.50514615856,2081.9180803082
2011-09-30 11:30:00,15,6,-2029.66039208483,1589.41661944508
2011-09-30 11:30:00,16,0,2229.24926247426,-1938.61741629284
2011-09-30 11:30:00,16,1,-35.3125,-64.0625
2011-09-30 11:30:00,16,2,-1935.0039311447,1206.01504288269
2011-09-30 11:30:00,16,3,-1853.93086121046,886.857335968504
2011-09-30 11:30:00,16,4,-1781.72426121053,608.425538345169
2011-09-30 11:30:00,16,5,-1716.37515774657,362.18561964412
2011-09-30 11:30:00,16,6,-1617.90131502696,0.660454135881366
2011-09-30 11:30:00,16,7,-1600.25903599152,-63.3903237095272
2011-09-30 11:30:00,16,8,-1495.66266117768,-433.170228844806
2011-09-30 11:30:00,16,9,-1396.07735982658,-774.709470341489
