attempt_id,logical_call_id,attempt_index,phase,timestamp,edge_id,calibration_id,d_kw,p13_abs_kw,p30_abs_kw,initialization,solver_status,primary_power_flow_status,replay_status,vmin_pu,vmin_bus,vmax_pu,vmax_bus,maximum_residual,primary_replay_voltage_difference_pu,primary_iterations,replay_iterations,runtime_ms
ATT_T021_000001_1,CALL_T021_000001,1,CONFIGURATION_CONTROL,2011-09-30 11:30:00,,,0,-35.3125,-64.0625,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.980486561652391,18,1,1,3.10862446895044e-15,7.23865412055602e-14,20,22,0.2191
ATT_T021_000002_1,CALL_T021_000002,1,CONFIGURATION_CONTROL,2011-09-30 11:30:00,,,0,1549.6875,0,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999124032515175,22,1.04999666104379,13,1.20097180178969e-14,1.41442413337245e-13,22,24,0.224
ATT_T021_000003_1,CALL_T021_000003,1,CONFIGURATION_CONTROL,2011-09-30 11:30:00,,,0,-1620.3125,0,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.900007940143158,18,1,1,2.25375273998907e-14,1.19593224212622e-12,25,28,0.1682
ATT_T021_000004_1,CALL_T021_000004,1,CONFIGURATION_CONTROL,2011-09-30 11:30:00,,,0,1550,0,FLAT_START,CONVERGED_INFEASIBLE,CONVERGED,PASSED,0.999124187924694,22,1.05000889026534,13,1.20289043118162e-14,1.4210854715202e-13,22,24,0.1342
ATT_T021_000005_1,CALL_T021_000005,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0000,CAL_015028,0,1551.14453748111,-4.50028997360281,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999122227492612,22,1.04999649540815,13,1.21421126748114e-14,1.41886502547095e-13,22,24,0.137
ATT_T021_000006_1,CALL_T021_000006,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0000,CAL_015028,0.5,1550.66884808811,-4.65430166596849,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999121904331094,22,1.04997592315639,13,1.21230578888503e-14,1.4122036873232e-13,22,24,0.1319
ATT_T021_000007_1,CALL_T021_000007,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0000,CAL_015028,1,1550.19315869511,-4.80831335833416,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999121581154322,22,1.04995534998768,13,1.20289043118162e-14,1.41886502547095e-13,22,24,0.1495
ATT_T021_000008_1,CALL_T021_000008,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0000,CAL_015028,2,1549.2417799091,-5.11633674306551,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.99912093475501,22,1.04991420089898,13,1.20033237940406e-14,1.4122036873232e-13,22,24,0.1325
ATT_T021_000009_1,CALL_T021_000009,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0000,CAL_015028,4,1547.33902233709,-5.73238351252821,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999119641773272,22,1.04983189171345,13,1.19394150092777e-14,1.4077627952247e-13,22,24,0.1283
ATT_T021_000010_1,CALL_T021_000010,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0000,CAL_015028,3,1548.2904011231,-5.42436012779686,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999120288294664,22,1.04987304814119,13,1.20532402043976e-14,1.4077627952247e-13,22,24,0.1272
ATT_T021_000011_1,CALL_T021_000011,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0000,CAL_015028,3.5,1547.8147117301,-5.57837182016254,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.9991199650416,22,1.04985247038612,13,1.20215310565335e-14,1.40110145707695e-13,22,24,0.1286
ATT_T021_000012_1,CALL_T021_000012,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0000,CAL_015028,3.75,1547.57686703359,-5.65537766634538,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999119803409344,22,1.04984218116449,13,1.19394150092777e-14,1.4077627952247e-13,22,24,0.1361
ATT_T021_000013_1,CALL_T021_000013,1,EDGE_CANDIDATE_SCREEN,2011-09-30 11:30:00,E0000,CAL_015026,3.75,1560.38241278539,-45.2073246137803,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999079571900037,25,1.04983985237875,13,1.2390340844675e-14,1.45439216225896e-13,22,24,0.1614
ATT_T021_000014_1,CALL_T021_000014,1,EDGE_CANDIDATE_SCREEN,2011-09-30 11:30:00,E0000,CAL_015027,3.75,1553.95487817378,-25.3548706154469,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999111891065931,22,1.04984122545662,13,1.21185115107157e-14,1.4299672557172e-13,22,24,0.129
ATT_T021_000015_1,CALL_T021_000015,1,LOCAL_REENTRY_STENCIL,2011-09-30 11:30:00,E0000,CAL_015028,4,1547.33902233709,-5.73238351252821,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999119641773272,22,1.04983189171345,13,1.19394150092777e-14,1.4077627952247e-13,22,24,0.1275
ATT_T021_000016_1,CALL_T021_000016,1,LOCAL_REENTRY_STENCIL,2011-09-30 11:30:00,E0000,CAL_015028,3.5,1547.8147117301,-5.57837182016254,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.9991199650416,22,1.04985247038612,13,1.20215310565335e-14,1.40110145707695e-13,22,24,0.154
ATT_T021_000017_1,CALL_T021_000017,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0001,CAL_015037,0,1502.17416378315,148.194917779383,FLAT_START,CONVERGED_INFEASIBLE,CONVERGED,PASSED,0.999183228435857,22,1.05000873765794,13,1.06228301612976e-14,1.26565424807268e-13,22,24,0.1368
ATT_T021_000018_1,CALL_T021_000018,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0001,CAL_015037,0.5,1501.69803661597,148.042264837467,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999182906776721,22,1.04998814715684,13,1.06100951961602e-14,1.26343380202343e-13,22,24,0.1291
ATT_T021_000019_1,CALL_T021_000019,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0001,CAL_015037,1,1501.2219094488,147.88961189555,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999182585102384,22,1.04996755573581,13,1.05973631009501e-14,1.25899290992493e-13,22,24,0.1264
ATT_T021_000020_1,CALL_T021_000020,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0001,CAL_015037,2,1500.26965511444,147.584306011718,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999181941708101,22,1.04992637013353,13,1.04916901882623e-14,1.26121335597418e-13,22,24,0.1554
ATT_T021_000021_1,CALL_T021_000021,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0001,CAL_015037,4,1498.36514644573,146.973694244052,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999180654737059,22,1.04984398788501,13,1.04275669645519e-14,1.25011112572793e-13,22,24,0.126
ATT_T021_000022_1,CALL_T021_000022,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0001,CAL_015037,3,1499.31740078009,147.279000127885,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999181298252997,22,1.04988518085022,13,1.05464636272286e-14,1.25233157177718e-13,22,24,0.1257
ATT_T021_000023_1,CALL_T021_000023,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0001,CAL_015037,3.5,1498.84127361291,147.126347185969,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999180976502633,22,1.0498645848279,13,1.05337460379581e-14,1.25233157177718e-13,22,24,0.1514
ATT_T021_000024_1,CALL_T021_000024,1,ANCHOR_SEARCH,2011-09-30 11:30:00,E0001,CAL_015037,3.75,1498.60321002932,147.050020715011,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.999180815621747,22,1.04985428647154,13,1.05210313814724e-14,1.25455201782643e-13,22,24,0.1287
