timestamp,coordinate_semantics,units,center_p13_abs_kw,center_p30_abs_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,alpha_outward_exclusion_sup,inward_retained_fraction_at_sup,inward_strictly_below_fraction,candidate_area_retention_factor_alpha_squared,primary_classes_with_retained_inward_point,retained_primary_classes,retained_unique_production_ray_angle_count,retained_angular_coverage_deg,largest_retained_angular_gap_deg,signed_axis_inward_total,signed_axis_inward_retained_strict_count,any_signed_axis_inward_survives,all_signed_axis_inward_survive,retention_basis,ray_angle_convention
2010-07-01 07:30:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,452.1875,614.6875,1595,1595,2294.6875,2294.6875,0.921013182665084,0.0196078431372549,0.0196078431372549,0.848265282642868,1,VMIN_BUS_18,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-02 17:30:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,889.53125,1223.90625,1603.90625,1603.90625,2314.53125,2314.53125,0.902865045732686,0.0188679245283019,0.0188679245283019,0.815165290805885,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-02 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,825.234375,1134.53125,1602.578125,1602.578125,2311.71875,2311.71875,0.898109767619933,0.0188679245283019,0.0188679245283019,0.80660115469433,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-03 00:00:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,59.6875,68.28125,1586.875,1586.875,2276.71875,2276.71875,0.901196779445671,0.0188679245283019,0.0188679245283019,0.81215563528325,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-11-26 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,140.78125,181.25,1588.59375,1588.59375,2280.625,2280.625,0.905515366889146,0.0188679245283019,0.0188679245283019,0.819958079672385,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-12-21 11:30:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,-71.015625,-113.671875,1584.296875,1584.296875,2270.859375,2270.859375,0.8942563414279,0.0188679245283019,0.0188679245283019,0.799694404184013,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-12-21 12:00:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,-62.109375,-101.25,1584.453125,1584.453125,2271.25,2271.25,0.894707981883652,0.0188679245283019,0.0188679245283019,0.800502372846317,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-01-21 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,274.21875,366.875,1591.40625,1591.40625,2286.5625,2286.5625,0.912447598892942,0.0188679245283019,0.0188679245283019,0.832560620725496,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-05 11:30:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,942.890625,1298.4375,1604.921875,1604.921875,2316.875,2316.875,0.906783206321022,0.0188679245283019,0.0188679245283019,0.822255783265833,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-05 17:30:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,1316.25,1818.125,1612.5,1612.5,2333.75,2333.75,0.871353212215512,0.037037037037037,0.037037037037037,0.759256420438291,1,VMAX_BUS_13,2,9.99999999993844,350.000000000062,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-05 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,1366.015625,1887.34375,1613.515625,1613.515625,2336.09375,2336.09375,0.877482551400515,0.0185185185185185,0.0185185185185185,0.769975628012358,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-06 00:00:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,461.953125,628.59375,1595.234375,1595.234375,2295.15625,2295.15625,0.920774509861555,0.0196078431372549,0.0196078431372549,0.847825698010786,1,VMIN_BUS_18,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-03-04 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,140.703125,181.09375,1588.671875,1588.671875,2280.46875,2280.46875,0.905639630544916,0.0188679245283019,0.0188679245283019,0.820183140413533,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-03-08 11:30:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,-74.53125,-118.75,1584.21875,1584.21875,2270.625,2270.625,0.894094729197158,0.0188679245283019,0.0188679245283019,0.79940538477814,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-03-08 12:30:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,-47.03125,-80.390625,1584.84375,1584.84375,2271.953125,2271.953125,0.895521667262226,0.0188679245283019,0.0188679245283019,0.801959056536117,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-05-11 17:30:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,638.359375,874.0625,1598.828125,1598.828125,2303.125,2303.125,0.88403984386504,0.0188679245283019,0.0188679245283019,0.781526445540924,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-05-11 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,649.453125,889.765625,1598.984375,1598.984375,2303.671875,2303.671875,0.884876026095012,0.0188679245283019,0.0188679245283019,0.783005581557701,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-05-16 07:30:00,ABSOLUTE_PHYSICAL_P_PCC_WITH_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_DIAGNOSTICS,kW for center/scales; degrees for angular diagnostics; dimensionless fractions,302.109375,405.859375,1591.953125,1591.953125,2287.890625,2287.890625,0.913734936899013,0.0188679245283019,0.0188679245283019,0.834911534909843,1,VMAX_BUS_13,1,0,360,4,0,false,false,STRICTLY_BELOW_OUTWARD_EXCLUSION_SUPREMUM_WITHOUT_EPSILON,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
