timestamp,comparator,construction_status,N_out_total,N_out_inside,N_out_boundary,N_out_outside,geometric_tolerance_kw,all_input_inward_on_or_inside,coordinate_semantics,units,center_p13_abs_kw,center_p30_abs_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,ray_angle_convention
2010-07-01 07:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,51,0,0,51,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,452.1875,614.6875,1595,1595,2294.6875,2294.6875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-02 17:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,53,0,0,53,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,889.53125,1223.90625,1603.90625,1603.90625,2314.53125,2314.53125,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-02 18:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,53,0,0,53,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,825.234375,1134.53125,1602.578125,1602.578125,2311.71875,2311.71875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-03 00:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,53,0,0,53,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,59.6875,68.28125,1586.875,1586.875,2276.71875,2276.71875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-11-26 18:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,53,0,0,53,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,140.78125,181.25,1588.59375,1588.59375,2280.625,2280.625,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-12-21 11:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,53,0,0,53,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,-71.015625,-113.671875,1584.296875,1584.296875,2270.859375,2270.859375,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-12-21 12:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,53,0,0,53,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,-62.109375,-101.25,1584.453125,1584.453125,2271.25,2271.25,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-01-21 18:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,53,0,0,53,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,274.21875,366.875,1591.40625,1591.40625,2286.5625,2286.5625,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-05 11:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,53,0,0,53,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,942.890625,1298.4375,1604.921875,1604.921875,2316.875,2316.875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-05 17:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,54,0,0,54,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,1316.25,1818.125,1612.5,1612.5,2333.75,2333.75,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-05 18:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,54,0,0,54,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,1366.015625,1887.34375,1613.515625,1613.515625,2336.09375,2336.09375,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-06 00:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,51,0,0,51,1e-08,true,ABSOLUTE_PHYSICAL_P_PCC_SCREEN_AGAINST_ANGULAR_POLYGON,kW,461.953125,628.59375,1595.234375,1595.234375,2295.15625,2295.15625,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
