timestamp,comparator,input_inward_physical_boundary_row_count,guard_truncation_input_count,duplicate_point_pair_count_at_tolerance,duplicate_point_tolerance_kw,duplicate_angle_group_count,duplicate_angle_nonselected_row_count,duplicate_angle_tolerance_deg,duplicate_angle_rule,polygon_vertex_count,zero_length_edge_count,self_intersection_count,orientation,is_simple,is_convex,production_center_location,contains_production_center,input_inward_inside_count,input_inward_boundary_count,input_inward_outside_count,all_input_inward_on_or_inside,polygon_area_kw2,construction_status,coordinate_semantics,units,center_p13_abs_kw,center_p30_abs_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,ray_angle_convention
2010-07-01 07:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,51,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,51,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,51,0,true,15800531.3311156,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,452.1875,614.6875,1595,1595,2294.6875,2294.6875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-02 17:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16209310.0011413,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,889.53125,1223.90625,1603.90625,1603.90625,2314.53125,2314.53125,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-02 18:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16215120.5076153,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,825.234375,1134.53125,1602.578125,1602.578125,2311.71875,2311.71875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-03 00:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16196171.0105219,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,59.6875,68.28125,1586.875,1586.875,2276.71875,2276.71875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-11-26 18:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16197634.6841407,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,140.78125,181.25,1588.59375,1588.59375,2280.625,2280.625,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-12-21 11:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16213946.378087,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-71.015625,-113.671875,1584.296875,1584.296875,2270.859375,2270.859375,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-12-21 12:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16211564.6920277,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,-62.109375,-101.25,1584.453125,1584.453125,2271.25,2271.25,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-01-21 18:00:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16219020.1169545,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,274.21875,366.875,1591.40625,1591.40625,2286.5625,2286.5625,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-05 11:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,53,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,53,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,53,0,true,16210397.6518577,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,942.890625,1298.4375,1604.921875,1604.921875,2316.875,2316.875,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-05 17:30:00,ANGULAR_INWARD_POLYGON_CANDIDATE_DIAGNOSTIC,54,0,0,1e-08,0,0,1e-09,SELECT_MAXIMUM_NORMALIZED_RADIUS_THEN_ENDPOINT_ID;RETAIN_NONSELECTED_INPUTS_FOR_CONTAINMENT_CHECK,54,0,0,COUNTERCLOCKWISE,true,false,INSIDE,true,0,54,0,true,16300472.5820802,SUCCESS_SIMPLE_ANGULAR_INWARD_POLYGON,VERTICES_ARE_ABSOLUTE_PHYSICAL_PCC;ORDER_USES_CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ANGLE,kW coordinates; kW^2 area; degrees angle,1316.25,1818.125,1612.5,1612.5,2333.75,2333.75,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
