timestamp,coordinate_semantics,units,center_p13_abs_kw,center_p30_abs_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,alpha_outward_exclusion_sup,N_in_total,N_in_retained_at_sup,fraction_in_retained_at_sup,comparison_tolerance_at_sup,N_in_strictly_below_sup,fraction_in_strictly_below_sup,strict_comparison_has_no_subtracted_epsilon
2010-07-01 07:30:00,ABSOLUTE_PHYSICAL_P_PCC_ENDPOINTS_WITH_CENTERED_SIGN_NORMALIZED_GAUGE,kW for physical coordinates/scales; dimensionless fractions and alpha,452.1875,614.6875,1595,1595,2294.6875,2294.6875,0.921013182665084,51,1,0.0196078431372549,1e-12,1,0.0196078431372549,true
2010-07-02 17:30:00,ABSOLUTE_PHYSICAL_P_PCC_ENDPOINTS_WITH_CENTERED_SIGN_NORMALIZED_GAUGE,kW for physical coordinates/scales; dimensionless fractions and alpha,889.53125,1223.90625,1603.90625,1603.90625,2314.53125,2314.53125,0.902865045732686,53,1,0.0188679245283019,1e-12,1,0.0188679245283019,true
2010-07-02 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_ENDPOINTS_WITH_CENTERED_SIGN_NORMALIZED_GAUGE,kW for physical coordinates/scales; dimensionless fractions and alpha,825.234375,1134.53125,1602.578125,1602.578125,2311.71875,2311.71875,0.898109767619933,53,1,0.0188679245283019,1e-12,1,0.0188679245283019,true
2010-07-03 00:00:00,ABSOLUTE_PHYSICAL_P_PCC_ENDPOINTS_WITH_CENTERED_SIGN_NORMALIZED_GAUGE,kW for physical coordinates/scales; dimensionless fractions and alpha,59.6875,68.28125,1586.875,1586.875,2276.71875,2276.71875,0.901196779445671,53,1,0.0188679245283019,1e-12,1,0.0188679245283019,true
2010-11-26 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_ENDPOINTS_WITH_CENTERED_SIGN_NORMALIZED_GAUGE,kW for physical coordinates/scales; dimensionless fractions and alpha,140.78125,181.25,1588.59375,1588.59375,2280.625,2280.625,0.905515366889146,53,1,0.0188679245283019,1e-12,1,0.0188679245283019,true
2010-12-21 11:30:00,ABSOLUTE_PHYSICAL_P_PCC_ENDPOINTS_WITH_CENTERED_SIGN_NORMALIZED_GAUGE,kW for physical coordinates/scales; dimensionless fractions and alpha,-71.015625,-113.671875,1584.296875,1584.296875,2270.859375,2270.859375,0.8942563414279,53,1,0.0188679245283019,1e-12,1,0.0188679245283019,true
2010-12-21 12:00:00,ABSOLUTE_PHYSICAL_P_PCC_ENDPOINTS_WITH_CENTERED_SIGN_NORMALIZED_GAUGE,kW for physical coordinates/scales; dimensionless fractions and alpha,-62.109375,-101.25,1584.453125,1584.453125,2271.25,2271.25,0.894707981883652,53,1,0.0188679245283019,1e-12,1,0.0188679245283019,true
2011-01-21 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_ENDPOINTS_WITH_CENTERED_SIGN_NORMALIZED_GAUGE,kW for physical coordinates/scales; dimensionless fractions and alpha,274.21875,366.875,1591.40625,1591.40625,2286.5625,2286.5625,0.912447598892942,53,1,0.0188679245283019,1e-12,1,0.0188679245283019,true
2011-02-05 11:30:00,ABSOLUTE_PHYSICAL_P_PCC_ENDPOINTS_WITH_CENTERED_SIGN_NORMALIZED_GAUGE,kW for physical coordinates/scales; dimensionless fractions and alpha,942.890625,1298.4375,1604.921875,1604.921875,2316.875,2316.875,0.906783206321022,53,1,0.0188679245283019,1e-12,1,0.0188679245283019,true
2011-02-05 17:30:00,ABSOLUTE_PHYSICAL_P_PCC_ENDPOINTS_WITH_CENTERED_SIGN_NORMALIZED_GAUGE,kW for physical coordinates/scales; dimensionless fractions and alpha,1316.25,1818.125,1612.5,1612.5,2333.75,2333.75,0.871353212215512,54,2,0.037037037037037,1e-12,2,0.037037037037037,true
