timestamp,geometry_stage,vertex_index,p13_abs_kw,p30_abs_kw,constraint_1,constraint_2,maximum_internal_enumeration_violation_kw,center_p13_abs_kw,center_p30_abs_kw,normalized_x,normalized_y,normalized_radius,normalized_ray_angle_deg,physical_displacement_angle_deg,stored_guard_direction_count,nearest_stored_guard_angle_deg,nearest_guard_angular_deviation_deg,guard_alignment_threshold_deg,guard_alignment_classification
2010-07-02 17:30:00,PHYSICAL_FACETS_BEFORE_GUARD_CAPS,2,-2080.30190046678,4547.43572659831,VMAX_BUS_30,VMIN_BUS_18,0,889.53125,1223.90625,-1.85162514982829,1.43594063661846,2.34316905223862,142.20631903999,131.78327604032,2,140,2.20631903998952,,RAW_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2010-07-02 17:30:00,PHYSICAL_FACETS_BEFORE_GUARD_CAPS,3,-444.276740591318,-899.821567908228,VMIN_BUS_18,VMIN_BUS_33,0,889.53125,1223.90625,-0.831599721362341,-0.917562818781655,1.23833744309879,227.81355390876,237.869110352986,2,315,87.1864460912402,,RAW_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2010-07-02 17:30:00,PHYSICAL_FACETS_BEFORE_GUARD_CAPS,4,3341.7835400917,-2525.82002710997,VMAX_BUS_13,VMIN_BUS_33,1.13686837721616e-13,889.53125,1223.90625,1.52892495436794,-1.62008021153742,2.22761563289185,313.341903820224,303.183950897095,2,315,1.65809617977561,,RAW_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2010-07-02 17:30:00,COUPLED_CANDIDATE_AFTER_GUARD_CAPS,1,1705.75838021624,2921.43726739657,VMAX_BUS_13,VMAX_BUS_30,0,889.53125,1223.90625,0.508899525901991,0.733423243862691,0.892686049012386,55.2444248504055,64.3202660322324,2,140,84.7555751495945,,RAW_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2010-07-02 17:30:00,COUPLED_CANDIDATE_AFTER_GUARD_CAPS,2,-1508.27720772644,4301.7684101621,VMAX_BUS_30,GUARD_CAP_BASE_140DEG,4.54747350886464e-13,889.53125,1223.90625,-1.49498043150991,1.32979935361085,2.00083302938086,138.346601897552,127.920372907026,2,140,1.65339810244831,,RAW_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2010-07-02 17:30:00,COUPLED_CANDIDATE_AFTER_GUARD_CAPS,3,-1836.82079408514,3736.74878526003,VMIN_BUS_18,GUARD_CAP_BASE_140DEG,0,889.53125,1223.90625,-1.69982007619531,1.0856809711513,2.01695103127385,147.43348803322,137.333646553262,2,140,7.43348803322039,,RAW_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2010-07-02 17:30:00,COUPLED_CANDIDATE_AFTER_GUARD_CAPS,4,-444.276740591318,-899.821567908228,VMIN_BUS_18,VMIN_BUS_33,0,889.53125,1223.90625,-0.831599721362341,-0.917562818781655,1.23833744309879,227.81355390876,237.869110352986,2,315,87.1864460912402,,RAW_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2010-07-02 17:30:00,COUPLED_CANDIDATE_AFTER_GUARD_CAPS,5,2945.53439908927,-2355.64299743687,VMIN_BUS_33,GUARD_CAP_ADAPTIVE_315DEG,4.54747350886464e-13,889.53125,1223.90625,1.2818723968993,-1.54655472784689,2.00873800386161,309.653868270469,299.871977093482,2,315,5.34613172953129,,RAW_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2010-07-02 17:30:00,COUPLED_CANDIDATE_AFTER_GUARD_CAPS,6,3186.31614701607,-2008.18074395029,VMAX_BUS_13,GUARD_CAP_ADAPTIVE_315DEG,4.54747350886464e-13,889.53125,1223.90625,1.43199448036073,-1.39643264438546,2.00015807427537,315.72034232036,305.398353649967,2,315,0.720342320359805,,RAW_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2010-07-02 18:00:00,PHYSICAL_FACETS_BEFORE_GUARD_CAPS,1,1672.91286268162,2854.74291227323,VMAX_BUS_13,VMAX_BUS_30,4.54747350886464e-13,825.234375,1134.53125,0.528946748029285,0.744126707573417,0.91296726073546,54.5936862402923,63.7670427833999,2,140,85.4063137597077,,RAW_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
