timestamp,search_kind,search_id,level,binding_class,maximum_constraint_violation_kw,inside_at_internal_enumeration_tolerance,interpretation
2010-07-01 07:30:00,RAY,30.000000,BASE,VMAX_BUS_13,-113.519766767189,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,300.000000,BASE,VMIN_BUS_33,-75.0762557761434,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,305.000000,ADAPTIVE,VMIN_BUS_33,-99.5801541577848,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,310.000000,BASE,VMIN_BUS_33,-132.809603646663,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,325.000000,ADAPTIVE,VMAX_BUS_13,0,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,330.000000,BASE,VMAX_BUS_13,-41.4220393383289,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,335.000000,ADAPTIVE,VMAX_BUS_13,-65.3133978576432,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,340.000000,BASE,VMAX_BUS_13,-80.4503894984803,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,345.000000,ADAPTIVE,VMAX_BUS_13,-90.8048418091239,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,350.000000,BASE,VMAX_BUS_13,-97.7563343708841,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,40.000000,BASE,VMAX_BUS_13,-111.60626158838,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
2010-07-01 07:30:00,RAY,50.000000,BASE,VMAX_BUS_13,-107.230731001792,true,CONSTRUCTION_SANITY_CHECK_NOT_AC_INTERIOR_CERTIFICATION
