timestamp,geometry_stage,vertex_count,minimum_edge_length_kw,maximum_edge_length_kw,maximum_to_minimum_edge_length_ratio,minimum_normalized_vertex_radius,maximum_normalized_vertex_radius,longest_radius_vertex_count,longest_radius_vertex_angles_deg,nearest_guard_deviations_for_longest_vertices_deg,stored_guard_direction_count,active_guard_cap_count,active_guard_cap_ids,guard_alignment_threshold_deg,guard_alignment_classification
2011-01-21 18:00:00,PHYSICAL_FACETS_BEFORE_GUARD_CAPS,4,4135.50082283352,5649.52222996118,1.36610351974016,1.04441649455593,2.30773361820704,1,138.605705569173,3.60570556917293,2,0,,,RAW_OFFSET_DEPENDENT_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2011-01-21 18:00:00,COUPLED_CANDIDATE_AFTER_GUARD_CAPS,6,538.247620762581,4952.60821778639,9.2013564514593,1.04441649455593,2.01754839112421,1,142.562399093799,7.56239909379855,2,2,GUARD_CAP_ADAPTIVE_135DEG;GUARD_CAP_BASE_320DEG,,RAW_OFFSET_DEPENDENT_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2011-02-05 11:30:00,PHYSICAL_FACETS_BEFORE_GUARD_CAPS,4,4110.15878191837,5682.10357320059,1.38245354369218,0.876059121950632,2.34341412215534,1,142.561131586874,2.56113158687404,2,0,,,RAW_OFFSET_DEPENDENT_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2011-02-05 11:30:00,COUPLED_CANDIDATE_AFTER_GUARD_CAPS,6,404.806591613992,5164.52670467551,12.7580103972225,0.876059121950632,2.01884686561106,1,147.835089279011,7.83508927901073,2,2,GUARD_CAP_ADAPTIVE_315DEG;GUARD_CAP_BASE_140DEG,,RAW_OFFSET_DEPENDENT_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2011-02-05 17:30:00,PHYSICAL_FACETS_BEFORE_GUARD_CAPS,4,4144.33999783218,5759.45994380905,1.38971704706219,0.807592349419951,2.39109748621623,1,144.394862971402,0.605137028597966,2,0,,,RAW_OFFSET_DEPENDENT_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2011-02-05 17:30:00,COUPLED_CANDIDATE_AFTER_GUARD_CAPS,6,390.361340702282,5270.47337564831,13.5015249362717,0.807592349419951,2.01145804455309,1,151.118483161025,6.11848316102524,2,2,GUARD_CAP_ADAPTIVE_145DEG;GUARD_CAP_BASE_310DEG,,RAW_OFFSET_DEPENDENT_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2011-02-05 18:00:00,PHYSICAL_FACETS_BEFORE_GUARD_CAPS,4,4130.06005025958,5750.86132760604,1.39244012378091,0.790883347588483,2.39042677318689,1,144.741417804093,0.258582195907167,2,0,,,RAW_OFFSET_DEPENDENT_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2011-02-05 18:00:00,COUPLED_CANDIDATE_AFTER_GUARD_CAPS,6,371.696977553485,5285.22982451915,14.2191896724763,0.790883347588483,2.01300374610644,1,151.516038585281,6.51603858528071,2,2,GUARD_CAP_ADAPTIVE_145DEG;GUARD_CAP_BASE_310DEG,,RAW_OFFSET_DEPENDENT_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2011-02-06 00:00:00,PHYSICAL_FACETS_BEFORE_GUARD_CAPS,4,4107.10217987973,5636.33816752273,1.37233940639086,0.987021717386322,2.30736388960788,1,139.83903493616,0.160965063839569,4,0,,,RAW_OFFSET_DEPENDENT_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
2011-02-06 00:00:00,COUPLED_CANDIDATE_AFTER_GUARD_CAPS,8,101.69235904685,5023.2825968471,49.3968538435896,0.987021717386322,2.00544135897695,1,144.22167291339,4.22167291339005,4,4,GUARD_CAP_ADAPTIVE_135DEG;GUARD_CAP_ADAPTIVE_315DEG;GUARD_CAP_BASE_140DEG;GUARD_CAP_BASE_320DEG,,RAW_OFFSET_DEPENDENT_DIAGNOSTIC_THRESHOLD_NOT_PREREGISTERED
