timestamp,polygon_vertex_count,kernel_empty,kernel_vertex_count,kernel_area_kw2,production_center_location_in_kernel,production_center_in_polygon_kernel,nearest_kernel_boundary_distance_kw,signed_distance_to_kernel_boundary_kw,minimum_center_signed_polygon_edge_halfplane_distance_kw,center_satisfies_every_ccw_edge_left_halfplane,every_radial_segment_center_to_every_polygon_boundary_point_inside,visibility_verification_basis,kernel_method,halfplane_tolerance_kw,polygon_boundary_tolerance_kw,center_p13_abs_kw,center_p30_abs_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,coordinate_semantics,units
2010-07-01 07:30:00,51,false,20,11272616.9362049,INSIDE,true,1249.55875168059,1249.55875168059,1249.55875168059,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,452.1875,614.6875,1595,1595,2294.6875,2294.6875,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2010-07-02 17:30:00,53,false,30,15423658.3508193,INSIDE,true,1049.8134626096,1049.8134626096,1049.8134626096,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,889.53125,1223.90625,1603.90625,1603.90625,2314.53125,2314.53125,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2010-07-02 18:00:00,53,false,30,15376645.9211236,INSIDE,true,1069.98662877582,1069.98662877582,1069.98662877582,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,825.234375,1134.53125,1602.578125,1602.578125,2311.71875,2311.71875,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2010-07-03 00:00:00,53,false,32,15265661.027422,INSIDE,true,1377.85903728152,1377.85903728152,1377.85903728152,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,59.6875,68.28125,1586.875,1586.875,2276.71875,2276.71875,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2010-11-26 18:00:00,53,false,32,15331303.3263059,INSIDE,true,1352.06598359756,1352.06598359756,1352.06598359756,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,140.78125,181.25,1588.59375,1588.59375,2280.625,2280.625,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2010-12-21 11:30:00,53,false,32,15196514.8214852,INSIDE,true,1419.30400851255,1419.30400851255,1419.30400851255,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,-71.015625,-113.671875,1584.296875,1584.296875,2270.859375,2270.859375,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2010-12-21 12:00:00,53,false,32,15196110.7350691,INSIDE,true,1416.28418889586,1416.28418889586,1416.28418889586,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,-62.109375,-101.25,1584.453125,1584.453125,2271.25,2271.25,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2011-01-21 18:00:00,53,false,30,15428768.0545728,INSIDE,true,1309.18726128218,1309.18726128218,1309.18726128218,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,274.21875,366.875,1591.40625,1591.40625,2286.5625,2286.5625,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2011-02-05 11:30:00,53,false,30,15465273.7830067,INSIDE,true,1034.02214340356,1034.02214340356,1034.02214340356,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,942.890625,1298.4375,1604.921875,1604.921875,2316.875,2316.875,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
2011-02-05 17:30:00,54,false,28,15338531.9076939,INSIDE,true,847.492854717893,847.492854717893,847.492854717893,true,true,CENTER_IN_INTERSECTION_OF_ALL_CCW_POLYGON_EDGE_LEFT_HALFPLANES;POLYGON_KERNEL_THEOREM,DETERMINISTIC_SUTHERLAND_HODGMAN_INTERSECTION_OF_NORMALIZED_CCW_EDGE_HALFPLANES,1e-09,1e-08,1316.25,1818.125,1612.5,1612.5,2333.75,2333.75,ABSOLUTE_PHYSICAL_PCC_KERNEL;CENTERED_SIGN_NORMALIZED_PRODUCTION_RAY_ORDER,kW coordinates and distance; kW^2 area
