timestamp,axis_span_p13_kw,axis_span_p30_kw,angular_polygon_diameter_kw,angular_polygon_area_kw2,convex_hull_area_kw2,convex_hull_area_over_angular_polygon_area,median_inward_physical_radius_kw,median_inward_normalized_radius,center_p13_abs_kw,center_p30_abs_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,coordinate_semantics,units
2011-03-08 12:30:00,3169.6875,4543.90625,7495.02800659634,16208908.5693266,16535004.2903984,1.02011830220875,2188.254760666,1.05869140625134,-47.03125,-80.390625,1584.84375,1584.84375,2271.953125,2271.953125,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2011-05-11 17:30:00,3197.65625,4606.25,7528.72597427574,16267237.2337561,16590750.1150292,1.01988738939651,2272.32787962498,1.10214843749905,638.359375,874.0625,1598.828125,1598.828125,2303.125,2303.125,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2011-05-11 18:00:00,3197.96875,4607.34375,7523.40601489423,16262490.8430058,16581521.1385713,1.01961755420159,2278.37978772682,1.10419921875013,649.453125,889.765625,1598.984375,1598.984375,2303.671875,2303.671875,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2011-05-16 07:30:00,3183.90625,4575.78125,7669.54179741836,16226390.0806935,16459600.0158122,1.01437226234294,2232.038738195,1.06464843749812,302.109375,405.859375,1591.953125,1591.953125,2287.890625,2287.890625,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2011-09-11 00:00:00,3170.625,4546.09375,7489.91624126701,16204370.4105374,16522469.7130454,1.01963046353847,2178.28957696549,1.0634765624997,-21.25,-44.609375,1585.3125,1585.3125,2273.046875,2273.046875,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2011-09-30 05:30:00,3167.1875,4538.75,7507.48978472169,15990355.8233353,16239999.0419119,1.01561211153365,2177.92097806739,1.05224609374919,-103.28125,-158.75,1583.59375,1583.59375,2269.375,2269.375,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2011-09-30 11:30:00,3170,4545,7492.38299226647,16206655.563008,16529571.888878,1.01992492063613,2183.4920812884,1.06093750000171,-35.3125,-64.0625,1585,1585,2272.5,2272.5,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2011-11-14 17:30:00,3197.65625,4606.5625,7527.18922704128,16265889.1760166,16588385.7445983,1.0198265563654,2273.78719760478,1.10263671874876,640.859375,877.65625,1598.828125,1598.828125,2303.28125,2303.28125,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2011-11-14 19:30:00,3199.53125,4610.78125,7506.60276194964,16247865.9112606,16565437.5114773,1.01954543457899,2299.26585724279,1.11132812499853,688.515625,943.984375,1599.765625,1599.765625,2305.390625,2305.390625,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2011-12-15 05:30:00,3166.25,4536.875,7512.07925885878,15989694.7117428,16249504.3555538,1.01624856812433,2185.75809746815,1.0497070312493,-124.375,-188.125,1583.125,1583.125,2268.4375,2268.4375,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2012-08-04 03:30:00,3166.09375,4535.9375,7514.14831336057,15989260.689368,16253815.5644387,1.01654578533744,2185.37347410855,1.04775390624925,-133.046875,-200.15625,1583.046875,1583.046875,2267.96875,2267.96875,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2012-08-05 23:30:00,3170.46875,4545.625,7490.90362103007,16205190.0455788,16525379.7271263,1.01975846507489,2179.82855293533,1.06269531249982,-25.703125,-50.625,1585.234375,1585.234375,2272.8125,2272.8125,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2012-08-24 12:00:00,3168.4375,4541.25,7501.3692005277,16214342.3706549,16548978.1057851,1.02063825516204,2199.30279158073,1.05341796874935,-75.15625,-119.6875,1584.21875,1584.21875,2270.625,2270.625,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2012-08-31 11:30:00,3167.8125,4539.84375,7505.06774234884,16218622.043489,16558789.0238658,1.02097385212287,2205.66385496784,1.05292968750013,-91.40625,-142.109375,1583.90625,1583.90625,2269.921875,2269.921875,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2012-09-03 07:00:00,3180.46875,4567.96875,7543.93163405803,16206594.9715994,16459854.4117287,1.01562693709401,2187.22609745893,1.05019531249914,216.953125,287.265625,1590.234375,1590.234375,2283.984375,2283.984375,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2012-10-15 13:00:00,3166.40625,4536.875,7512.56826625267,15989566.1757782,16249758.9400687,1.01627265939739,2185.72654499926,1.04975585937447,-124.140625,-187.8125,1583.203125,1583.203125,2268.4375,2268.4375,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2013-04-07 02:00:00,3174.0625,4553.90625,7471.58701278916,16196133.8020245,16489905.6210189,1.01813839170417,2148.34712193189,1.06357421874789,63.28125,73.359375,1587.03125,1587.03125,2276.953125,2276.953125,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
2013-04-17 05:30:00,3164.375,4532.34375,7523.14770468653,15989550.7764157,16269317.616949,1.01749685431725,2183.95560498548,1.04741210937745,-171.875,-254.296875,1582.1875,1582.1875,2266.171875,2266.171875,ABSOLUTE_PHYSICAL_PCC_WITH_PRODUCTION_CENTER_AND_SIGN_SPECIFIC_SCALES,kW spans/radii/diameter; kW^2 area
