timestamp,level,normalized_angle_deg,physical_displacement_angle_deg,quadrant,sector_30deg,p13_guard_endpoint_kw,p30_guard_endpoint_kw,displacement_p13_kw,displacement_p30_kw,displacement_norm_kw,s13_relevant_kw,s30_relevant_kw,maximum_component_to_20mw_axis_guard_ratio,adaptive_trigger,downstream_semantic_class
2010-07-03 00:00:00,BASE,320.0,309.714829766038,Q4,300-330,2490.92105135,-2858.61195648,2431.23355135,-2926.89320648,3804.9442076525524,1586.875,2276.71875,0.146344660324,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2012-08-31 11:30:00,BASE,320.0,309.7462975312235,Q4,300-330,2335.27891247,-3060.26468741,2426.68516247,-2918.15531241,3795.317023003316,1583.90625,2269.921875,0.1459077656205,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2010-07-01 07:30:00,BASE,140.0,129.63728230580716,Q2,120-150,-1991.49427355,3564.68088621,-2443.68177355,2949.99338621,3830.671166918823,1595.0,2294.6875,0.14749966931050001,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2010-07-01 07:30:00,BASE,320.0,309.63728230580716,Q4,300-330,2895.86927355,-2335.30588621,2443.68177355,-2949.99338621,3830.671166918823,1595.0,2294.6875,0.14749966931050001,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2012-08-24 12:00:00,BASE,320.0,309.7431306398775,Q4,300-330,2352.00769024,-3038.74673249,2427.16394024,-2919.05923249,3796.318163113633,1584.21875,2270.625,0.1459529616245,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2010-07-02 17:30:00,BASE,140.0,129.551676852303,Q2,120-150,-1567.79569019,4199.41026946,-2457.3269401899997,2975.5040194599997,3859.025765760856,1603.90625,2314.53125,0.14877520097299998,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2012-08-05 23:30:00,BASE,320.0,309.73405991955826,Q4,300-330,2403.01684302,-2972.49642828,2428.71996802,-2921.87142828,3799.475401480852,1585.234375,2272.8125,0.146093571414,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2010-07-02 18:00:00,BASE,140.0,129.56257782255796,Q2,120-150,-1630.05775964,4106.41958916,-2455.29213464,2971.88833916,3854.9422520785224,1602.578125,2311.71875,0.14859441695800002,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2011-09-30 05:30:00,BASE,320.0,309.74752662281105,Q4,300-330,2322.92513469,-3076.20226346,2426.20638469,-2917.45226346,3794.470335986091,1583.59375,2269.375,0.145872613173,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2011-09-11 00:00:00,BASE,320.0,309.732543675156,Q4,300-330,2407.58966246,-2966.78210997,2428.83966246,-2922.17273497,3799.7836252793204,1585.3125,2273.046875,0.1461086367485,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2011-09-30 11:30:00,BASE,320.0,309.73376825623893,Q4,300-330,2393.04838469,-2985.53218603,2428.36088469,-2921.46968603,3798.936918755644,1585.0,2272.5,0.1460734843015,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2012-09-03 07:00:00,BASE,320.0,309.68465879032044,Q4,300-330,2653.33353745,-2648.96808894,2436.38041245,-2936.23371394,3815.4184484860793,1590.234375,2283.984375,0.146811685697,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2011-11-14 17:30:00,BASE,140.0,129.59954512922684,Q2,120-150,-1808.68742632,3838.69754825,-2449.5468013199998,2961.04129825,3842.9214280022807,1598.828125,2303.28125,0.1480520649125,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2010-11-26 18:00:00,BASE,320.0,309.69703963947893,Q4,300-330,2574.64807912,-2750.66498468,2433.86682912,-2931.91498468,3810.4898922949224,1588.59375,2280.625,0.146595749234,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2011-11-14 19:30:00,BASE,140.0,129.59028163809367,Q2,120-150,-1762.46750965,3907.73743348,-2450.98313465,2963.75305848,3845.926483695222,1599.765625,2305.390625,0.14818765292400002,NOT_APPLICABLE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2012-10-15 13:00:00,ADAPTIVE,135.0,124.91221723716298,Q2,120-150,-2363.12795637,3020.2425779,-2238.98733137,3208.0550779,3912.1198413232855,1583.203125,2268.4375,0.160402753895,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2012-10-15 13:00:00,ADAPTIVE,325.0,314.9065314231006,Q4,300-330,2469.62752774,-2790.05709467,2593.76815274,-2602.24459467,3674.1407377314094,1583.203125,2268.4375,0.1301122297335,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2011-12-15 05:30:00,ADAPTIVE,135.0,124.91089029431771,Q2,120-150,-2363.25184593,3019.9300779,-2238.87684593,3208.0550779,3912.0566092633985,1583.125,2268.4375,0.160402753895,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2011-12-15 05:30:00,ADAPTIVE,325.0,314.9051177323776,Q4,300-330,2469.26516023,-2790.36959467,2593.64016023,-2602.24459467,3674.050382241258,1583.125,2268.4375,0.1301122297335,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2011-02-06 00:00:00,ADAPTIVE,135.0,124.80099692723975,Q2,120-150,-1794.04896329,3874.43484652,-2256.00208829,3245.84109652,3952.8508504909464,1595.234375,2295.15625,0.162292054826,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2011-02-06 00:00:00,ADAPTIVE,315.0,304.80099692723974,Q4,300-330,2717.95521329,-2617.24734652,2256.00208829,-3245.84109652,3952.8508504909464,1595.234375,2295.15625,0.162292054826,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2010-12-21 11:30:00,ADAPTIVE,135.0,124.90209478461297,Q2,120-150,-2311.54975245,3097.80825137,-2240.53412745,3211.48012637,3915.8138079251935,1584.296875,2270.859375,0.1605740063185,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
2011-02-05 11:30:00,ADAPTIVE,315.0,304.7107226267031,Q4,300-330,3212.59290717,-1978.11854732,2269.70228217,-3276.5560473200003,3985.8961327306274,1604.921875,2316.875,0.163827802366,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,CERTIFIED_FEASIBLE_GUARD_TRUNCATION
