timestamp,angle_deg,axis,expected_r1_p13_kw,expected_r1_p30_kw,constructed_r1_p13_kw,constructed_r1_p30_kw,r1_p13_absolute_error_kw,r1_p30_absolute_error_kw,geometry_tolerance_kw,cardinal_r1_geometry_identity_pass,actual_boundary_status,actual_boundary_r,actual_boundary_delta_r,actual_boundary_r_equal_one_required,normal_boundary_contract_pass,ray_bracket_width_kw,guard_limited
2010-12-21 12:00:00,90.0,P30_POSITIVE,-62.109375,2170.0,-62.1093749999999,2170.0,9.947598300641403e-14,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,1.0125,0.012499999999999956,False,True,0.443603515625,False
2010-12-21 12:00:00,180.0,P13_NEGATIVE,-1646.5625,-101.25,-1646.5625,-101.24999999999972,0.0,2.8421709430404007e-13,1e-09,True,RAY_CERTIFIED_BOUNDARY,0.98232421875,-0.017675781250000022,False,True,0.154731750488,False
2010-12-21 12:00:00,270.0,P30_NEGATIVE,-62.109375,-2372.5,-62.10937500000029,-2372.5,2.913225216616411e-13,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,0.98896484375,-0.011035156249999956,False,True,0.221801757813,False
2011-02-05 17:30:00,0.0,P13_POSITIVE,2928.75,1818.125,2928.75,1818.125,0.0,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,0.6259765625,-0.3740234375,False,True,0.31494140625,False
2011-02-05 17:30:00,90.0,P30_POSITIVE,1316.25,4151.875,1316.25,4151.875,0.0,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,0.73447265625,-0.26552734375,False,True,0.227905273438,False
2011-02-05 17:30:00,180.0,P13_NEGATIVE,-296.25,1818.125,-296.25,1818.1250000000002,0.0,2.2737367544323206e-13,1e-09,True,RAY_CERTIFIED_BOUNDARY,1.3189453125,0.3189453124999999,False,True,0.157470703125,False
2011-02-05 17:30:00,270.0,P30_NEGATIVE,1316.25,-515.625,1316.2499999999998,-515.625,2.2737367544323206e-13,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,1.23212890625,0.23212890625000004,False,True,0.227905273437,False
2011-01-21 18:00:00,0.0,P13_POSITIVE,1865.625,366.875,1865.625,366.875,0.0,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,0.924609375,-0.07539062500000004,False,True,0.310821533203,False
2011-01-21 18:00:00,90.0,P30_POSITIVE,274.21875,2653.4375,274.2187500000001,2653.4375,1.1368683772161603e-13,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,0.94453125,-0.055468749999999956,False,True,0.446594238281,False
2011-01-21 18:00:00,180.0,P13_NEGATIVE,-1317.1875,366.875,-1317.1875,366.8750000000003,0.0,2.8421709430404007e-13,1e-09,True,RAY_CERTIFIED_BOUNDARY,1.06416015625,0.06416015625000004,False,True,0.155410766602,False
2011-01-21 18:00:00,270.0,P30_NEGATIVE,274.21875,-1919.6875,274.2187499999997,-1919.6875,2.8421709430404007e-13,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,1.0486328125,0.048632812499999956,False,True,0.223297119141,False
2011-02-05 18:00:00,0.0,P13_POSITIVE,2979.53125,1887.34375,2979.53125,1887.34375,0.0,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,0.61171875,-0.38828125,False,True,0.315139770508,False
2011-02-05 18:00:00,90.0,P30_POSITIVE,1366.015625,4223.4375,1366.015625,4223.4375,0.0,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,0.7244140625,-0.27558593750000004,False,True,0.456268310547,False
2011-02-05 18:00:00,180.0,P13_NEGATIVE,-247.5,1887.34375,-247.5,1887.3437500000002,0.0,2.2737367544323206e-13,1e-09,True,RAY_CERTIFIED_BOUNDARY,1.33125,0.33125000000000004,False,True,0.157569885254,False
2011-02-05 18:00:00,270.0,P30_NEGATIVE,1366.015625,-448.75,1366.0156249999998,-448.75,2.2737367544323206e-13,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,1.2408203125,0.2408203124999999,False,True,0.456268310547,False
2013-04-17 05:30:00,0.0,P13_POSITIVE,1410.3125,-254.296875,1410.3125,-254.296875,0.0,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,1.0521484375,0.05214843750000009,False,True,0.309020996094,False
2013-04-17 05:30:00,90.0,P30_POSITIVE,-171.875,2011.875,-171.87499999999991,2011.875,8.526512829121202e-14,0.0,1e-09,True,RAY_CERTIFIED_BOUNDARY,1.0349609375,0.034960937499999956,False,True,0.221305847168,False
2013-04-17 05:30:00,180.0,P13_NEGATIVE,-1754.0625,-254.296875,-1754.0625,-254.29687499999972,0.0,2.8421709430404007e-13,1e-09,True,RAY_CERTIFIED_BOUNDARY,0.95556640625,-0.04443359375,False,True,0.154510498047,False
