timestamp,delta_r_0,delta_r_90,delta_r_180,delta_r_270,R13,R30,absolute_R13,absolute_R30,relative_R13,relative_R30,binding_mechanism_0,binding_bus_0,binding_mechanism_90,binding_bus_90,binding_mechanism_180,binding_bus_180,binding_mechanism_270,binding_bus_270
2010-07-01 07:30:00,-0.12636718749999998,-0.09140625000000002,0.10761718750000004,0.080078125,-0.018749999999999933,-0.011328125000000022,0.018749999999999933,0.011328125000000022,0.1602671118530879,0.13211845102505718,BINDING_VMAX,13,BINDING_VMAX,30,BINDING_VMIN,18,BINDING_VMIN,33
2010-07-02 17:30:00,-0.2515625,-0.1796875,0.21435546875,0.1571289062500001,-0.03720703125000002,-0.02255859374999991,0.03720703125000002,0.02255859374999991,0.15971494445608897,0.1339518701072769,BINDING_VMAX,13,BINDING_VMAX,30,BINDING_VMIN,18,BINDING_VMIN,33
2010-07-02 18:00:00,-0.23310546875000004,-0.16679687499999996,0.19873046875,0.14580078124999996,-0.034375000000000044,-0.02099609375,0.034375000000000044,0.02099609375,0.15920398009950268,0.1343330209309591,BINDING_VMAX,13,BINDING_VMAX,30,BINDING_VMIN,18,BINDING_VMIN,33
2010-07-03 00:00:00,-0.013867187500000044,-0.012109374999999978,0.012011718749999956,0.010644531250000089,-0.0018554687500000888,-0.001464843749999889,0.0018554687500000888,0.001464843749999889,0.1433962264151012,0.12875536480685681,BINDING_VMAX,13,BINDING_VMAX,30,BINDING_VMIN,18,BINDING_VMIN,33
2010-11-26 18:00:00,-0.037109375,-0.028613281249999956,0.03173828125,0.02490234375,-0.00537109375,-0.0037109374999999556,0.00537109375,0.0037109374999999556,0.15602836879432624,0.13868613138685976,BINDING_VMAX,13,BINDING_VMAX,30,BINDING_VMIN,18,BINDING_VMIN,33
2010-12-21 11:30:00,0.0234375,0.014355468750000044,-0.019921874999999978,-0.012597656249999978,0.003515625000000022,0.0017578125000000666,0.003515625000000022,0.0017578125000000666,0.16216216216216328,0.13043478260870048,BINDING_VMAX,13,BINDING_VMAX,30,BINDING_VMIN,18,BINDING_VMIN,33
2010-12-21 12:00:00,0.020800781249999956,0.012499999999999956,-0.017675781250000022,-0.011035156249999956,0.0031249999999999334,0.00146484375,0.0031249999999999334,0.00146484375,0.16243654822334688,0.12448132780083035,BINDING_VMAX,13,BINDING_VMAX,30,BINDING_VMIN,18,BINDING_VMIN,33
2011-01-21 18:00:00,-0.07539062500000004,-0.055468749999999956,0.06416015625000004,0.048632812499999956,-0.01123046875,-0.0068359375,0.01123046875,0.0068359375,0.1609517144856542,0.13133208255159487,BINDING_VMAX,13,BINDING_VMAX,30,BINDING_VMIN,18,BINDING_VMIN,33
2011-02-05 11:30:00,-0.26679687500000004,-0.1904296875,0.2274414062500001,0.1666015624999999,-0.039355468749999956,-0.02382812500000009,0.039355468749999956,0.02382812500000009,0.15925706382137894,0.13347921225382986,BINDING_VMAX,13,BINDING_VMAX,30,BINDING_VMIN,18,BINDING_VMIN,33
2011-02-05 17:30:00,-0.3740234375,-0.26552734375,0.3189453124999999,0.23212890625000004,-0.05507812500000009,-0.03339843749999993,0.05507812500000009,0.03339843749999993,0.1589627959413757,0.13422291993720536,BINDING_VMAX,13,BINDING_VMAX,30,BINDING_VMIN,18,BINDING_VMIN,33
