group,quantity,unit,count,min,Q01,Q05,Q25,median,Q75,Q95,Q99,max,quantile_definition,source_termination_rule,empirical_asymmetry_classification
ALL_SIGNED_AXES,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH,kW,128,0.15625,0.15625,0.15625,0.15625,0.3125,0.3125,0.3125,0.625,0.625,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
P13+,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH,kW,32,0.15625,0.15625,0.15625,0.15625,0.3125,0.3125,0.3125,0.3125,0.3125,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
P13-,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH,kW,32,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.3125,0.3125,0.3125,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
P30+,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH,kW,32,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.625,0.625,0.625,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
P30-,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH,kW,32,0.15625,0.15625,0.15625,0.15625,0.234375,0.3125,0.3125,0.3125,0.3125,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
