customer,gc_completeness,gg_completeness,accepted,rejection_reason
45,1.0,1.0,True,
46,1.0,1.0,True,
47,1.0,1.0,True,
48,1.0,1.0,True,
49,1.0,1.0,True,
5,1.0,1.0,True,
50,1.0,1.0,True,
51,1.0,1.0,True,
52,1.0,1.0,True,
53,1.0,1.0,True,
54,1.0,1.0,True,
55,1.0,1.0,True,
56,1.0,1.0,True,
57,1.0,1.0,True,
58,1.0,1.0,True,
59,1.0,1.0,True,
6,1.0,1.0,True,
60,1.0,1.0,True,
61,1.0,1.0,True,
62,1.0,1.0,True,
63,1.0,1.0,True,
64,1.0,1.0,True,
65,1.0,1.0,True,
66,1.0,1.0,True,
67,1.0,1.0,True,
68,1.0,1.0,True,
69,1.0,1.0,True,
7,1.0,1.0,True,
70,1.0,1.0,True,
71,1.0,1.0,True,
72,1.0,1.0,True,
73,1.0,1.0,True,
74,1.0,1.0,True,
75,1.0,1.0,True,
76,1.0,1.0,True,
77,1.0,1.0,True,
78,1.0,1.0,True,
79,1.0,1.0,True,
8,1.0,1.0,True,
80,1.0,1.0,True,
81,1.0,1.0,True,
82,1.0,1.0,True,
83,1.0,1.0,True,
84,1.0,1.0,True,
85,1.0,1.0,True,
86,1.0,1.0,True,
87,1.0,1.0,True,
88,1.0,1.0,True,
89,1.0,1.0,True,
9,1.0,1.0,True,
90,1.0,1.0,True,
91,1.0,1.0,True,
92,1.0,1.0,True,
93,1.0,1.0,True,
94,1.0,1.0,True,
95,1.0,1.0,True,
96,1.0,1.0,True,
97,1.0,1.0,True,
98,1.0,1.0,True,
99,1.0,1.0,True,
