datetime,load_kw_mean,gc_customer_count,pv_shape_mean,gg_customer_count,load_multiplier,pv_profile,date,slot,rank,stress_index
2012-10-15 00:00:00,0.3998260869565218,299,2.6231228277264083e-05,299,0.14336527276433983,3.184774725949213e-05,2012-10-15,0,1,5.867350757807627
2012-10-15 00:30:00,0.3841872909698995,299,0.00010549424999552877,299,0.13775768405147085,0.00012808222991598706,2012-10-15,1,1,5.867350757807627
2012-10-15 01:00:00,0.3648093645484952,299,0.00012056996711728172,299,0.13080935877295036,0.00014638589543916568,2012-10-15,2,1,5.867350757807627
2012-10-15 01:30:00,0.3475785953177258,299,0.00013068772659565497,299,0.12463093767613663,0.00015867002652496972,2012-10-15,3,1,5.867350757807627
2012-10-15 02:00:00,0.3625418060200668,299,5.734838314023834e-05,299,0.1299962823941382,6.962757491512044e-05,2012-10-15,4,1,5.867350757807627
2012-10-15 02:30:00,0.3409230769230769,299,0.00011387163561076605,299,0.12224447455838444,0.00013825334569254533,2012-10-15,5,1,5.867350757807627
2012-10-15 03:00:00,0.3492173913043481,299,0.00010469643583640554,299,0.12521855924784453,0.0001271135911838914,2012-10-15,6,1,5.867350757807627
2012-10-15 03:30:00,0.3306153846153846,299,3.934684241589613e-05,299,0.11854845479511199,4.7771620889238203e-05,2012-10-15,7,1,5.867350757807627
2012-10-15 04:00:00,0.3254448160535117,299,2.986043492372606e-05,299,0.11669444877498897,3.625402419045731e-05,2012-10-15,8,1,5.867350757807627
2012-10-15 04:30:00,0.3200334448160533,299,7.127399454765184e-05,299,0.1147540983606557,8.653487898222007e-05,2012-10-15,9,1,5.867350757807627
2012-10-15 05:00:00,0.3512909698996657,299,8.791208791208792e-05,299,0.12596208042020948,0.00010673545010109794,2012-10-15,10,1,5.867350757807627
2012-10-15 05:30:00,0.36962541806020055,299,0.00013512517604589216,299,0.1325362466571528,0.0001640576037697005,2012-10-15,11,1,5.867350757807627
2012-10-15 06:00:00,0.4763411371237455,299,0.000391588587544819,299,0.1708012040246081,0.00047543386966131246,2012-10-15,12,1,5.867350757807627
2012-10-15 06:30:00,0.6078929765886288,299,0.016605732708746705,299,0.21797162627268052,0.02016128153729012,2012-10-15,13,1,5.867350757807627
2012-10-15 07:00:00,0.6433377926421405,299,0.07115169340632384,299,0.23068104140933252,0.0863863912409145,2012-10-15,14,1,5.867350757807627
2012-10-15 07:30:00,0.6870769230769231,299,0.15011769419289722,299,0.24636454123544452,0.18226025610767815,2012-10-15,15,1,5.867350757807627
2012-10-15 08:00:00,0.6737257525083614,299,0.25263956771116053,299,0.24157722426757186,0.30673367694284687,2012-10-15,16,1,5.867350757807627
2012-10-15 08:30:00,0.5771705685618732,299,0.3582227591235834,299,0.20695552064470502,0.43492389203345877,2012-10-15,17,1,5.867350757807627
2012-10-15 09:00:00,0.4761204013377929,299,0.4583425989626414,299,0.17072205499658236,0.5564809659589243,2012-10-15,18,1,5.867350757807627
2012-10-15 09:30:00,0.46626086956521734,299,0.5452395171813446,299,0.16718673174475643,0.6619838825515385,2012-10-15,19,1,5.867350757807627
2012-10-15 10:00:00,0.465819397993311,299,0.6182719696310782,299,0.16702843368870454,0.7506537329594198,2012-10-15,20,1,5.867350757807627
2012-10-15 10:30:00,0.4456187290969899,299,0.6808868681455781,299,0.15978509839663263,0.8266754671111891,2012-10-15,21,1,5.867350757807627
2012-10-15 11:00:00,0.4956989966555183,299,0.7265205622946237,299,0.17774233393694466,0.8820800536754959,2012-10-15,22,1,5.867350757807627
2012-10-15 11:30:00,0.4861070234113711,299,0.7501426435186236,299,0.17430294890090783,0.9107599944168605,2012-10-15,23,1,5.867350757807627
2012-10-15 12:00:00,0.48917725752508395,299,0.7635145440620625,299,0.17540383992708716,0.9269950294058865,2012-10-15,24,1,5.867350757807627
2012-10-15 12:30:00,0.46966555183946473,299,0.7645244278820352,299,0.16840754554067183,0.9282211452522351,2012-10-15,25,1,5.867350757807627
2012-10-15 13:00:00,0.4348963210702343,299,0.7535993810684701,299,0.15594037439888725,0.9149568739021162,2012-10-15,26,1,5.867350757807627
2012-10-15 13:30:00,0.4318060200668895,299,0.7309871262718894,299,0.15483228800652382,0.8875029793258973,2012-10-15,27,1,5.867350757807627
2012-10-15 14:00:00,0.4147826086956524,299,0.7006265668440014,299,0.1487282190269468,0.8506417461005267,2012-10-15,28,1,5.867350757807627
2012-10-15 14:30:00,0.4245418060200672,299,0.6537140314261162,299,0.15222756544785176,0.7936844982164938,2012-10-15,29,1,5.867350757807627
