rank,date,complete_48_intervals,stress_index,critical_slot,critical_time,daily_pv_energy_index,daily_load_energy_index,max_pv_profile,min_load_multiplier_during_active_pv
1,2012-10-15,True,5.867350757807627,26,2012-10-15 13:00:00,6.762305830496844,4.501008550493484,0.9282211452522351,0.1487282190269468
2,2012-10-10,True,5.806024584357556,24,2012-10-10 12:00:00,6.683100406806595,4.57313010421289,0.9323116215303071,0.15503855517047027
3,2012-12-06,True,5.682464696192585,26,2012-12-06 13:00:00,7.325749638761339,4.29115569573195,0.9427551136520576,0.1553311667286268
4,2012-10-24,True,5.6566894520500774,26,2012-10-24 13:00:00,7.055215276401744,4.518742729682087,0.9623206324220266,0.15383213210692326
5,2012-10-23,True,5.651692211720914,26,2012-10-23 13:00:00,6.430058270774688,4.569244606473434,0.9381998543808354,0.1466295705565617
6,2012-12-05,True,5.639888425496814,26,2012-12-05 13:00:00,7.425432378095128,4.421840334824376,0.9748458385109914,0.15247220789811372
7,2012-09-10,True,5.634468085973468,23,2012-09-10 11:30:00,5.820501674888435,4.88258841306199,0.8629783132480939,0.15200450909614208
8,2012-09-18,True,5.604165245940325,24,2012-09-18 12:00:00,5.238208264247331,4.857311091656975,0.8359841641293221,0.14750020986484705
9,2011-09-22,True,5.591993608234086,22,2011-09-22 11:00:00,6.098242113545349,4.5460335543909745,0.8797281494363149,0.15599553887296574
10,2012-09-20,True,5.587388081955998,23,2012-09-20 11:30:00,5.579289931309363,4.688884358473144,0.8550438537928472,0.15042632544641257
11,2012-09-05,True,5.559914557854658,22,2012-09-05 11:00:00,5.633521603798932,4.746578003765577,0.8393024623871386,0.15055824049312255
12,2011-10-19,True,5.478603674743159,28,2011-10-19 14:00:00,7.025869249841319,4.68824996702124,0.9533897681538661,0.1522515500017989
13,2012-11-12,True,5.458955235956325,22,2012-11-12 11:00:00,7.28001387915287,4.477485699209711,0.9732327455301278,0.1624042116876732
14,2012-11-13,True,5.452494061650535,26,2012-11-13 13:00:00,6.380860881890937,4.430661853766177,0.9258414356451893,0.15266168587429688
15,2010-10-20,True,5.452203539944723,28,2010-10-20 14:00:00,6.281681529679421,4.66102390060801,0.8835845011761483,0.15635530718217486
16,2010-10-18,True,5.448374645571291,24,2010-10-18 12:00:00,6.986804814823164,4.787125091441114,0.9588543489835086,0.1705637569405304
17,2012-09-24,True,5.418667275080619,23,2012-09-24 11:30:00,6.317615242942694,4.5930384832168105,0.912622434488436,0.1609387554414958
18,2012-10-04,True,5.411784462050557,23,2012-10-04 11:30:00,6.412345652715228,4.65499898065646,0.899773498039066,0.15445573050955194
19,2011-09-21,True,5.401289868595452,23,2011-09-21 11:30:00,6.239432317144253,4.63259261035893,0.8926731528303143,0.15319174451653153
20,2011-10-20,True,5.387766696465983,24,2011-10-20 12:00:00,6.968299181969789,4.618925012292086,0.9344112406418648,0.16414309184884926
21,2010-12-21,True,5.385350239204419,25,2010-12-21 12:30:00,7.728895386917985,4.827339993044481,1.0,0.18108817921258719
22,2012-12-04,True,5.359641297747288,22,2012-12-04 11:00:00,7.391131679202358,4.678831232686151,0.9476656995518847,0.1691414728914579
23,2012-10-03,True,5.333509950952907,22,2012-10-03 11:00:00,6.390485156935529,4.498540539892311,0.9055662194097241,0.15648482377348993
24,2012-10-31,True,5.320758935995259,23,2012-10-31 11:30:00,6.637732092153999,4.351680717617855,0.8985651814237862,0.15983066904913246
25,2013-02-06,True,5.31903479869469,27,2013-02-06 13:30:00,6.905730363772065,4.540777339393431,0.9254267075139125,0.16214278004964808
26,2012-10-29,True,5.290522808900069,28,2012-10-29 14:00:00,6.037166939879389,4.515116265125261,0.8395706275855034,0.1568062167963831
27,2012-10-25,True,5.2866899037835795,23,2012-10-25 11:30:00,6.267556252453545,4.677741134709249,0.8807058117782403,0.15996738100663171
28,2011-11-02,True,5.270883764112722,25,2011-11-02 12:30:00,6.507135574163714,4.665156439253123,0.93077838995662,0.16601148860134077
29,2011-09-07,True,5.2697021506763315,23,2011-09-07 11:30:00,5.435873837346846,4.8755381534291935,0.8299621318102638,0.15477472507705042
30,2010-11-24,True,5.259528128312283,25,2010-11-24 12:30:00,7.473803147225826,4.706983102881747,0.9678409742250079,0.18125127417942852
31,2012-09-06,True,5.256949714588668,22,2012-09-06 11:00:00,5.675495432205128,4.570971494357636,0.8537153570942664,0.15751136268243252
32,2012-09-19,True,5.251905740805223,21,2012-09-19 10:30:00,5.5486545717998315,4.734200774701094,0.8407508332714809,0.1470804801707701
33,2010-11-23,True,5.2210958496637945,28,2010-11-23 14:00:00,7.115228729185464,4.628408504922831,0.9561791708481489,0.16627531869476053
34,2012-10-19,True,5.195300228813561,26,2012-10-19 13:00:00,5.938757081262452,4.498691642582179,0.893262875587095,0.1691870435439577
35,2012-10-02,True,5.19346273686526,25,2012-10-02 12:30:00,5.956278550338054,4.644777962991835,0.8579565761648228,0.1582692745871659
36,2011-09-23,True,5.179441574722246,22,2011-09-23 11:00:00,6.033885709270118,4.57287466871335,0.8750960412635254,0.16690371400817874
37,2012-03-13,True,5.169851679637014,27,2012-03-13 13:30:00,6.044889833288198,4.696921582500871,0.8570340355916762,0.16514324774845007
38,2013-02-04,True,5.160628069096823,25,2013-02-04 12:30:00,6.062498386897276,4.51190593257942,0.9070134775812678,0.1646779474018733
39,2012-11-02,True,5.154885451176592,28,2012-11-02 14:00:00,6.344526181044102,4.457444205931382,0.8769932216810047,0.16193651288570157
40,2013-02-07,True,5.150895487755616,25,2013-02-07 12:30:00,7.0231189217230305,4.670199191720534,0.9211117529667956,0.16177101946346562
41,2011-02-24,True,5.1434587052196905,27,2011-02-24 13:30:00,6.683556436148911,4.729324714883617,0.9393888579396528,0.17314449494525533
42,2011-09-13,True,5.1433802756250335,23,2011-09-13 11:30:00,6.0243702918421285,5.433380502956099,0.8872542232333083,0.16146161871754605
43,2011-10-21,True,5.134017680581459,24,2011-10-21 12:00:00,6.659111886243904,4.674400086344397,0.8918760236818375,0.17215872977802316
44,2010-11-22,True,5.1302408942827435,25,2010-11-22 12:30:00,6.932423870650529,4.721125595116748,0.9518185394728386,0.1792317747370694
45,2013-04-11,True,5.129487136045714,23,2013-04-11 11:30:00,5.286324046776652,4.3029836785110405,0.800767646541891,0.15573410723494077
46,2012-12-12,True,5.117099103300855,26,2012-12-12 13:00:00,6.813282532637022,4.429417055416313,0.9162802832435457,0.1612385623658363
47,2010-10-21,True,5.114197695351312,26,2010-10-21 13:00:00,6.6900709362626385,4.722443546356148,0.9307858816092734,0.1726360224015733
48,2011-09-06,True,5.112717463457355,23,2011-09-06 11:30:00,5.355302456362155,4.795480110808642,0.7996948125293105,0.15641287011164814
49,2011-09-14,True,5.110210305085245,24,2011-09-14 12:00:00,6.035504194280115,5.0031839495365,0.8839869144808895,0.1672874668713349
50,2012-10-09,True,5.103941764543407,28,2012-10-09 14:00:00,5.262931892342671,4.655748497967311,0.8163816158521651,0.15522083778046944
51,2012-01-12,True,5.100251116957411,27,2012-01-12 13:30:00,7.347902756931271,4.427441927398757,0.9124511759985858,0.17271517142959936
52,2012-10-16,True,5.095451172959321,24,2012-10-16 12:00:00,6.271699172286372,4.606718073560629,0.8771286318837799,0.1636921822346409
53,2012-12-13,True,5.0934950959571,26,2012-12-13 13:00:00,7.250213094295711,4.590891865638531,0.9447035527608922,0.1692781848489572
54,2012-09-27,True,5.086529718349739,23,2012-09-27 11:30:00,4.923625350106483,4.46269322556274,0.8469965312479575,0.15768405147085285
55,2011-10-18,True,5.083411413873624,27,2011-10-18 13:30:00,5.848384087105474,4.722100567234703,0.870532756786014,0.16558696199647452
56,2012-09-14,True,5.073483695759741,26,2012-09-14 13:00:00,6.050501639609966,5.351377313010423,0.8821300176679423,0.1519973137299581
57,2012-09-12,True,5.072559895066191,23,2012-09-12 11:30:00,5.1890765311436065,4.665816014486673,0.809886833906404,0.14257138402868555
58,2013-01-14,True,5.06908711634484,28,2013-01-14 14:00:00,6.043754657460534,4.559083550193677,0.9245398233674418,0.17887680333864991
59,2011-09-19,True,5.0576235402138705,24,2011-09-19 12:00:00,5.3116532872184745,4.75884130619881,0.8472658179087345,0.16593953493949917
60,2010-10-26,True,5.045633530936245,23,2010-10-26 11:30:00,6.192533462437837,4.7607144998620905,0.916379070749842,0.1736673582213056
61,2012-09-04,True,5.037347481562074,24,2012-09-04 12:00:00,5.261333144309034,5.278078117692207,0.8133454962764196,0.14862028853418396
62,2011-03-24,True,5.031435260095624,23,2011-03-24 11:30:00,5.8058927478707885,4.849128761077868,0.8861079603368238,0.16240661014306806
63,2013-03-18,True,5.027457701705064,22,2013-03-18 11:00:00,5.8179689696294385,4.42654490508113,0.7856223150664668,0.15435739383836805
64,2011-11-15,True,5.009107693432109,26,2011-11-15 13:00:00,7.022596693189012,4.960342739275909,0.9243406273962057,0.17294062623670375
65,2011-08-25,True,5.008684405506311,23,2011-08-25 11:30:00,5.429855363152873,5.543564344562105,0.8317874686396127,0.16539268710950167
66,2012-10-30,True,5.003395781047797,29,2012-10-30 14:30:00,5.886488432397924,4.370912732200464,0.7657062195072739,0.14757456198208355
67,2012-01-11,True,4.9997701521977165,26,2012-01-11 13:00:00,7.308671866404018,4.783461450825669,0.9698102316852902,0.1805341360164055
68,2012-11-05,True,4.988213361365641,22,2012-11-05 11:00:00,6.49661897560868,4.758709391152101,0.9079817871921877,0.16163430750596613
69,2012-09-03,True,4.987672981684789,23,2012-09-03 11:30:00,5.557703891961237,5.6587297780229555,0.8268865214961955,0.1617662225526762
70,2012-10-18,True,4.983141767328852,27,2012-10-18 13:30:00,5.504304959228445,4.367851103889096,0.8380991045376411,0.1493014498662861
71,2010-11-03,True,4.972433439661693,22,2010-11-03 11:00:00,6.436141153441346,4.838419657740417,0.8903713128061288,0.17509923609195677
72,2010-10-22,True,4.951578629006292,27,2010-10-22 13:30:00,6.123759750915253,4.704317219710508,0.9072734490183996,0.16868576636645996
73,2011-10-24,True,4.94644306256622,24,2011-10-24 12:00:00,6.600693532588204,5.183026131171528,0.9035250356984146,0.17828678331154751
74,2012-03-27,True,4.946347762802192,27,2012-03-27 13:30:00,5.137462248716596,4.565626536510489,0.8183119874728649,0.15967956635926472
75,2012-09-26,True,4.942615894241106,26,2012-09-26 13:00:00,5.4626139447753115,4.560796047345511,0.805054816154567,0.15629054888651714
76,2013-03-21,True,4.925516046754498,25,2013-03-21 12:30:00,5.243236919958046,4.594446376533514,0.8626076743423315,0.1611450226054422
77,2012-10-17,True,4.913801359311444,27,2012-10-17 13:30:00,6.17726914313827,4.3818352980680455,0.8356627217312186,0.14965642126470544
78,2011-11-05,True,4.912793927162327,26,2011-11-05 13:00:00,7.005014034187949,4.787896194850518,0.9590730524774779,0.1876215717078203
79,2010-11-25,True,4.906451533770159,24,2010-11-25 12:00:00,7.368773609673607,4.955259213066787,0.9463278605529913,0.18247928334152808
80,2013-02-14,True,4.90006659107477,28,2013-02-14 14:00:00,5.834471913074614,4.506309136915828,0.822436358215107,0.16471392423279435
81,2010-11-08,True,4.895688281561974,23,2010-11-08 11:30:00,6.083279837311471,4.933450058162546,0.9430124143973514,0.18286543466007882
82,2013-04-02,True,4.891250505318173,24,2013-04-02 12:00:00,5.63000090595641,4.48412102605922,0.8260846291880035,0.16475469797450462
83,2012-08-28,True,4.8910259590461935,23,2012-08-28 11:30:00,4.998158160621055,5.559780301485846,0.7974436366437031,0.14805665151642347
84,2012-03-23,True,4.882868473303944,25,2012-03-23 12:30:00,5.957757034001512,4.6155515847794035,0.8728395640047839,0.17435571491959181
85,2010-09-17,True,4.882408276779325,23,2010-09-17 11:30:00,6.112068998118807,5.8423447299938855,0.8895682654263655,0.17314209648986073
86,2012-08-31,True,4.881362104156902,23,2012-08-31 11:30:00,4.910120952984439,5.924180028061931,0.855085715133543,0.1672442946742299
87,2010-12-20,True,4.8728361720516915,29,2010-12-20 14:30:00,7.476428404199514,4.829191600609209,0.9599054836114151,0.18176454363389982
88,2011-03-08,True,4.871623139736602,24,2011-03-08 12:00:00,6.5828398229317004,4.936846271001476,0.9107005195623906,0.17021837936368986
89,2011-10-12,True,4.86408654495487,22,2011-10-12 11:00:00,5.9858122497091815,4.792171441591617,0.8537824832035634,0.1614760094499143
90,2010-09-24,True,4.858192402120561,22,2010-09-24 11:00:00,5.683306613430126,4.855851631549285,0.8633316739010084,0.1580726012447984
91,2012-12-18,True,4.851448043470577,28,2012-12-18 14:00:00,6.630206307801592,4.913945818892635,0.9075500657916807,0.17614016573326785
92,2011-11-11,True,4.849496596301949,23,2011-11-11 11:30:00,6.494076605894732,4.6720256155036175,0.9098990621213565,0.17394797750248842
93,2010-11-16,True,4.8285975456524595,27,2010-11-16 13:30:00,5.3045152625537,4.92367035629055,0.8910788308911254,0.1828774269370525
94,2011-10-31,True,4.823585386054561,25,2011-10-31 12:30:00,6.287655958080702,4.696184057466993,0.8629895026499429,0.1574921750392748
95,2011-10-11,True,4.818998431400427,22,2011-10-11 11:00:00,6.011561109624726,4.756996894000267,0.7871546903749088,0.16046146281794524
96,2013-02-05,True,4.812548156795787,28,2013-02-05 14:00:00,5.799836684795416,4.481844891889624,0.7822718373846748,0.1592262582896615
97,2012-12-27,True,4.8062836904068345,29,2012-12-27 14:30:00,6.294805663101979,4.415183421876312,0.8235681617408193,0.14326213918236672
98,2010-09-28,True,4.8029318552311295,21,2010-09-28 10:30:00,6.187584293178639,4.740970415052708,0.905355033691677,0.17908067204720174
99,2011-09-20,True,4.802922967030479,21,2011-09-20 10:30:00,5.0274517872458695,4.620903737992735,0.7817428577323142,0.15407917301258
100,2012-08-30,True,4.802197539295631,25,2012-08-30 12:30:00,5.178960417293119,5.172582057155194,0.8020459439693268,0.1482940986005013
101,2012-11-15,True,4.790809475277751,27,2012-11-15 13:30:00,5.417067266817514,4.4035329247964325,0.8271582162383688,0.16113542878386325
102,2012-08-16,True,4.782962513417635,24,2012-08-16 12:00:00,4.841250123680476,5.994838523990552,0.7855836384636297,0.14931344214325976
103,2013-03-12,True,4.781053160914634,28,2013-03-12 14:00:00,5.272494518085331,4.838994087807453,0.8058419893511343,0.16324127262043242
104,2013-03-07,True,4.78002031042226,26,2013-03-07 13:00:00,6.5086231656570135,4.812855720915732,0.9023838215389373,0.1713600441315794
105,2013-03-13,True,4.776615532424908,28,2013-03-13 14:00:00,6.263484529082518,4.848572319426291,0.8713311386602121,0.17405590799525117
106,2010-09-30,True,4.771683152016411,25,2010-09-30 12:30:00,6.435502491227157,5.189010277381369,0.9026372831322877,0.16256250974372513
107,2012-09-30,True,4.7716730455604095,25,2012-09-30 12:30:00,6.685442897268345,4.700833463249669,0.9477861411307886,0.1619892789043857
108,2010-09-08,True,4.769765675355566,23,2010-09-08 11:30:00,5.770850538880028,6.080507753007066,0.8506383995009158,0.166788588149232
109,2012-01-13,True,4.752768258523532,23,2012-01-13 11:30:00,6.994413805197894,4.744215525201772,0.9338279571688726,0.17474666314893222
110,2011-10-17,True,4.7481782530271115,27,2011-10-17 13:30:00,5.252008318881684,4.825363665799227,0.8324159430768913,0.1687409308405388
111,2012-09-23,True,4.740406867592534,23,2012-09-23 11:30:00,6.0302762808279855,4.7527528271792985,0.8659242506451005,0.1735738184609112
112,2013-02-19,True,4.736198709191043,26,2013-02-19 13:00:00,6.1464591499880035,4.897061892141462,0.8702673541675204,0.1735690215501217
113,2012-10-27,True,4.726885565581842,28,2012-10-27 14:00:00,7.037197182725992,4.5895583244390625,0.9337615683345516,0.17398635278880412
114,2012-03-09,True,4.724663391034297,26,2012-03-09 13:00:00,5.639801353708183,4.68354779521988,0.8742598493734962,0.1733339729214385
115,2013-03-04,True,4.7230538380600064,23,2013-03-04 11:30:00,5.5551470489250105,4.590623238634322,0.8128285512741872,0.16189334068859673
