datetime,load_kw_mean,gc_customer_count,pv_shape_mean,gg_customer_count,load_multiplier,pv_profile,date,slot
2010-07-01 00:00:00,0.6463210702341136,299,0.0001534526854219949,299,0.23175075251538013,0.00018630932146802902,2010-07-01,0
2010-07-01 00:30:00,0.5548227424749161,299,0.0001761915265751583,299,0.1989422811709259,0.00021391690653286454,2010-07-01,1
2010-07-01 01:00:00,0.5130100334448162,299,0.000109771444809808,299,0.1839495364984951,0.00013327523948400806,2010-07-01,2
2010-07-01 01:30:00,0.46918394648829453,299,2.914476827520306e-05,299,0.1682348567522517,3.538512204438573e-05,2010-07-01,3
2010-07-01 02:00:00,0.48254849498327773,299,6.534006534006533e-05,299,0.17302697063091382,7.933040210216737e-05,2010-07-01,4
2010-07-01 02:30:00,0.5037993311036789,299,6.578053502792161e-05,299,0.18064686341995762,7.986518328534486e-05,2010-07-01,5
2010-07-01 03:00:00,0.485799331103679,299,0.00014242411277614171,299,0.17419261995275054,0.00017291935777492533,2010-07-01,6
2010-07-01 03:30:00,0.4970702341137124,299,0.00013324527135268825,299,0.17823401729286348,0.00016177518188277025,2010-07-01,7
2010-07-01 04:00:00,0.5255117056856184,299,6.236474522919536e-05,299,0.18843224963123748,7.571801910944255e-05,2010-07-01,8
2010-07-01 04:30:00,0.5623946488294317,299,0.00014846630053265327,299,0.2016573326777557,0.00018025527306374795,2010-07-01,9
2010-07-01 05:00:00,0.6224414715719065,299,4.968944099378882e-05,299,0.22318826675620917,6.032873266583796e-05,2010-07-01,10
2010-07-01 05:30:00,0.7243076923076921,299,0.00010415671285236501,299,0.2597143439624882,0.0001264583050110834,2010-07-01,11
2010-07-01 06:00:00,0.9875183946488292,299,0.00010779102947836154,299,0.3540935637449483,0.00013087078604865759,2010-07-01,12
2010-07-01 06:30:00,1.197391304347826,299,4.884004884004884e-05,299,0.42934750020986495,5.9297472278387735e-05,2010-07-01,13
2010-07-01 07:00:00,1.2786822742474913,299,0.002575137161751412,299,0.45849592862196753,0.003126514573359459,2010-07-01,14
2010-07-01 07:30:00,1.3659397993311042,299,0.036194885836137315,299,0.4897837792461659,0.04394478077851192,2010-07-01,15
2010-07-01 08:00:00,1.310401337792642,299,0.09298695745323102,299,0.4698694041037573,0.11289692911431315,2010-07-01,16
2010-07-01 08:30:00,1.182722408026756,299,0.16483492400870303,299,0.4240876875292314,0.20012867654835956,2010-07-01,17
2010-07-01 09:00:00,0.9944013377926421,299,0.24969357376636006,299,0.35656157434612124,0.3031568993100846,2010-07-01,18
2010-07-01 09:30:00,0.9454581939799329,299,0.3297872277280893,299,0.3390120762229125,0.40039986565159147,2010-07-01,19
2010-07-01 10:00:00,0.8713043478260866,299,0.4025616805257395,299,0.3124227997169823,0.48875647461969957,2010-07-01,20
2010-07-01 10:30:00,0.8771772575250838,299,0.40604222504561666,299,0.3145286435535517,0.4929822585221078,2010-07-01,21
2010-07-01 11:00:00,0.8395585284280931,299,0.49355421566372487,299,0.30103973041361354,0.5992319441990931,2010-07-01,22
