root_voltage_pu,selection_reason,timestamp,load_multiplier,socp_minimum_voltage_pu,socp_peak_branch_id,socp_peak_branch_current_a,socp_substation_apparent_power_kva,socp_active_loss_percentage,ac_validation_status,ac_iterations,ac_maximum_voltage_difference_pu,ac_substation_active_difference_kw,ac_substation_reactive_difference_kvar
1,minimum_socp_voltage,2011-02-05 18:00:00,1,0.913090479358158,1,210.364352122723,4612.81970348399,5.45564270668405,PASS,26,3.06510372638513e-12,9.77347553998698e-08,8.60095497046132e-08
1,peak_branch_current,2011-02-05 18:00:00,1,0.913090479358158,1,210.364352122723,4612.81970348399,5.45564270668405,PASS,26,3.06510372638513e-12,9.77347553998698e-08,8.60095497046132e-08
1,peak_substation_apparent_power,2011-02-05 18:00:00,1,0.913090479358158,1,210.364352122723,4612.81970348399,5.45564270668405,PASS,26,3.06510372638513e-12,9.77347553998698e-08,8.60095497046132e-08
1,maximum_socp_loss_percentage,2011-02-05 18:00:00,1,0.913090479358158,1,210.364352122723,4612.81970348399,5.45564270668405,PASS,26,3.06510372638513e-12,9.77347553998698e-08,8.60095497046132e-08
1.03,minimum_socp_voltage,2011-02-05 18:00:00,1,0.946034954338934,1,203.527414526385,4596.78797959332,5.09662108355701,PASS,25,1.7987167311162e-11,6.25392658548662e-07,5.35111212229822e-07
1.03,peak_branch_current,2011-02-05 18:00:00,1,0.946034954338934,1,203.527414526385,4596.78797959332,5.09662108355701,PASS,25,1.7987167311162e-11,6.25392658548662e-07,5.35111212229822e-07
1.03,peak_substation_apparent_power,2011-02-05 18:00:00,1,0.946034954338934,1,203.527414526385,4596.78797959332,5.09662108355701,PASS,25,1.7987167311162e-11,6.25392658548662e-07,5.35111212229822e-07
1.03,maximum_socp_loss_percentage,2011-02-05 18:00:00,1,0.946034954338934,1,203.527414526385,4596.78797959332,5.09662108355701,PASS,25,1.7987167311162e-11,6.25392658548662e-07,5.35111212229822e-07
1.05,minimum_socp_voltage,2011-02-05 18:00:00,1,0.967881227742411,1,199.225796012152,4587.00488711661,4.87751917593946,PASS,25,9.3824947811072e-13,2.41420821112115e-08,2.16277840081602e-08
1.05,peak_branch_current,2011-02-05 18:00:00,1,0.967881227742411,1,199.225796012152,4587.00488711661,4.87751917593946,PASS,25,9.3824947811072e-13,2.41420821112115e-08,2.16277840081602e-08
1.05,peak_substation_apparent_power,2011-02-05 18:00:00,1,0.967881227742411,1,199.225796012152,4587.00488711661,4.87751917593946,PASS,25,9.3824947811072e-13,2.41420821112115e-08,2.16277840081602e-08
1.05,maximum_socp_loss_percentage,2011-02-05 18:00:00,1,0.967881227742411,1,199.225796012152,4587.00488711661,4.87751917593946,PASS,25,9.3824947811072e-13,2.41420821112115e-08,2.16277840081602e-08
