root_voltage_pu,timestamp,load_multiplier,operational_solver_status,diagnostic_solver_status,primal_available,failure_reason
1,2010-07-22 19:00:00,0.64185544509336,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-07-22 19:30:00,0.618926211519781,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-07-23 07:30:00,0.44999100579227,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-07-26 21:30:00,0.425658675812777,ALMOST_OPTIMAL,not_run,true,voltage_drop_tolerance_exceeded
1,2010-07-29 17:30:00,0.595925024284361,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-02 17:30:00,0.64832647774833,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-02 18:00:00,0.693367071605886,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-02 18:30:00,0.677666782592011,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-02 19:00:00,0.655759291016586,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-02 19:30:00,0.620257354263854,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-03 18:00:00,0.599932843248948,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-03 19:00:00,0.603679230575509,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-06 17:30:00,0.61565711681677,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-06 18:00:00,0.658754961804598,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-06 18:30:00,0.635453967644837,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-06 19:00:00,0.618770311919124,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-06 19:30:00,0.618772710374519,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-07 17:30:00,0.608874284960485,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-07 18:00:00,0.639991845251658,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-07 18:30:00,0.598944679626321,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-08 17:30:00,0.598831952222769,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
1,2010-08-08 18:00:00,0.616247136843873,INFEASIBLE,OPTIMAL,true,operational_voltage_model_infeasible;diagnostic_solution_recorded
