timestamp,edge_id,endpoint_a_id,endpoint_b_id,boundary_class,guard_relation,edge_length_kw,edge_length_squared_kw2,angular_span_deg,inward_normal_p13,inward_normal_p30,normal_sign_category,owner_cell_count,owner_cell_ids,facet_identities,parallel_retreat_cap_kw,convexity_implication,endpoint_status_combination,endpoint_a_status,endpoint_b_status,endpoint_a_signed_turn_deg,endpoint_b_signed_turn_deg,mean_abs_endpoint_turn_deg,max_abs_endpoint_turn_deg,n_e,sorted_fractions,zero_sample_flag,low_sample_flag,g_e,h1_new_sample_count,h1_g_e,h1_gap_reduction,h2_new_sample_count,h2_midpoint_t,h2_g_e,h2_gap_reduction,h1_information_gain,h2_information_gain
2010-07-01 07:30:00,E0000,RAY:0.000000:BASE,RAY:10.000000:BASE,VMAX13,NONE,343.182976853982,117774.555602361,9.99999999999477,-0.95382203276439,-0.30037231865338,componentwise_nonpositive,1,0,C0:F1,1329.09790905032,CONVEX_FOR_0_LE_D_LT_CAP;DEGENERATE_AT_CAP,REFLEX-REFLEX,REFLEX,REFLEX,-0.519794684342102,-0.401061210515559,0.460427947428831,0.519794684342102,20,0.0532358352036928;0.106062020407658;0.158491220492837;0.210535790648615;0.262207789110234;0.313518989376474;0.364480891935062;0.415104735521731;0.465401507937447;0.515381956446926;0.565056597780372;0.614435727759123;0.663529430564852;0.712347587670902;0.760899886453384;0.80919582849876;0.857244737623791;0.905055767622939;0.952637909757552;1,False,False,0.0532358352036928,28,0.0367551550457738,0.016480680157919,1,0.0266179176018464,0.0528261852039648,0.000409649999728062,INFORMATION_GAINING,INFORMATION_GAINING
2010-07-01 07:30:00,E0001,RAY:10.000000:BASE,RAY:20.000000:BASE,VMAX13,NONE,313.911239696595,98540.266407853,9.99999999982863,-0.955901205885541,-0.293688414117018,componentwise_nonpositive,1,1,C1:F1,1329.59291521964,CONVEX_FOR_0_LE_D_LT_CAP;DEGENERATE_AT_CAP,REFLEX-REFLEX,REFLEX,REFLEX,-0.401061210515559,-0.33492701425928,0.36799411238742,0.401061210515559,20,0.0515326571721966;0.102852372442007;0.153968232099378;0.204889188525378;0.255624066803037;0.306181571146882;0.356570291162077;0.406798707943086;0.456875200021409;0.506808049171557;0.556605446084106;0.606275495914324;0.655826223714615;0.705265579758702;0.754601444765246;0.803841635028363;0.852993907462263;0.902065964567068;0.951065459322664;1,False,False,0.0515326571721966,27,0.0378733473143852,0.0136593098578114,1,0.0257663285860983,0.0513197152698104,0.000212941902386132,INFORMATION_GAINING,INFORMATION_GAINING
2010-07-01 07:30:00,E0002,RAY:20.000000:BASE,RAY:30.000000:BASE,VMAX13,NONE,307.310377711472,94439.6682491677,10.0000000000817,-0.957601643073357,-0.28809563200994,componentwise_nonpositive,1,2,C2:F1,1328.12139559882,CONVEX_FOR_0_LE_D_LT_CAP;DEGENERATE_AT_CAP,REFLEX-REFLEX,REFLEX,REFLEX,-0.33492701425928,-0.36793835276476,0.35143268351202,0.36793835276476,20,0.0499857033014101;0.0999271650883693;0.149832041480891;0.199707966229581;0.249562555414527;0.299403412103579;0.349238130993766;0.399074303041858;0.448919520090089;0.498781379493028;0.548667488751581;0.598585470160159;0.648542965473016;0.698547640595875;0.748607190308946;0.798729343027574;0.848921865606787;0.899192568196147;0.949549309151404;1,False,False,0.0504506908485963,24,0.0425797216794271,0.00787096916916918,1,0.974774654575702,0.0503567409552567,9.39498933396621e-05,INFORMATION_GAINING,INFORMATION_GAINING
2010-07-01 07:30:00,E0003,RAY:30.000000:BASE,RAY:40.000000:BASE,VMAX13,NONE,321.481531270969,103350.374948327,9.9999999998957,-0.959431959312226,-0.281940269295293,componentwise_nonpositive,1,3,C3:F1,1324.47907553758,CONVEX_FOR_0_LE_D_LT_CAP;DEGENERATE_AT_CAP,REFLEX-REFLEX,REFLEX,REFLEX,-0.36793835276476,-0.354535331774648,0.361236842269704,0.36793835276476,20,0.0484607543857121;0.0970342370362715;0.145728266730177;0.194550737912974;0.243509625968995;0.292612992593559;0.341868991282722;0.391285872948764;0.440871991669877;0.490635810582876;0.540585907928074;0.590730983255831;0.641079863804709;0.691641511061574;0.742425027514418;0.793439663609225;0.844694824922649;0.896200079562871;0.947965165811602;1,False,False,0.0520348341883984,22,0.047578879248939,0.00445595493945938,1,0.973982582905801,0.051765086248731,0.000269747939667386,INFORMATION_GAINING,INFORMATION_GAINING
2010-07-01 07:30:00,E0004,RAY:40.000000:BASE,RAY:50.000000:BASE,VMAX13,NONE,360.431752971107,129911.048549825,10.0000000002481,-0.961158172897631,-0.275998128022794,componentwise_nonpositive,1,4,C4:F1,1318.92850888512,CONVEX_FOR_0_LE_D_LT_CAP;DEGENERATE_AT_CAP,REFLEX-CONVEX,REFLEX,CONVEX,-0.354535331774648,13.1546823814805,6.75460885662756,13.1546823814805,20,0.0468613408901867;0.093990042033929;0.1413956388284;0.189087863892535;0.237076655756456;0.285372167862254;0.333984777912905;0.382925097588505;0.432203982650041;0.481832543452142;0.531822155887395;0.582184472786216;0.632931435797629;0.684075287777797;0.735628585714832;0.787604214220056;0.840015399617807;0.892875724667823;0.946199143956392;0.999999999994715,False,False,0.0538008560383226,18,0.0538008560383226,0,1,0.973099571975554,0.053323419288569,0.000477436749753646,NEARLY_REDUNDANT,INFORMATION_GAINING
2010-07-01 07:30:00,E0005,RAY:50.000000:BASE,RAY:55.000000:ADAPTIVE,CLASS_TRANSITION,NONE,166.807440518706,27824.7222124016,4.9999999999785,-0.873124761384175,-0.48749682158741,componentwise_nonpositive,1,4,C4:F2,1571.41978690343,CONVEX_FOR_0_LE_D_LT_CAP;DEGENERATE_AT_CAP,CONVEX-CONVEX,CONVEX,CONVEX,13.1546823814805,38.1799566134204,25.6673194974504,38.1799566134204,10,0.0981864919987177;0.196729345733817;0.295645597625188;0.39495252765592;0.494667672080702;0.594808836509739;0.695394109380243;0.796441875838102;0.897970832053375;0.999999999994395,False,False,0.10202916794102,9,0.101047766457859,0.000981401483161393,1,0.948985416023885,0.101528956215273,0.000500211725747657,INFORMATION_GAINING,INFORMATION_GAINING
2010-07-01 07:30:00,E0006,RAY:55.000000:ADAPTIVE,RAY:60.000000:BASE,VMAX30,NONE,136.501253906406,18632.592318021,5.0000000001211,-0.385001865961127,-0.922915794212262,componentwise_nonpositive,1,4,C4:F3,1912.15383975511,CONVEX_FOR_0_LE_D_LT_CAP;DEGENERATE_AT_CAP,CONVEX-REFLEX,CONVEX,REFLEX,38.1799566134204,-0.345296424636639,19.2626265190285,38.1799566134204,9,0.102419719643528;0.204248914995438;0.305508056498452;0.406217213329786;0.506396070582389;0.606063945857696;0.705239805295413;0.803942279069992;0.902189676381964,False,False,0.102419719643528,8,0.100709156831333,0.00171056281219448,1,0.0512098598217639,0.10182919535191,0.000590524291617406,INFORMATION_GAINING,INFORMATION_GAINING
2010-07-01 07:30:00,E0007,RAY:60.000000:BASE,RAY:70.000000:BASE,VMAX30,NONE,258.220259489702,66677.7024109288,9.999999999845,-0.390556847744249,-0.920578811770114,componentwise_nonpositive,1,5,C5:F1,1911.96264467938,CONVEX_FOR_0_LE_D_LT_CAP;DEGENERATE_AT_CAP,REFLEX-REFLEX,REFLEX,REFLEX,-0.345296424636639,-0.483650956300915,0.414473690468777,0.483650956300915,21,0;0.0514904397277049;0.102772667651603;0.153855708622784;0.204748457082436;0.255459683565291;0.305998041043155;0.356372071103329;0.406590209971641;0.45666079438946;0.506592067353649;0.556392183728165;0.606069215735629;0.655631158336963;0.705085934506895;0.754441400412914;0.803705350505004;0.852885522523304;0.901989602430645;0.951025229276738;1,False,False,0.0514904397277049,16,0.0508927484596521,0.000597691268052772,1,0.0257452198638524,0.0512822279238977,0.000208211803807229,INFORMATION_GAINING,INFORMATION_GAINING
2010-07-01 07:30:00,E0008,RAY:70.000000:BASE,RAY:80.000000:BASE,VMAX30,NONE,253.22322546843,64122.0019166355,10.0000000000025,-0.398313724277928,-0.91724924478129,componentwise_nonpositive,1,6,C6:F1,1909.39840241936,CONVEX_FOR_0_LE_D_LT_CAP;DEGENERATE_AT_CAP,REFLEX-REFLEX,REFLEX,REFLEX,-0.483650956300915,-0.649797336837515,0.566724146569215,0.649797336837515,20,0.049956662330116;0.0998721591529318;0.149754135467938;0.199610215803349;0.24944800888708;0.299275112296594;0.34909911709428;0.398927612454398;0.448768190287574;0.498628449868848;0.548516002475246;0.598438476038936;0.648403519821972;0.698418809118766;0.748492049992437;0.798630984051268;0.848843393271608;0.899137104873664;0.949519996256706;1,False,False,0.0504800037432938,14,0.0503828913830419,9.71123602518942e-05,1,0.974759998128353,0.0503828913830419,9.71123602518942e-05,INFORMATION_GAINING,INFORMATION_GAINING
2010-07-01 07:30:00,E0009,RAY:80.000000:BASE,RAY:90.000000:BASE,VMAX30,NONE,265.417665760397,70446.5372976977,10.000000000004,-0.408690504037225,-0.91267303669485,componentwise_nonpositive,1,7,C7:F1,1902.86735354394,CONVEX_FOR_0_LE_D_LT_CAP;DEGENERATE_AT_CAP,REFLEX-REFLEX,REFLEX,REFLEX,-0.649797336837515,-0.507388448187516,0.578592892512516,0.649797336837515,20,0.0484303487457811;0.0969764610453681;0.145646173964865;0.194447402282652;0.2433881437883;0.29247648469381;0.341720605165551;0.391128784985182;0.440709409348175;0.490470974808835;0.540422095381138;0.590571508805023;0.640928082988222;0.691500822634144;0.742298876066772;0.79333154226407;0.84460827811189;0.896138705890972;0.947932621010205;1,False,False,0.0520673789897947,14,0.0517939151192328,0.00027346387056193,1,0.973966310505103,0.0517939151192328,0.00027346387056193,INFORMATION_GAINING,INFORMATION_GAINING
