scope,timestamp,component_id,approximation_id,boundary_run_classification,target_facet_budget_k,exact_irredundant_facet_count,reported_facet_count,approximation_method,selected_exact_facet_indices,approximation_vertices_p13_p30,approximation_halfspaces_normal_p13_normal_p30_rhs,containment_guarantee,true_pocket_area_kw2,approx_pocket_area_within_outer_hull_kw2,additional_removed_area_kw2,additional_removed_area_over_polygon_area,additional_removed_area_over_true_pocket_area,area_reconciliation_error_kw2,timestamp_coverage_status,scientific_status
PER_TIMESTAMP_UNION,2010-07-02 17:30:00,ALL_CONVEX_VMAX_COMPONENTS,20100702T173000_ALL_VMAX_K5,ALL_CONVEX_VMAX_COMPONENTS,5,28,10,UNION_OF_PER_COMPONENT_APPROXIMATIONS,SEE_PER_COMPONENT_ROWS,SEE_PER_COMPONENT_ROWS,SEE_PER_COMPONENT_ROWS,UNION_OF_CONTAINING_PER_COMPONENT_OUTER_APPROXIMATIONS,245550.701366623,254628.672034534,9077.97066791513,0.000560046705706533,0.0369698421441734,-4.30736690759659e-09,FULL_VMAX_COVERAGE,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
PER_TIMESTAMP_UNION,2010-07-02 17:30:00,ALL_CONVEX_VMAX_COMPONENTS,20100702T173000_ALL_VMAX_K8,ALL_CONVEX_VMAX_COMPONENTS,8,28,16,UNION_OF_PER_COMPONENT_APPROXIMATIONS,SEE_PER_COMPONENT_ROWS,SEE_PER_COMPONENT_ROWS,SEE_PER_COMPONENT_ROWS,UNION_OF_CONTAINING_PER_COMPONENT_OUTER_APPROXIMATIONS,245550.701366623,248102.038314353,2551.33694773095,0.000157399478913743,0.0103902653648773,-1.25874066725373e-09,FULL_VMAX_COVERAGE,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
PER_COMPONENT,2010-07-02 18:00:00,20100702T180000_C01,20100702T180000_C01_K3,VMAX / bus 30,3,13,3,EXACT_HULL_CHORD_PLUS_EVENLY_INDEXED_EXACT_BOUNDARY_SUPPORT_FACETS,12;0;11,-1232.22072628|4102.40998285;85.1455732022259|3364.78227365667;1483.01131438998|2777.97580271,-0.488554248656735|-0.872533521487543|-2977.48355781478;-0.387065869744531|-0.922052066034728|-3135.46139252858;0.43840511419541|0.898777478493598|3146.94183191415,C_TRUE_SUBSET_OF_C_APPROX_BECAUSE_EVERY_APPROXIMATION_HALFSPACE_IS_A_SUPPORT_HALFSPACE_OF_C_TRUE,98675.1314428148,129032.717644463,30357.5862016524,0.00187217764970635,0.307651844570843,-4.42014425061643e-09,PER_COMPONENT_ONLY,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
PER_COMPONENT,2010-07-02 18:00:00,20100702T180000_C01,20100702T180000_C01_K4,VMAX / bus 30,4,13,4,EXACT_HULL_CHORD_PLUS_EVENLY_INDEXED_EXACT_BOUNDARY_SUPPORT_FACETS,12;0;6;11,-1232.22072628|4102.40998285;-341.384874265678|3603.60778254559;831.432604396088|3051.50035667083;1483.01131438998|2777.97580271,-0.488554248656736|-0.872533521487543|-2977.48355781478;-0.425919127934752|-0.904761237266109|-3115.00228802037;-0.387065869744531|-0.922052066034727|-3135.46139252858;0.43840511419541|0.898777478493598|3146.94183191415,C_TRUE_SUBSET_OF_C_APPROX_BECAUSE_EVERY_APPROXIMATION_HALFSPACE_IS_A_SUPPORT_HALFSPACE_OF_C_TRUE,98675.1314428148,106728.665761215,8053.53431840361,0.000496668175523045,0.0816166566048191,-3.7625795812346e-09,PER_COMPONENT_ONLY,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
PER_COMPONENT,2010-07-02 18:00:00,20100702T180000_C01,20100702T180000_C01_K5,VMAX / bus 30,5,13,5,EXACT_HULL_CHORD_PLUS_EVENLY_INDEXED_EXACT_BOUNDARY_SUPPORT_FACETS,12;0;4;7;11,-1232.22072628|4102.40998285;-468.320993591897|3674.68262251173;288.413221097468|3305.5708731536;936.508542077838|3007.39079853826;1483.01131438998|2777.97580271,-0.488554248656738|-0.872533521487542|-2977.48355781477;-0.438397831317368|-0.89878103089475|-3097.42412772103;-0.417970657946791|-0.908460526988117|-3123.52892120435;-0.387065869744525|-0.92205206603473|-3135.46139252858;0.43840511419541|0.898777478493598|3146.94183191415,C_TRUE_SUBSET_OF_C_APPROX_BECAUSE_EVERY_APPROXIMATION_HALFSPACE_IS_A_SUPPORT_HALFSPACE_OF_C_TRUE,98675.1314428148,102804.260022608,4129.12857979702,0.000254646801906764,0.0418456861361261,-4.22005541622639e-09,PER_COMPONENT_ONLY,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
PER_COMPONENT,2010-07-02 18:00:00,20100702T180000_C01,20100702T180000_C01_K8,VMAX / bus 30,8,13,8,EXACT_HULL_CHORD_PLUS_EVENLY_INDEXED_EXACT_BOUNDARY_SUPPORT_FACETS,12;0;2;4;6;7;9;11,-1232.22072628|4102.40998285;-606.584040574993|3752.09970434563;-93.7442027973731|3491.97554803925;196.881782379205|3350.21710271576;434.435973080052|3238.38773870999;724.842234121357|3104.77566378391;1159.58676092347|2913.74536572678;1483.01131438998|2777.97580271,-0.488554248656729|-0.872533521487547|-2977.4835578148;-0.452359549026866|-0.891835656611806|-3071.86222045665;-0.438397831317368|-0.89878103089475|-3097.42412772103;-0.425919127934728|-0.90476123726612|-3115.00228802041;-0.417970657946834|-0.908460526988097|-3123.52892120431;-0.402284621469325|-0.915514654895967|-3134.06050413702;-0.387065869744532|-0.922052066034727|-3135.46139252858;0.43840511419541|0.898777478493598|3146.94183191415,C_TRUE_SUBSET_OF_C_APPROX_BECAUSE_EVERY_APPROXIMATION_HALFSPACE_IS_A_SUPPORT_HALFSPACE_OF_C_TRUE,98675.1314428148,99799.3295933497,1124.19815054495,6.93302371707308e-05,0.0113929227567987,-1.01281329989433e-08,PER_COMPONENT_ONLY,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
PER_COMPONENT,2010-07-02 18:00:00,20100702T180000_C02,20100702T180000_C02_K3,VMAX / bus 13,3,15,3,EXACT_HULL_CHORD_PLUS_EVENLY_INDEXED_EXACT_BOUNDARY_SUPPORT_FACETS,14;0;13,1588.60212192|2707.14768414002;2193.35248564636|557.444317203335;2968.81950036|-1460.06657735,-0.962633864340283|-0.270806283577938|-2262.3548029616;-0.933422892786426|-0.358778069594868|-2247.32421808517;0.949286643564878|0.314411940532366|2359.19833295564,C_TRUE_SUBSET_OF_C_APPROX_BECAUSE_EVERY_APPROXIMATION_HALFSPACE_IS_A_SUPPORT_HALFSPACE_OF_C_TRUE,167201.845338939,223466.802587606,56264.9572486624,0.0034699068207503,0.336509188248528,4.42378222942352e-09,PER_COMPONENT_ONLY,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
PER_COMPONENT,2010-07-02 18:00:00,20100702T180000_C02,20100702T180000_C02_K4,VMAX / bus 13,4,15,4,EXACT_HULL_CHORD_PLUS_EVENLY_INDEXED_EXACT_BOUNDARY_SUPPORT_FACETS,14;0;6;13,1588.60212192|2707.14768414002;1855.04341973874|1760.03001482169;2453.89402782634|-120.399343272593;2968.81950036|-1460.06657735,-0.962633864340283|-0.270806283577937|-2262.3548029616;-0.952847834587374|-0.303448519723121|-2301.65260822951;-0.933422892786427|-0.358778069594867|-2247.32421808517;0.949286643564878|0.314411940532366|2359.19833295564,C_TRUE_SUBSET_OF_C_APPROX_BECAUSE_EVERY_APPROXIMATION_HALFSPACE_IS_A_SUPPORT_HALFSPACE_OF_C_TRUE,167201.845338939,181465.364260573,14263.5189216322,0.000879643103172342,0.0853071860105269,1.98269844986498e-09,PER_COMPONENT_ONLY,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
PER_COMPONENT,2010-07-02 18:00:00,20100702T180000_C02,20100702T180000_C02_K5,VMAX / bus 13,5,15,5,EXACT_HULL_CHORD_PLUS_EVENLY_INDEXED_EXACT_BOUNDARY_SUPPORT_FACETS,14;0;4;9;13,1588.60212192|2707.14768414002;1763.10152059363|2086.85546547032;2131.79632867892|872.070723460967;2575.50774042275|-436.798345983161;2968.81950036|-1460.06657735,-0.962633864340282|-0.270806283577942|-2262.35480296161;-0.956897900680506|-0.290424530081811|-2293.18216165053;-0.947059943382409|-0.321056791923965|-2298.92313914668;-0.933422892786426|-0.358778069594868|-2247.32421808517;0.949286643564878|0.314411940532366|2359.19833295564,C_TRUE_SUBSET_OF_C_APPROX_BECAUSE_EVERY_APPROXIMATION_HALFSPACE_IS_A_SUPPORT_HALFSPACE_OF_C_TRUE,167201.845338939,173337.792979161,6135.94764022035,0.000378409006417106,0.0366978464130106,1.94813765119761e-09,PER_COMPONENT_ONLY,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
PER_COMPONENT,2010-07-02 18:00:00,20100702T180000_C02,20100702T180000_C02_K8,VMAX / bus 13,8,15,8,EXACT_HULL_CHORD_PLUS_EVENLY_INDEXED_EXACT_BOUNDARY_SUPPORT_FACETS,14;0;2;4;6;9;11;13,1588.60212192|2707.14768414002;1685.29518698463|2363.43328561022;1840.67153492558|1831.27587014796;2009.4305103523|1275.24463800187;2231.3391762375|578.437179663281;2415.82861857819|34.2264194087177;2634.38021311203|-589.965215477646;2968.81950036|-1460.06657735,-0.962633864340285|-0.270806283577928|-2262.35480296158;-0.95992055515689|-0.280272238702459|-2280.15422947541;-0.956897900680515|-0.290424530081781|-2293.18216165049;-0.952847834587369|-0.303448519723136|-2301.65260822951;-0.947059943382411|-0.32105679192396|-2298.92313914667;-0.943818499926644|-0.33046427824535|-2291.41435185315;-0.933422892786426|-0.35877806959487|-2247.32421808516;0.949286643564878|0.314411940532366|2359.19833295564,C_TRUE_SUBSET_OF_C_APPROX_BECAUSE_EVERY_APPROXIMATION_HALFSPACE_IS_A_SUPPORT_HALFSPACE_OF_C_TRUE,167201.845338939,168815.969841887,1614.12450292935,9.95444037663048e-05,0.0096537481369139,1.84663804247975e-08,PER_COMPONENT_ONLY,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
