scope,timestamp,component_id,target_facet_budget_k,breakdown_dimension,breakdown_group,inward_boundary_point_count,newly_excluded_count,newly_excluded_fraction,angular_coverage_retained_deg,largest_retained_angular_gap_deg,signed_axis_endpoint_count,signed_axis_endpoints_retained,all_signed_axis_endpoints_retained,delta_r_kw_count,delta_r_kw_min,delta_r_kw_q1,delta_r_kw_median,delta_r_kw_q3,delta_r_kw_max,delta_r_over_r_in_count,delta_r_over_r_in_min,delta_r_over_r_in_q1,delta_r_over_r_in_median,delta_r_over_r_in_q3,delta_r_over_r_in_max,delta_r_over_paired_boundary_bracket_count,delta_r_over_paired_boundary_bracket_min,delta_r_over_paired_boundary_bracket_q1,delta_r_over_paired_boundary_bracket_median,delta_r_over_paired_boundary_bracket_q3,delta_r_over_paired_boundary_bracket_max
PER_TIMESTAMP_POCKET,2010-07-02 17:30:00,20100702T173000_C01,3,ALL,ALL,53,9,0.169811320754717,299.999999999985,60.000000000015,4,3,false,9,1.6140689837366,13.6259828585201,20.1510099586843,33.5852424923792,43.7872619499785,9,0.000889035137290994,0.00592063789061936,0.00955627634766043,0.0134089585771439,0.0186635978870546,9,7.19762854709909,30.3812172989603,45.3732000907188,79.649420705444,117.142008689883
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,3,PRIMARY_CLASS,VMAX_BUS_30,13,9,0.692307692307692,,,,,,9,1.6140689837366,13.6259828585201,20.1510099586843,33.5852424923792,43.7872619499785,9,0.000889035137290994,0.00592063789061936,0.00955627634766043,0.0134089585771439,0.0186635978870546,9,7.19762854709909,30.3812172989603,45.3732000907188,79.649420705444,117.142008689883
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,3,BINDING_FAMILY,VMAX,28,9,0.321428571428571,,,,,,9,1.6140689837366,13.6259828585201,20.1510099586843,33.5852424923792,43.7872619499785,9,0.000889035137290994,0.00592063789061936,0.00955627634766043,0.0134089585771439,0.0186635978870546,9,7.19762854709909,30.3812172989603,45.3732000907188,79.649420705444,117.142008689883
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,3,BINDING_BUS,30,13,9,0.692307692307692,,,,,,9,1.6140689837366,13.6259828585201,20.1510099586843,33.5852424923792,43.7872619499785,9,0.000889035137290994,0.00592063789061936,0.00955627634766043,0.0134089585771439,0.0186635978870546,9,7.19762854709909,30.3812172989603,45.3732000907188,79.649420705444,117.142008689883
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,3,SEARCH_KIND,AXIS,4,1,0.25,,,,,,1,36.6068777155884,36.6068777155884,36.6068777155884,36.6068777155884,36.6068777155884,1,0.014763333498348,0.014763333498348,0.014763333498348,0.014763333498348,0.014763333498348,1,117.142008689883,117.142008689883,117.142008689883,117.142008689883,117.142008689883
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,3,SEARCH_KIND,RAY,49,8,0.163265306122449,,,,,,8,1.6140689837366,11.6153940937718,18.2025612775873,30.6589608702547,43.7872619499785,8,0.000889035137290994,0.00517569296460824,0.00814410511867386,0.0133584483599386,0.0186635978870546,8,7.19762854709909,25.8738141026848,42.4319274548206,70.7289558206519,101.697945971472
PER_TIMESTAMP_POCKET,2010-07-02 17:30:00,20100702T173000_C01,4,ALL,ALL,53,7,0.132075471698113,324.999999999948,35.000000000052,4,3,false,7,1.30315264117043,1.85062394250932,5.58362779952724,7.48295655711907,16.2541125964978,7,0.000643824193793496,0.000889330352056961,0.002639161884328,0.00314321280650737,0.00592063789062214,7,2.90557855357619,6.02259915621562,12.3516045138585,20.4569427388333,39.4906548189409
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,4,PRIMARY_CLASS,VMAX_BUS_30,13,7,0.538461538461538,,,,,,7,1.30315264117043,1.85062394250932,5.58362779952724,7.48295655711907,16.2541125964978,7,0.000643824193793496,0.000889330352056961,0.002639161884328,0.00314321280650737,0.00592063789062214,7,2.90557855357619,6.02259915621562,12.3516045138585,20.4569427388333,39.4906548189409
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,4,BINDING_FAMILY,VMAX,28,7,0.25,,,,,,7,1.30315264117043,1.85062394250932,5.58362779952724,7.48295655711907,16.2541125964978,7,0.000643824193793496,0.000889330352056961,0.002639161884328,0.00314321280650737,0.00592063789062214,7,2.90557855357619,6.02259915621562,12.3516045138585,20.4569427388333,39.4906548189409
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,4,BINDING_BUS,30,13,7,0.538461538461538,,,,,,7,1.30315264117043,1.85062394250932,5.58362779952724,7.48295655711907,16.2541125964978,7,0.000643824193793496,0.000889330352056961,0.002639161884328,0.00314321280650737,0.00592063789062214,7,2.90557855357619,6.02259915621562,12.3516045138585,20.4569427388333,39.4906548189409
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,4,SEARCH_KIND,AXIS,4,1,0.25,,,,,,1,6.54401503441262,6.54401503441262,6.54401503441262,6.54401503441262,6.54401503441262,1,0.002639161884328,0.002639161884328,0.002639161884328,0.002639161884328,0.002639161884328,1,20.9408481101204,20.9408481101204,20.9408481101204,20.9408481101204,20.9408481101204
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,4,SEARCH_KIND,RAY,49,6,0.122448979591837,,,,,,6,1.30315264117043,1.73234646312306,3.83540335040454,7.71233050975094,16.2541125964978,6,0.000643824193793496,0.000889182744674033,0.00191524187669889,0.00324439011647357,0.00592063789062214,6,2.90557855357619,5.43508446077345,9.77461653047926,18.0676791541243,39.4906548189409
PER_TIMESTAMP_POCKET,2010-07-02 17:30:00,20100702T173000_C01,5,ALL,ALL,53,5,0.0943396226415094,329.999999999934,30.000000000066,4,4,true,5,0.595163187392648,1.59565263286741,1.61406898373216,2.32012001923926,6.71369634952058,5,0.000236426344071616,0.000720805019396531,0.000889035137288552,0.00122199118519217,0.00244549585571763,5,1.4114652622141,3.64222775416323,5.13236303192623,7.19762854707931,16.3114573941875
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,5,PRIMARY_CLASS,VMAX_BUS_30,13,5,0.384615384615385,,,,,,5,0.595163187392648,1.59565263286741,1.61406898373216,2.32012001923926,6.71369634952058,5,0.000236426344071616,0.000720805019396531,0.000889035137288552,0.00122199118519217,0.00244549585571763,5,1.4114652622141,3.64222775416323,5.13236303192623,7.19762854707931,16.3114573941875
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,5,BINDING_FAMILY,VMAX,28,5,0.178571428571429,,,,,,5,0.595163187392648,1.59565263286741,1.61406898373216,2.32012001923926,6.71369634952058,5,0.000236426344071616,0.000720805019396531,0.000889035137288552,0.00122199118519217,0.00244549585571763,5,1.4114652622141,3.64222775416323,5.13236303192623,7.19762854707931,16.3114573941875
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,5,BINDING_BUS,30,13,5,0.384615384615385,,,,,,5,0.595163187392648,1.59565263286741,1.61406898373216,2.32012001923926,6.71369634952058,5,0.000236426344071616,0.000720805019396531,0.000889035137288552,0.00122199118519217,0.00244549585571763,5,1.4114652622141,3.64222775416323,5.13236303192623,7.19762854707931,16.3114573941875
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C01,5,SEARCH_KIND,RAY,49,5,0.102040816326531,,,,,,5,0.595163187392648,1.59565263286741,1.61406898373216,2.32012001923926,6.71369634952058,5,0.000236426344071616,0.000720805019396531,0.000889035137288552,0.00122199118519217,0.00244549585571763,5,1.4114652622141,3.64222775416323,5.13236303192623,7.19762854707931,16.3114573941875
PER_TIMESTAMP_POCKET,2010-07-02 17:30:00,20100702T173000_C01,8,ALL,ALL,53,0,0,349.999999999829,10.0000000001708,4,4,true,0,,,,,,0,,,,,,0,,,,,
PER_TIMESTAMP_POCKET,2010-07-02 17:30:00,20100702T173000_C02,3,ALL,ALL,53,11,0.207547169811321,275.000000000049,84.9999999999514,4,3,false,11,1.63115285954318,10.9280399276867,22.2349747147335,36.4774636490419,51.6963346812501,11,0.00118033702464004,0.00776799272249867,0.0128889608350345,0.0235312453493026,0.0351920023698256,11,4.32829593760852,25.3456795736139,70.9786312888474,110.769152646648,159.349388440851
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C02,3,PRIMARY_CLASS,VMAX_BUS_13,15,11,0.733333333333333,,,,,,11,1.63115285954318,10.9280399276867,22.2349747147335,36.4774636490419,51.6963346812501,11,0.00118033702464004,0.00776799272249867,0.0128889608350345,0.0235312453493026,0.0351920023698256,11,4.32829593760852,25.3456795736139,70.9786312888474,110.769152646648,159.349388440851
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C02,3,BINDING_FAMILY,VMAX,28,11,0.392857142857143,,,,,,11,1.63115285954318,10.9280399276867,22.2349747147335,36.4774636490419,51.6963346812501,11,0.00118033702464004,0.00776799272249867,0.0128889608350345,0.0235312453493026,0.0351920023698256,11,4.32829593760852,25.3456795736139,70.9786312888474,110.769152646648,159.349388440851
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C02,3,BINDING_BUS,13,15,11,0.733333333333333,,,,,,11,1.63115285954318,10.9280399276867,22.2349747147335,36.4774636490419,51.6963346812501,11,0.00118033702464004,0.00776799272249867,0.0128889608350345,0.0235312453493026,0.0351920023698256,11,4.32829593760852,25.3456795736139,70.9786312888474,110.769152646648,159.349388440851
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C02,3,SEARCH_KIND,AXIS,4,1,0.25,,,,,,1,26.0039752482082,26.0039752482082,26.0039752482082,26.0039752482082,26.0039752482082,1,0.0128889608350345,0.0128889608350345,0.0128889608350345,0.0128889608350345,0.0128889608350345,1,83.2127207942663,83.2127207942663,83.2127207942663,83.2127207942663,83.2127207942663
PER_TIMESTAMP_POCKET_BREAKDOWN,2010-07-02 17:30:00,20100702T173000_C02,3,SEARCH_KIND,RAY,49,10,0.204081632653061,,,,,,10,1.63115285954318,9.55671562320251,20.3245587325341,37.2872954136219,51.6963346812501,10,0.00118033702464004,0.00738874917328622,0.015214236553091,0.0259017581313623,0.0351920023698256,10,4.32829593760852,24.9815317558659,56.9615446821336,115.222837996862,159.349388440851
