timestamp,component_id,boundary_run_classification,is_convex,component_vertex_count,convex_hull_vertex_count,component_area_kw2,component_convex_hull_area_kw2,internal_nonconvexity_area_kw2,internal_nonconvexity_fraction,nonconvexity_depth_max_kw,nonconvexity_depth_definition,distance_tolerance_kw,area_tolerance_kw2,orientation_relative_tolerance
2011-02-06 00:00:00,20110206T000000_C01,VMAX / bus 30,true,13,13,79450.9684393859,79450.9684393859,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-02-06 00:00:00,20110206T000000_C02,VMAX / bus 13,true,13,13,119169.328129396,119169.328129396,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-03-04 18:00:00,20110304T180000_C01,VMAX / bus 30,true,13,13,103780.472071108,103780.472071108,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-03-04 18:00:00,20110304T180000_C02,VMAX / bus 13,true,13,13,169308.80350186,169308.80350186,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-03-08 11:30:00,20110308T113000_C01,VMAX / bus 30,true,13,13,123587.809852363,123587.809852363,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-03-08 11:30:00,20110308T113000_C02,VMAX / bus 13,true,13,13,211183.091873912,211183.091873912,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-03-08 12:30:00,20110308T123000_C01,VMAX / bus 30,true,13,13,120549.681056841,120549.681056841,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-03-08 12:30:00,20110308T123000_C02,VMAX / bus 13,true,13,13,205546.040014901,205546.040014901,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-05-11 17:30:00,20110511T173000_C01,VMAX / bus 30,true,14,14,132384.969037218,132384.969037218,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
2011-05-11 17:30:00,20110511T173000_C02,VMAX / bus 13,true,14,14,191127.912235872,191127.912235872,0,0,0,MAX_COMPONENT_VERTEX_DISTANCE_TO_COMPONENT_CONVEX_HULL_BOUNDARY,1e-08,1e-06,1e-12
