timestamp,bus_class,component_id,true_pocket_area_kw2,true_vertex_count,true_convex_hull_vertex_count,internal_nonconvexity_area_kw2,internal_nonconvexity_fraction,existing_nonconvexity_depth_diagnostic_kw,hulled_pocket_area_kw2,added_forbidden_area_kw2,added_forbidden_area_over_polygon_area,added_forbidden_area_over_true_pocket_area,maximum_true_vertex_containment_violation_kw,containment_tolerance_kw,containment_verification,hulled_vertices_p13_p30_kw,hulled_halfspaces_normal_p13_normal_p30_rhs_kw,approximation_label,scientific_status
2010-07-01 07:30:00,VMAX / bus 30,20100701T073000_C01,79921.5197198503,13,12,1.21522840780381,1.52052715221577e-05,0.012114334609593,79922.7349482581,1.21522840780381,7.69106039751136e-08,1.52052715221577e-05,4.54747350886464e-13,1e-08,PASS,-1269.50530266|3566.6103055;-880.783973283|3353.46616337;-584.718261719|3198.51060563;-346.303068974|3078.23026468;-146.182084813|2979.88006149;0|2909.375;181.439636502|2823.75572928;452.1875|2699.6262207;694.427047002|2591.1525411;926.695859324|2490.29025509;1164.40795898|2389.44056452;1290.38712214|2336.88732706,-0.480788182429726|-0.876836771375334|-2516.97191797781;-0.463709959961414|-0.88598706143633|-2562.69933072464;-0.450424470131581|-0.892814536567749|-2592.30535086154;-0.441067023007109|-0.897474167436393|-2609.8892802806;-0.434421234137709|-0.900709826375992|-2620.50265111265;-0.426759483198661|-0.904365160485527|-2631.13738878758;-0.416756639854311|-0.909018098355222|-2642.46123649473;-0.408690504037225|-0.91267303669485|-2648.68079808164;-0.398313724277928|-0.91724924478129|-2653.33253476779;-0.390556847744249|-0.920578811770114|-2654.43585762868;-0.385001865961127|-0.922915794212262|-2653.55167327426;0.433009965274205|0.901389133489655|2665.19532574969,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2010-07-01 07:30:00,VMAX / bus 13,20100701T073000_C02,120507.643541784,13,12,25.0528185666772,0.000207894020913208,0.207161173942642,120532.696360351,25.0528185666772,1.58556810791174e-06,0.000207894020913208,2.27373675443232e-13,1e-08,PASS,1371.70521921|2191.24362036;1471.18370831|1844.81169522;1561.82229781|1536.37203979;1650.3570753|1242.09111716;1742.54916946|942.022984593;1845.63183594|614.6875;1970.80144765|229.449590173;2047.00272901|-0.100934777551;2138.34844642|-268.245516092;2251.51557524|-592.419495542;2399.7813744|-1003.02236938;2610.03237304|-1559.06384919,-0.961158172897631|-0.275998128022794|-1923.20481951128;-0.959431959312226|-0.281940269295293|-1931.62737392152;-0.957601643073357|-0.28809563200994|-1938.22567237716;-0.955901205885541|-0.293688414117018|-1942.36608880856;-0.95382203276439|-0.30037231865338|-1945.03941911321;-0.95105780263285|-0.309013035406559|-1945.2490085598;-0.949073975477071|-0.315053311476247|-1942.72521799802;-0.946582624573511|-0.322461369555369|-1937.62466816882;-0.944124815256038|-0.329588126633458|-1930.45729480273;-0.940559359159911|-0.339629344869811|-1916.48100142726;-0.935365896072911|-0.353681552337296|-1889.92314701339;0.949573953961942|0.31354314847734|1989.58497248403,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-01-21 18:00:00,VMAX / bus 30,20110121T180000_C01,92864.5480204962,13,12,5.83224064292153,6.28037369183587e-05,0.0630505426738218,92870.3802611392,5.83224064292153,3.59592663481859e-07,6.28037369183587e-05,4.54747350886464e-13,1e-08,PASS,-1523.31194661|3444.84797798;-1114.22516849|3215.9480064;-804.487380981|3051.38973337;-555.706502675|2924.09709858;-347.359596533|2820.63468073;-167.030480329|2732.97734382;0|2653.4375;274.21875|2526.60473633;525.411850986|2413.74826551;765.995974399|2308.22822098;1012.18677521|2203.41414586;1142.62017873|2148.82602904,-0.488297020810588|-0.872677500264275|-2262.41263691919;-0.469177624859053|-0.883103819678988|-2317.24645023055;-0.455502447761927|-0.89023453094277|-2350.0065367798;-0.444766632479419|-0.895646494233588|-2371.79760530011;-0.437182015886733|-0.899373051066804|-2384.94345010308;-0.42994027716834|-0.902857329852514|-2395.67549618053;-0.419795479454953|-0.907618728007078|-2408.30956859628;-0.409819753844077|-0.912166525015679|-2417.06452305072;-0.401663704724438|-0.915787239650695|-2421.51873185622;-0.39171980335292|-0.920084558973332|-2423.82093717089;-0.386066399004449|-0.922470994427325|-2423.35694169196;0.437215279007225|0.899356881222707|2432.13247601031,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-02-05 11:30:00,VMAX / bus 30,20110205T113000_C01,87962.7014873913,13,12,3.33539547678083,3.79182928716546e-05,0.0259774399651144,87966.0368828681,3.33539547678083,2.05756548877664e-07,3.79182928716546e-05,4.54747350886464e-13,1e-08,PASS,-1047.08858295|4171.18361258;-575.732285621|3911.11090327;-239.255040171|3735.64731815;0|3615.3125;230.840341777|3502.81932925;408.448376089|3418.18250953;562.797721405|3346.230319;700.504999542|3282.87212669;942.890625|3174.11071777;1160.34640171|3078.76903686;1369.26511325|2989.55603619;1583.37043381|2899.89263869,-0.483097368684578|-0.875566635025591|-3146.30346053775;-0.462380071789943|-0.886681830879333|-3201.70384092634;-0.449325164823708|-0.893368287021734|-3229.80553517326;-0.438071678457668|-0.898940045015952|-3249.94918149673;-0.430188643480665|-0.902739016006434|-3261.43656802512;-0.422511705768934|-0.906357467276695|-3270.66946212702;-0.417975543113791|-0.908458279371558|-3275.14632124714;-0.409387430208281|-0.912360637022148|-3281.94124637969;-0.401542600466623|-0.915840346354375|-3285.58941264771;-0.39271555233191|-0.919659988776636|-3287.10677592841;-0.386277068114069|-0.922382798326811|-3286.43077583283;0.435141593442194|0.900362034770785|3299.94357036509,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-02-05 17:30:00,VMAX / bus 30,20110205T173000_C01,128707.299902854,15,13,468.380373366643,0.00363911272880536,2.41820162840099,129175.68027622,468.380373366643,2.87341591483398e-05,0.00363911272880536,4.54747350886464e-13,1e-08,PASS,-1107.43906091|4761.49623006;-465.327632286|4396.57882905;-52.4497723455|4178.87105421;0|4151.875;247.024263788|4028.15021824;479.923095703|3914.60779705;669.783350224|3824.57427556;830.449464879|3749.85635126;970.47255805|3685.78927783;1095.52519089|3629.82792925;1316.25|3532.20056152;1514.6616966|3446.68253898;1899.83642578|3281.04445883,-0.494092683545821|-0.869409236244066|-3592.51126328698;-0.466423477543687|-0.884561552180544|-3672.00486086058;-0.457641392817693|-0.889136859870224|-3691.58510007369;-0.447829248650058|-0.894119099479216|-3712.27073615027;-0.438215471058453|-0.898869957738614|-3729.0330705529;-0.428473895790021|-0.903554160317201|-3742.69467953015;-0.421682025053803|-0.906743772929555|-3750.34450794037;-0.416063322751299|-0.909335642907034|-3755.39759971663;-0.40846792718076|-0.912772672939245|-3760.69464518819;-0.404502850111389|-0.914536737507993|-3762.75405421552;-0.395812717888037|-0.918331254155104|-3764.71866150815;-0.395053810246857|-0.918657981519477|-3764.69529867459;0.441671277827959|0.897176951521726|3782.78064721871,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-05-11 18:00:00,VMAX / bus 13,20110511T180000_C02,188064.071353173,15,12,2402.5436059779,0.0127751334355942,2.17863612109737,190466.614959151,2402.5436059779,0.000147735278019308,0.0127751334355942,4.54747350886464e-13,1e-08,PASS,1454.01039653|2545.17946817;1773.87401434|1479.38422291;1859.99776101|1197.28747521;1956.27931976|889.765625;2072.51969787|528.255563791;2143.27451243|313.095403291;2227.42810138|62.3144437486;2248.4375|0;2331.28514981|-240.112410157;2466.41113202|-621.569107056;2656.12499818|-1134.55614445;2959.04647268|-1902.29889824,-0.957795351279088|-0.28745097854794|-2124.25872721349;-0.956420220632182|-0.291993769738138|-2128.53995230737;-0.954319946359833|-0.298786612785387|-2132.76643276484;-0.951997319968173|-0.306106358596839|-2134.73558499407;-0.949954033232108|-0.312389716133632|-2133.82005156328;-0.94804635485576|-0.318132219438249|-2131.5293245094;-0.947592334074862|-0.319482031423609|-2130.60213864645;-0.945311976031044|-0.326167545859919|-2125.4748961073;-0.94260643310083|-0.333905843430346|-2117.30944277177;-0.937916179614424|-0.346861989871307|-2097.68820898671;-0.930211021343721|-0.367025143240448|-2054.34611594252;0.947233061989538|0.320545669560399|2193.13297684567,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-05-16 07:30:00,VMAX / bus 13,20110516T073000_C03,142590.671805708,13,12,2.11438913983875,1.48283833231376e-05,0.0166686722272785,142592.786194848,2.11438913983875,1.30305578093706e-07,1.48283833231376e-05,2.27373675443232e-13,1e-08,PASS,1264.03982649|2053.39618271;1368.10603229|1691.36610889;1463.07493597|1369.16410446;1555.84118723|1061.6655429;1652.77806197|748.132330945;1761.2960968|405.859375;1893.14870792|2.6740929574;1973.76685104|-237.872079248;2070.3650095|-519.085609412;2190.99319158|-859.992171545;2349.65248658|-1293.07815552;2577.06824183|-1883.45435796,-0.9610815977339|-0.276264660239515|-1782.12621479579;-0.959201255386418|-0.282724161799305|-1790.47908910598;-0.957382395631146|-0.288823386406932|-1796.1688003838;-0.955379761918321|-0.295380281191708|-1800.01424963186;-0.953236684748707|-0.302224788608237|-1801.59281598852;-0.950466051073274|-0.310828386343937|-1800.20476051008;-0.948166357938947|-0.317774381712548|-1795.86967366151;-0.945757908314715|-0.324872250061737|-1789.42757092835;-0.942722528432029|-0.333577928506553|-1778.62423422782;-0.938973612895115|-0.34398917757205|-1761.45679311831;-0.933161193929576|-0.359458184138195|-1727.7969939646;0.948629436499838|0.316389304822397|1848.77797908914,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-09-30 05:30:00,VMAX / bus 30,20110930T053000_C01,127784.904621301,14,11,1717.66653237911,0.0134418579210864,3.25574069063418,129502.57115368,1717.66653237911,0.00010741890620548,0.0134418579210864,2.27373675443232e-13,1e-08,PASS,-2065.54990926|3192.50461074;-1611.22119295|2927.41932604;-1271.18164062|2740.12119105;-1000.10994762|2597.37833572;-773.96033104|2481.90326715;-578.867840649|2384.79623141;-405.929361618|2300.94741454;-103.28125|2158.0513916;0|2110.625;166.65830794|2035.11676229;971.990284306|1677.64924642,-0.503956413722258|-0.863729085459208|-1716.51196312376;-0.482465248121604|-0.875915112528011|-1786.81259574959;-0.465934405657317|-0.884819263818755|-1832.22475283426;-0.45475970547435|-0.890614175879141|-1858.45226069196;-0.445600528728678|-0.895231907829877|-1877.00186417345;-0.436272905525915|-0.899814398586717|-1893.32963196261;-0.426954655891716|-0.904273034991305|-1907.37127099553;-0.417302868940801|-0.908767470574171|-1918.06734258061;-0.412690436726274|-0.910871342964898|-1922.50782824529;-0.405704540943751|-0.914004280874887|-1927.71946513056;0.446290703818785|0.894888041983428|1935.09847735171,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-09-30 11:30:00,VMAX / bus 30,20110930T113000_C01,119439.462555407,13,12,12.6199102484679,0.000105659469479056,0.0861914368616648,119452.082465656,12.6199102484679,7.7868689190095e-07,0.000105659469479056,4.54747350886464e-13,1e-08,PASS,-1967.28661531|3237.06576069;-1521.33085847|2978.72776558;-1187.06884766|2796.13397552;-919.985415456|2656.03711409;-697.058016566|2542.68979582;-504.711295027|2447.61655081;-334.036373715|2364.92783461;-35.3125|2224.41601562;231.211337661|2103.10217141;486.248846337|1990.47538947;746.971679688|1878.61092928;884.992572525|1820.36597969,-0.501258718892196|-0.865297461416913|-1814.90521668061;-0.479396464354366|-0.87759844460011|-1884.80621929646;-0.464516913923398|-0.885564247629206|-1924.7427225722;-0.453228895645799|-0.891394171033045|-1950.61202768989;-0.443107052696644|-0.896468705449607|-1970.57050633955;-0.436005545773367|-0.899943978286909|-1982.6608524106;-0.425638008596127|-0.904893521713093|-1997.82929995084;-0.414274520888076|-0.910151977058203|-2009.92756539761;-0.403971149972751|-0.914771725617759|-2017.26111245283;-0.394294776592981|-0.918984020074066|-2020.94045550867;-0.388799021007389|-0.921322593483789|-2021.22855129418;0.444840758689847|0.895609680278324|2024.0181604566,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-11-14 19:30:00,VMAX / bus 13,20111114T193000_C02,191462.339321903,15,13,463.407433611341,0.00242035815112558,1.70621045960915,191925.746755515,463.407433611341,2.85211261677249e-05,0.00242035815112558,4.54747350886464e-13,1e-08,PASS,1486.38694927|2586.06409254;1716.49955341|1799.27529144;1798.21812844|1526.03478045;1883.34323358|1247.59165592;1978.01420593|943.984375;2092.27651873|587.286869063;2161.94034841|375.041625247;2244.94715582|127.61998837;2288.28125|0;2347.0991043|-170.561747244;2479.84323913|-546.414642334;2665.45423886|-1050.8559017;2960.46210098|-1803.27578428,-0.959792324361444|-0.280711050899064|-2152.55955404961;-0.958070652113346|-0.286532067243978|-2160.0779152851;-0.956308117869535|-0.292360708195935|-2165.80320307132;-0.954664478388464|-0.297683949354482|-2169.34889702806;-0.952331793143623|-0.305064183030147|-2171.70163774948;-0.950129799190096|-0.311854717281922|-2171.08244910612;-0.948068896108404|-0.318065037738812|-2168.9560282571;-0.946900889067998|-0.321525591955345|-2166.77555006263;-0.945367073478578|-0.326007816443944|-2163.2657486084;-0.942919314398071|-0.333021270394357|-2156.32438850301;-0.938485333004851|-0.345319098421697|-2138.60909641956;-0.930997907524919|-0.365024514497619|-2097.94415365709;0.947970671783153|0.318357669043792|2232.34457132808,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
