timestamp,membership_id,registered_edge_id,owner_cell_id,source_p13_abs_kw,source_p30_abs_kw,direction_p13,direction_p30,direction_norm,registered_facet_id,limiting_facet_id,co_limiting_facet_ids,raw_cap_kw,guarded_cap_kw,grid_cap_kw,grid_endpoint_p13_abs_kw,grid_endpoint_p30_abs_kw,classification,classification_detail,minimum_signed_slack_kw,source_halfspace_membership,source_polygon_membership,grid_halfspace_membership,grid_polygon_membership,source_reconstruction_error_kw,provenance_errors,geometry_detail,direction_immutable,ac_evaluated
2010-07-01 07:30:00,CAL_000012,E0000,0,1787.38429512868,799.65057525691,-0.95382203276439,-0.30037231865338,1,C0:F01,C0:F00,C0:F00,615.779363711446,615.779363611446,615.75,1200.06837845401,614.696320046091,GEOMETRICALLY_CERTIFIED,source and downward-snapped endpoint pass both independent membership checks,2.38031816479634e-12,INSIDE,BOUNDARY,INSIDE,INTERIOR,2.50111042987555e-12,,VALID_CCW_CONVEX_CELL,true,false
2010-07-01 07:30:00,CAL_000013,E0000,0,1782.29416274201,815.814116697285,-0.95382203276439,-0.30037231865338,1,C0:F01,C0:F00,C0:F00,669.591051528882,669.591051428882,669.5,1143.71031180625,614.714849358847,GEOMETRICALLY_CERTIFIED,source and downward-snapped endpoint pass both independent membership checks,2.55795384873636e-13,INSIDE,BOUNDARY,INSIDE,INTERIOR,2.27373675443232e-13,,VALID_CCW_CONVEX_CELL,true,false
2010-07-01 07:30:00,CAL_000014,E0000,0,1777.23345294942,831.884227695663,-0.95382203276439,-0.30037231865338,1,C0:F01,C0:F00,C0:F00,723.091690570532,723.091690470532,723,1087.62012326077,614.715041309269,GEOMETRICALLY_CERTIFIED,source and downward-snapped endpoint pass both independent membership checks,-9.2370555648813e-13,INSIDE,BOUNDARY,INSIDE,INTERIOR,1.13686837721616e-12,,VALID_CCW_CONVEX_CELL,true,false
2010-07-01 07:30:00,CAL_000015,E0000,0,1772.20114714229,847.864142808909,-0.95382203276439,-0.30037231865338,1,C0:F01,C0:F00,C0:F00,776.292049328245,776.292049228245,776.25,1031.79679420893,614.700130454223,GEOMETRICALLY_CERTIFIED,source and downward-snapped endpoint pass both independent membership checks,-1.94688709598267e-12,INSIDE,BOUNDARY,INSIDE,INTERIOR,2.04636307898909e-12,,VALID_CCW_CONVEX_CELL,true,false
2010-07-01 07:30:00,CAL_000016,E0000,0,1767.19624672006,863.757033058977,-0.95382203276439,-0.30037231865338,1,C0:F01,C0:F00,C0:F00,829.202684773344,829.202684673344,829,976.477781558381,614.748380895325,GEOMETRICALLY_CERTIFIED,source and downward-snapped endpoint pass both independent membership checks,-3.68061137123732e-12,INSIDE,BOUNDARY,INSIDE,INTERIOR,3.86535248253495e-12,,VALID_CCW_CONVEX_CELL,true,false
2010-07-01 07:30:00,CAL_000017,E0000,0,1762.21777223385,879.566008652276,-0.95382203276439,-0.30037231865338,1,C0:F01,C0:F00,C0:F00,881.833951409941,881.833951309941,881.75,921.185194843849,614.712716679658,GEOMETRICALLY_CERTIFIED,source and downward-snapped endpoint pass both independent membership checks,4.83169060316868e-12,INSIDE,BOUNDARY,INSIDE,INTERIOR,5.22959453519434e-12,,VALID_CCW_CONVEX_CELL,true,false
2010-07-01 07:30:00,CAL_000018,E0000,0,1757.26476255979,895.294121604883,-0.95382203276439,-0.30037231865338,1,C0:F01,C0:F00,C0:F00,934.196010014804,934.196009914804,934,866.39498395785,614.746375982626,GEOMETRICALLY_CERTIFIED,source and downward-snapped endpoint pass both independent membership checks,1.60582658281783e-12,INSIDE,BOUNDARY,INSIDE,INTERIOR,1.81898940354586e-12,,VALID_CCW_CONVEX_CELL,true,false
2010-07-01 07:30:00,CAL_000019,E0000,0,1752.33627410032,910.944368278544,-0.95382203276439,-0.30037231865338,1,C0:F01,C0:F00,C0:F00,986.298836080214,986.298835980214,986.25,811.62929428644,614.702169006648,GEOMETRICALLY_CERTIFIED,source and downward-snapped endpoint pass both independent membership checks,4.16378043155419e-12,INSIDE,BOUNDARY,INSIDE,INTERIOR,4.32009983342141e-12,,VALID_CCW_CONVEX_CELL,true,false
2010-07-01 07:30:00,CAL_000020,E0000,0,1747.43138001226,926.519691832151,-0.95382203276439,-0.30037231865338,1,C0:F01,C0:F00,C0:F00,1038.15222797543,1038.15222787543,1038,757.364110002823,614.733225069943,GEOMETRICALLY_CERTIFIED,source and downward-snapped endpoint pass both independent membership checks,-1.94688709598267e-12,INSIDE,BOUNDARY,INSIDE,INTERIOR,2.04636307898909e-12,,VALID_CCW_CONVEX_CELL,true,false
2010-07-01 07:30:00,CAL_000021,E0001,1,1742.54916946,942.022984593,-0.955901205885541,-0.293688414117018,1,C1:F01,C1:F00,C1:F00,0,0,0,1742.54916946,942.022984593,NO_POSITIVE_FULL_CELL_MOVEMENT,no positive guarded line interval exists in the owner cell,0,INSIDE,BOUNDARY,INSIDE,BOUNDARY,0,,VALID_CCW_CONVEX_CELL,true,false
