rank,bus,delta_v2,coefficient_pu_per_pu,coefficient_v2_per_kw,controlling,linear_axis_limit_kw
1,13,0.0572514730136673,0.893822890071851,8.93822890071851e-05,true,640.523683713952
2,14,0.0578987359436482,0.893822890071851,8.93822890071851e-05,true,647.765195843149
3,15,0.0583015672922023,0.893822890071851,8.93822890071851e-05,true,652.272032186551
4,16,0.0586915206492786,0.893822890071851,8.93822890071851e-05,true,656.634790865119
5,17,0.0592688384101248,0.893822890071851,8.93822890071851e-05,true,663.093763523558
6,18,0.0594417200379072,0.893822890071851,8.93822890071851e-05,true,665.027945671976
7,12,0.0696854698627665,0.710638425312399,7.10638425312399e-05,true,980.603741377093
8,11,0.0728606184232312,0.663918899695275,6.63918899695275e-05,true,1097.43250955309
9,10,0.0745046530234925,0.639386157343975,6.39386157343975e-05,true,1165.25283144988
10,9,0.0828243524046151,0.509110557065455,5.09110557065455e-05,true,1626.84413542748
11,8,0.0908217772560169,0.380581947595267,3.80581947595267e-05,true,2386.39215101716
12,7,0.0961897822252373,0.291809857520421,2.91809857520421e-05,true,3296.31709643345
13,6,0.09689616708352,0.268450094711859,2.68450094711859e-05,true,3609.46667526877
14,26,0.0974528850124012,0.268450094711859,2.68450094711859e-05,true,3630.20490333603
15,27,0.0981916835075907,0.268450094711859,2.68450094711859e-05,true,3657.72579119351
16,28,0.101484449771167,0.268450094711859,2.68450094711859e-05,true,3780.38420437496
17,29,0.103845473650284,0.268450094711859,2.68450094711859e-05,true,3868.33440166026
18,30,0.104865874071451,0.268450094711859,2.68450094711859e-05,true,3906.34520669506
19,31,0.106056266874198,0.268450094711859,2.68450094711859e-05,true,3950.68837610332
20,32,0.10631801568507,0.268450094711859,2.68450094711859e-05,true,3960.43874743969
21,33,0.106399099529361,0.268450094711859,2.68450094711859e-05,true,3963.45919130944
22,5,0.0992790932664727,0.166251132424399,1.66251132424399e-05,true,5971.63410671015
23,4,0.100733113894531,0.11869554692043,1.1869554692043e-05,true,8486.68012474468
24,3,0.1020118225423,0.0730242157883046,7.30242157883046e-06,true,13969.5882305713
25,23,0.103099902568881,0.0730242157883046,7.30242157883046e-06,true,14118.5908613883
26,24,0.105121283331256,0.0730242157883046,7.30242157883046e-06,true,14395.4005115235
27,25,0.106126686112151,0.0730242157883046,7.30242157883046e-06,true,14533.0812479807
28,2,0.102510136297703,0.0115051823234479,1.15051823234479e-06,true,89099.0976203695
29,19,0.102673846602374,0.0115051823234479,1.15051823234479e-06,true,89241.3902847262
30,20,0.103781116452821,0.0115051823234479,1.15051823234479e-06,true,90203.7999357147
31,21,0.103999050724795,0.0115051823234479,1.15051823234479e-06,true,90393.2226374563
32,22,0.104196169766452,0.0115051823234479,1.15051823234479e-06,true,90564.5532918653
33,1,0.1025,0,0,false,Inf
