file,compared_rows,scientific_mismatches,maximum_numerical_discrepancy,excluded_fields,reproducible
export_side_axis_capacity_bounds.csv,192,0,0,,true
export_side_axis_scan_points.csv,3691,0,0,allocated_bytes;assembly_ms;bookkeeping_ms;classification_ms;gc_time_ms;primary_power_flow_ms;replay_ms;residual_audit_ms;total_evaluation_ms,true
