timestamp,axis,axis_bus,baseline_status,baseline_power_flow_status,baseline_voltage_status,baseline_replay_status,axis_status,initial_step_kW,doubling_steps,bisection_steps,evaluation_count,safe_lower_kW,violating_upper_kW,axis_capacity_kW,capacity_tolerance_kW,bracket_width_kW,safe_Vmin_pu,safe_Vmin_bus,safe_Vmax_pu,safe_Vmax_bus,safe_vmax_bus_set,safe_upper_limit_near_binding_bus_set,safe_voltage_margin_pu,violating_Vmin_pu,violating_Vmin_bus,violating_Vmax_pu,violating_Vmax_bus,violating_vmax_bus_set,violating_upper_limit_near_binding_bus_set,violating_voltage_excess_pu,binding_tolerance_pu,safe_P_sub_kW,safe_Q_sub_kvar,safe_active_loss_kW,safe_reactive_loss_kvar,violating_P_sub_kW,violating_Q_sub_kvar,violating_active_loss_kW,violating_reactive_loss_kvar,safe_replay_status,violating_replay_status,monotonic_Vmax_check,monotonic_status_check,maximum_residual,maximum_primary_replay_voltage_difference,voltage_margin_tolerance_pu,power_stopping_criterion_met,voltage_stopping_criterion_met
2012-10-15 02:30:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1400.38085938,1400.60760498,1400.38085938,1,0.226745605469,0.999749825729,22,1.04999354431,13,13,13,6.45568759605e-06,0.999749939054,22,1.05000246352,13,13,13,2.46351516076e-06,1e-05,-880.690563741,327.878237932,65.6695879937,46.715946448,-880.895328142,327.893835882,65.6915691981,46.7315443978,PASSED,PASSED,true,true,1.62171451523e-14,2.54907206454e-13,1e-05,true,true
2012-10-15 02:30:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,12,20,1998.08227539,1998.5357666,1998.08227539,1,0.453491210938,1,1,1.04999455764,30,30,30,5.44236219069e-06,1,1,1.05000703583,30,30,30,7.03582830441e-06,1e-05,-1449.16182898,348.783566942,94.8997387722,67.6212754577,-1449.57093554,348.815004289,94.9441234207,67.6527128051,PASSED,PASSED,true,true,1.74705033898e-14,2.29372076888e-13,1e-05,true,true
2012-10-15 03:00:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1405.5960083,1405.82275391,1405.5960083,1,0.226745605469,0.999728167845,22,1.04999552453,13,13,13,4.47546632287e-06,0.999728281149,22,1.05000444211,13,13,13,4.44210973161e-06,1e-05,-874.591141292,334.90588998,65.9259659559,46.90320371,-874.795878232,334.921508789,65.9479746209,46.9188225188,PASSED,PASSED,true,true,1.61916751238e-14,2.55573340269e-13,1e-05,true,true
2012-10-15 03:00:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,12,20,2005.33813477,2005.79162598,2005.33813477,1,0.453491210938,1,1,1.04999416837,30,30,30,5.83163011458e-06,1,1,1.05000664437,30,30,30,6.64437376607e-06,1e-05,-1444.99584083,355.90065935,95.2633928831,67.8979730799,-1445.40488403,355.932145904,95.3078408964,67.929459634,PASSED,PASSED,true,true,1.74398921532e-14,2.30038210702e-13,1e-05,true,true
2012-10-15 03:30:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1394.03198242,1394.25872803,1394.03198242,1,0.226745605469,0.999776759276,22,1.04999272927,13,13,13,7.27073404594e-06,0.999776872625,22,1.05000165046,13,13,13,1.65045616374e-06,1e-05,-888.306719144,319.149832242,65.3583595915,46.4883862128,-888.511517031,319.165404721,65.3803073106,46.5039586923,PASSED,PASSED,true,true,1.62489932159e-14,2.53574938824e-13,1e-05,true,true
2012-10-15 03:30:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,12,20,1989.01245117,1989.46594238,1989.01245117,1,0.453491210938,1,1,1.04999241517,30,30,30,7.58483090224e-06,1,1,1.05000489614,30,30,30,4.89614050947e-06,1e-05,-1454.2028409,339.935547348,94.4427065895,67.2741013191,-1454.61202821,339.966922185,94.4870104835,67.3054761559,PASSED,PASSED,true,true,1.74041624059e-14,2.28483898468e-13,1e-05,true,true
2012-10-15 04:00:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1390.85754395,1391.08428955,1390.85754395,1,0.226745605469,0.999790287883,22,1.04999383096,13,13,13,6.16904226058e-06,0.999790401243,22,1.05000275311,13,13,13,2.75311362197e-06,1e-05,-892.161144253,314.775049806,65.2073384135,46.3778176233,-892.365958353,314.790609921,65.2292699197,46.3933777387,PASSED,PASSED,true,true,1.16208140337e-14,2.53352894219e-13,1e-05,true,true
2012-10-15 04:00:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,12,20,1984.47753906,1984.93103027,1984.47753906,1,0.453491210938,1,1,1.04999207871,30,30,30,7.92129213689e-06,1,1,1.05000456106,30,30,30,4.56105693036e-06,1e-05,-1456.77122094,335.499815398,94.217256841,67.1025832158,-1457.18044819,335.531159262,94.2615208002,67.1339270798,PASSED,PASSED,true,true,1.75317714931e-14,2.28039809258e-13,1e-05,true,true
2012-10-15 04:30:00,P13_VPP,13,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,6,12,19,1387.45635986,1387.68310547,1387.45635986,1,0.226745605469,0.99980443258,22,1.04999394446,13,13,13,6.05553714195e-06,0.999804545953,22,1.05000286765,13,13,13,2.86765083879e-06,1e-05,-896.170724255,310.195386552,65.047714846,46.2609603228,-896.375555719,310.210933447,65.0696289873,46.2765072177,PASSED,PASSED,true,true,1.16335269395e-14,2.524647158e-13,1e-05,true,true
2012-10-15 04:30:00,P30_VPP,30,SAFE,CONVERGED,WITHIN_LIMITS,PASSED,VALID_REFINED_BOUND,58.046875,7,13,21,1979.94262695,1980.16937256,1979.94262695,1,0.226745605469,1,1,1.04999818466,30,30,30,1.81533969679e-06,1,1,1.05000442651,30,30,30,4.42651123622e-06,1e-05,-1459.69993969,330.873973975,94.0047665024,66.9395477456,-1459.90457293,330.889630585,94.0268788684,66.9552043558,PASSED,PASSED,true,true,1.74473226738e-14,2.27373675443e-13,1e-05,true,true
