timestamp,axis,axis_bus,point_index,search_phase,axis_injection_kW,reference_pv_kw,vpp_p13_kw,vpp_p30_kw,H_kW,pv_factor,P_sub_kW,Q_sub_kvar,active_loss_kW,reactive_loss_kvar,Vmin_pu,Vmin_bus,Vmax_pu,Vmax_bus,vmax_bus_set,upper_limit_near_binding_bus_set,power_flow_status,voltage_status,replay_status,maximum_residual,primary_replay_max_voltage_difference_pu,iterations,replay_iterations,warm_start_source,assembly_ms,primary_power_flow_ms,replay_ms,residual_audit_ms,classification_ms,bookkeeping_ms,total_evaluation_ms,allocated_bytes,gc_time_ms,axis_status,monotonic_Vmax_check,monotonic_status_check
2012-10-15 00:00:00,P13_VPP,13,12,refinement,1422.1484375,0.0270705851706,1422.1484375,0,850,3.18477472595e-05,-823.521485475,376.763279971,66.0520342904,47.0231526134,0.999588328098,22,1.04940541393,13,13,,CONVERGED,WITHIN_LIMITS,PASSED,8.33418931826e-15,1.3433698598e-13,18,24,nearest_bracket_endpoint,0.0015,0.1273,0.1429,0.0023,0.0005,0.0047,0.2792,144878,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P13_VPP,13,13,refinement,1436.66015625,0.0270705851706,1436.66015625,0,850,3.18477472595e-05,-836.621822968,377.765451146,67.4634155476,48.0253237879,0.999595577958,22,1.04997592806,13,13,,CONVERGED,WITHIN_LIMITS,PASSED,8.77925847305e-15,2.09166017839e-13,17,24,nearest_bracket_endpoint,0.0015,0.1233,0.1454,0.0027,0.0004,0.004,0.2773,141758,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P13_VPP,13,14,refinement,1443.91601562,0.0270705851706,1443.91601562,0,850,3.18477472595e-05,-843.16673194,378.27025172,68.1743659503,48.5301243621,0.999599198778,22,1.05026090263,13,13,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,8.96364370024e-15,9.92539384015e-14,17,24,nearest_bracket_endpoint,0.0014,0.1244,1.6154,0.0144,0.0013,0.0153,1.7722,141790,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P13_VPP,13,15,refinement,1440.28808594,0.0270705851706,1440.28808594,0,850,3.18477472595e-05,-839.894715221,378.017542238,67.8184529826,48.2774148799,0.99959738871,22,1.05011843885,13,13,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,8.86182328899e-15,1.51878509769e-13,16,24,nearest_bracket_endpoint,0.0025,0.1743,0.3254,0.0125,0.0011,0.016,0.5318,138670,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P13_VPP,13,16,refinement,1438.47412109,0.0270705851706,1438.47412109,0,850,3.18477472595e-05,-838.258378577,377.891419364,67.6408247825,48.1512920061,0.99959648342,22,1.05004718934,13,13,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,8.82369786041e-15,2.30260255307e-13,15,24,nearest_bracket_endpoint,0.003,0.1726,0.1733,0.0054,0.0004,0.008,0.3627,135454,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P13_VPP,13,17,refinement,1437.56713867,0.0270705851706,1437.56713867,0,850,3.18477472595e-05,-837.440128148,377.828415919,67.5520927892,48.0882885615,0.99959603071,22,1.05001156017,13,13,,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,8.72383174273e-15,1.08579811808e-13,15,24,nearest_bracket_endpoint,0.0024,0.1238,0.1506,0.0027,0.0003,0.0046,0.2844,135502,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P13_VPP,13,18,refinement,1437.11364746,0.0270705851706,1437.11364746,0,850,3.18477472595e-05,-837.030982403,377.796928698,67.5077473238,48.0568013403,0.99959580434,22,1.04999374448,13,13,13,CONVERGED,WITHIN_LIMITS,PASSED,8.78560427815e-15,1.68975944348e-13,14,24,nearest_bracket_endpoint,0.0015,0.1086,0.1471,0.0022,0.0005,0.0038,0.2637,132398,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P13_VPP,13,19,refinement,1437.34039307,0.0270705851706,1437.34039307,0,850,3.18477472595e-05,-837.235556987,377.8126711,67.5299183454,48.0725437424,0.999595917526,22,1.05000265242,13,13,13,CONVERGED,UPPER_VOLTAGE_VIOLATION,PASSED,8.70459556903e-15,2.61790589207e-13,13,24,nearest_bracket_endpoint,0.0019,0.1016,0.144,0.0033,0.0004,0.0045,0.2557,129246,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,1,baseline,0,0.0270705851706,0,0,850,3.18477472595e-05,536.265318942,332.196275503,3.69040120766,2.45614814518,0.98834111464,18,1,1,1,,CONVERGED,WITHIN_LIMITS,PASSED,2.55351295664e-15,6.0729199447e-14,19,21,flat_start_axis_baseline,0.0063,0.2637,0.1649,0.0086,0.0013,0.0188,0.4636,142414,0,VALID_REFINED_BOUND,true,true
2012-10-15 00:00:00,P30_VPP,30,2,doubling,58.046875,0.0270705851706,0,58.046875,850,3.18477472595e-05,477.532335997,331.747360968,3.00429326269,2.00723360976,0.989136938652,18,1,1,1,,CONVERGED,WITHIN_LIMITS,PASSED,1.99840144433e-15,2.26485497024e-14,18,21,previous_doubling_point,0.002,0.1507,0.1418,0.0053,0.0006,0.0056,0.306,139278,0,VALID_REFINED_BOUND,true,true
