timestamp,number_of_blocked_edges,edge_ids
2010-07-02 17:30:00,1,E0044
2010-07-02 18:00:00,1,E0044
2010-12-21 11:30:00,1,E0019
2011-02-05 18:00:00,1,E0021
2011-03-08 11:30:00,1,E0019
2011-03-08 12:30:00,1,E0019
2011-05-11 17:30:00,1,E0019
2011-05-16 07:30:00,1,E0045
2011-11-14 17:30:00,1,E0019
2011-12-15 05:30:00,1,E0019
2012-08-04 03:30:00,1,E0019
2012-08-24 12:00:00,1,E0019
2012-10-15 13:00:00,2,E0019;E0046
2013-04-17 05:30:00,1,E0019
