group_dimension,group,excluded_count,delta_r_kw_min,delta_r_kw_q1,delta_r_kw_median,delta_r_kw_q3,delta_r_kw_max,relative_radial_loss_min,relative_radial_loss_q1,relative_radial_loss_median,relative_radial_loss_q3,relative_radial_loss_max,delta_r_over_bracket_min,delta_r_over_bracket_q1,delta_r_over_bracket_median,delta_r_over_bracket_q3,delta_r_over_bracket_max
ALL,ALL_EXCLUDED,870,0.018798495731744,81.2641903534135,120.603283230129,195.628262170867,2317.40180430404,1.14424418085761e-05,0.0397968919227587,0.0611976626595725,0.0911678567578187,0.639811133682851,0.120310372683161,221.413872868286,351.685188098215,582.952801585191,8710.7309195311
BINDING_FAMILY,VMAX,851,42.2045909359445,82.0016640082359,120.233143753523,193.35868949929,1705.29571092938,0.0184803524085577,0.0403331754079706,0.0611910818914909,0.090651583892932,0.556754586088796,71.0510821776108,222.639427693798,350.272067657575,572.243893506302,3218.67960942492
BINDING_FAMILY,VMIN,19,0.018798495731744,2.89939528103832,537.724341604991,1349.57650049294,2317.40180430404,1.14424418085761e-05,0.00140506550523192,0.232144582609496,0.494230514820124,0.639811133682851,0.120310372683161,14.6997970005293,1237.79491880632,4715.66499087312,8710.7309195311
PRIMARY_CLASS,VMAX_BUS_13,429,42.2045909359445,81.2182036156426,119.877638828169,216.983240153543,1705.29571092938,0.026981141786159,0.0495937063345244,0.0722685826106914,0.109199492981577,0.556754586088796,120.768216112473,266.02523933512,424.182668188551,644.089726656117,3218.67960942492
PRIMARY_CLASS,VMAX_BUS_30,422,43.2659068720936,82.3976352501144,121.112760215439,182.540719068073,433.310102141746,0.0184803524085577,0.0331327752321236,0.0499226960297065,0.0770425349049576,0.171676811653767,71.0510821776108,188.338417288754,280.597058500747,478.76097983082,1539.15057084582
PRIMARY_CLASS,VMIN_BUS_18,4,0.018798495731744,0.160340090597458,1.61091209543883,3.12173313246592,3.44402182388876,1.14424418085761e-05,7.93383288708549e-05,0.000849583907026911,0.00170289391269195,0.00201998308228117,0.120310372683161,0.997291284387946,10.1872658589385,19.8519737972326,22.1531548001682
PRIMARY_CLASS,VMIN_BUS_33,15,0.0805929247485437,119.995766537175,775.144610131978,1559.44162209853,2317.40180430404,3.49955650533593e-05,0.0524787548765465,0.325735088844549,0.538076956345612,0.639811133682851,0.25789735919534,573.552931043023,3835.9513039876,5240.78202969082,8710.7309195311
SEARCH_KIND,RAY,803,0.207520622219363,84.0407804889875,130.411519063978,200.652645308891,2317.40180430404,0.000101970291224948,0.0410196536496963,0.064049850840041,0.0929247195736934,0.639811133682851,1.28961825495621,223.277042813964,355.422061916415,590.664538309487,8710.7309195311
SEARCH_KIND,SIGNED_AXIS,67,0.018798495731744,63.1769535822725,83.9036532664541,112.930945548946,641.54598294415,1.14424418085761e-05,0.0328830396384177,0.0424669976833213,0.0552944050442669,0.274303643291262,0.120310372683161,208.378091012699,321.511550763625,399.217479618866,4105.89429084256
TIMESTAMP,2010-07-01 07:30:00,37,42.2717653910647,73.6443123799374,159.537080836504,775.144610131978,2317.40180430404,0.0189869191173025,0.0369586702055493,0.0838322713679358,0.325735088844549,0.639811133682851,71.0510821776108,215.287998444495,544.573035654729,3218.67960942492,8710.7309195311
TIMESTAMP,2010-07-02 17:30:00,28,48.9237250189353,73.9464249241591,107.695441043633,167.907119737674,467.276166937029,0.0208529305151196,0.0413677037286935,0.0645020394717867,0.0954938768962812,0.156153296969274,113.627619589063,199.38212648342,267.210121423265,429.348468291512,1296.54082901789
TIMESTAMP,2010-07-02 18:00:00,28,51.9307843761585,77.6764164358724,114.122775641258,179.370387688302,494.959242497189,0.0218006800839328,0.0430289888504107,0.0638944847764387,0.0992900416207796,0.161955062045685,120.753965679101,216.419747522864,374.700738043074,540.741921066193,1217.73951169267
TIMESTAMP,2010-07-03 00:00:00,26,61.2667423821167,84.8476517332941,126.772270847658,193.224583868436,429.010726648419,0.0244780414063727,0.0422324283538234,0.0590228349243774,0.08585541467814,0.142865893579764,140.601870620142,221.599555083696,325.240204855181,471.454529916108,1192.11145689664
TIMESTAMP,2010-11-26 18:00:00,26,56.8833917097675,77.8663952843617,118.434898217842,177.353967393199,407.17422926545,0.0219881315123855,0.0375043053072099,0.0555754702743706,0.0830666804482862,0.137780938247207,132.368551342275,217.62434918479,332.376743018264,525.200211650668,1391.72524314573
TIMESTAMP,2010-12-21 11:30:00,26,65.7527874250791,94.4374956216671,135.084978436931,202.889505697506,468.042341264087,0.0242831848069886,0.0446465977246736,0.0610701043897035,0.0901184089005507,0.150472585436647,152.911217197744,342.966073368716,492.155703744383,618.126407788342,1303.30886627282
TIMESTAMP,2010-12-21 12:00:00,26,66.479949860839,94.510928453128,135.286987474989,203.079807832865,467.693499281017,0.0245944889174323,0.0448947497169073,0.0609800386656988,0.0900688571894943,0.15011213299136,111.24348755262,240.372405676929,377.605977373379,601.655995134695,1302.16112166914
TIMESTAMP,2011-01-21 18:00:00,30,0.0805929247485437,57.2410371224084,88.5466654978978,151.974849754919,366.811863841103,3.49955650533593e-05,0.0287235501916463,0.045302881977197,0.0772332954069562,0.129090575380572,0.25789735919534,186.476170236016,272.098472122416,487.869246966206,985.853042613443
TIMESTAMP,2011-02-05 11:30:00,28,46.9802036836318,70.7298953326185,102.152772772127,163.686903887652,439.919168211521,0.0202804141814228,0.0400998164748596,0.0634578009418133,0.0913861538338519,0.150005282997011,109.007226158706,198.283527191158,265.78959753192,549.797952944376,915.393398684387
TIMESTAMP,2011-02-05 17:30:00,31,72.805880439234,104.634110796466,131.032983841834,222.126667089234,697.189976958874,0.0296551049091743,0.0612144729893779,0.0897541958045025,0.129020174160696,0.207820851628869,120.768216112473,267.538320958827,365.335329458212,630.155778741536,1079.28450647877
TIMESTAMP,2011-02-05 18:00:00,31,73.7261449384514,98.9143865552423,124.923944078965,218.688107061843,659.81783566991,0.0304495045085966,0.0585888524824843,0.0882711731176459,0.124767038121865,0.199663545172884,146.874063117721,249.978453548524,332.753116405723,546.410785892275,1805.20231697388
TIMESTAMP,2011-02-06 00:00:00,26,42.2045909359445,57.003085409278,94.0878528670388,151.606838954777,320.860084568835,0.0184803524085577,0.0327376603294892,0.0495430466570899,0.0728387447973082,0.118360205107712,84.2631343362183,174.641863254091,289.943385484026,458.364069766919,658.872687923117
TIMESTAMP,2011-03-04 18:00:00,26,56.1134565886143,77.4189451751607,118.707658457411,184.7707198619,406.449418482706,0.0233095208845078,0.0376531294481876,0.0567959021486593,0.0831019719176024,0.136830345978146,131.605554232563,227.067899884318,343.327099525457,544.995519557141,1382.12333171818
TIMESTAMP,2011-03-08 11:30:00,26,67.8379211888696,96.8211015256153,137.235460828377,204.976311909334,473.207700902198,0.0251797370193683,0.0455706995422612,0.0618366012102549,0.0907199177562115,0.151120773788698,155.665963162063,250.578429693121,381.571769609953,638.921959655066,1052.86670203374
TIMESTAMP,2011-03-08 12:30:00,26,66.1937055966723,94.0636736705155,135.317368683847,200.866908011467,462.800446350686,0.0252705648960228,0.0453334941483024,0.0610309156937768,0.0893480058422664,0.14902198256433,151.805206083709,308.5092007546,468.026050840659,711.374297817249,1587.38215631703
TIMESTAMP,2011-05-11 17:30:00,28,68.8804077461546,89.6642192254906,134.011345588006,206.325755616698,538.427552571289,0.0277048084479723,0.0451497647196536,0.0701532459621228,0.106570430352815,0.171443740677742,160.743297769599,233.957357148112,344.066675485136,568.009518273116,1440.53341657809
TIMESTAMP,2011-05-11 18:00:00,28,66.7600440230558,88.9717727592666,132.947215002493,205.23573442056,529.981950018439,0.0269201822162092,0.0448972130340328,0.0689928853219774,0.105343853566323,0.171340372019975,155.76017493873,227.992145596765,422.595602420293,581.318695669888,1539.15057084582
TIMESTAMP,2011-05-16 07:30:00,30,0.018798495731744,56.9672817795903,86.9941898122796,148.601383280142,362.036022786638,1.14424418085761e-05,0.0280946901830967,0.0448951964049525,0.0766730345463968,0.127439085575067,0.120310372683161,154.617974072949,268.49907174018,567.090420931196,963.660096446571
TIMESTAMP,2011-09-11 00:00:00,26,64.6198676078848,90.1407538163703,131.590869563756,198.03157959486,452.397950033079,0.0240909599698165,0.0440029847920721,0.0598479874280135,0.0884004965482081,0.147339882254054,149.043544241817,251.819255398088,392.756022607453,547.862970985652,1008.96000711608
TIMESTAMP,2011-09-30 05:30:00,25,46.5153796556483,77.9605330931015,117.496499687129,170.695592844592,348.032189027079,0.0251576641750411,0.0336852387147483,0.052925947009476,0.0759018987421823,0.105117539727941,150.391315415051,189.489299685726,337.970524517833,506.297819497205,1137.05641332512
TIMESTAMP,2011-09-30 11:30:00,26,63.2026778271206,90.6726559045267,131.46864375488,196.968058615801,460.534204363863,0.0235003486497821,0.0436556606284993,0.0596428389941871,0.089257551766516,0.148832983353271,146.877178148889,288.479024247776,358.643339311546,637.021833357206,1580.30858734757
TIMESTAMP,2011-11-14 17:30:00,28,62.2662407417333,88.5024677009575,131.216032741514,206.202006370046,539.461791083233,0.0250602231592201,0.0453984088850568,0.0684488053847909,0.103370086187791,0.171676811653767,107.200870524688,224.971819519492,325.774329570417,543.747323965255,987.449973423607
TIMESTAMP,2011-11-14 19:30:00,28,64.4428310329504,86.2659084868666,128.453755124162,201.568853281612,507.245387915463,0.0262413339478094,0.0439741983237157,0.0672733186159488,0.103085297314795,0.171250972580669,150.389085930657,219.605782356111,333.144561556994,650.997709473628,1117.36369828496
TIMESTAMP,2011-12-15 05:30:00,25,47.5637614207608,77.335447434185,119.671074640202,170.616415271923,346.390739739908,0.0242827964337767,0.0351882285824965,0.0546894193414197,0.07680260351602,0.107062431854696,153.82642539592,193.100720687875,271.710141306704,582.31256293612,948.848297938168
TIMESTAMP,2012-08-04 03:30:00,25,47.4900809227277,80.1100277776607,119.877638828169,175.324052412079,352.353992391491,0.0251692166307343,0.0356065560338805,0.0554504564811623,0.0771225120346034,0.108211221818499,153.595709944648,250.419805192994,354.808365898733,448.006389273337,1067.91516485928
TIMESTAMP,2012-08-05 23:30:00,26,65.2408527950774,91.5571104096327,133.610951720353,198.905684608433,457.27104727127,0.0249091340691042,0.044925628840308,0.0604958205341401,0.0888726849551307,0.14804468609203,149.564074159759,242.950214828877,354.537322002296,610.231453162525,1272.39089305091
TIMESTAMP,2012-08-24 12:00:00,26,67.490837510958,96.8330903312975,137.09124023838,204.40865396356,472.880180791048,0.0252139811679204,0.0455353045792703,0.0618329237164393,0.0904976991998302,0.150925777669081,154.869515525636,243.110318797871,381.089703184422,618.14560686283,1051.57446955943
TIMESTAMP,2012-08-31 11:30:00,26,66.8957087645376,96.2029288170536,137.329785594537,205.655414858987,477.483413711595,0.0246097115078412,0.0451889346660072,0.0626097974467516,0.0913733338793071,0.1520200264963,155.631813659302,244.910169675759,363.721595718529,686.560963514539,1330.03737326595
TIMESTAMP,2012-09-03 07:00:00,26,52.5464084522578,71.3161418223984,112.521598749369,174.520514394947,383.997769388558,0.0224193387899843,0.0354342150820658,0.0546058609864622,0.0798853931224731,0.132222365124037,124.517009421932,200.948479249929,285.526776482539,495.777991796537,1064.20464091413
TIMESTAMP,2012-10-15 13:00:00,25,47.0129187486373,79.7514963336885,118.773651516781,174.020622580946,353.118459144881,0.0253590635511416,0.034936581358255,0.0551383536073715,0.0772923842019038,0.107733899530233,152.037436299689,180.386607158842,341.751566505145,535.107927906112,1068.55049304832
TIMESTAMP,2013-04-07 02:00:00,26,60.6107524916706,83.403899736468,126.235653688579,191.418115335613,423.806303383973,0.0241199771719529,0.0419244062867577,0.0583933575501707,0.0851468521135218,0.141912380964939,140.540831431678,230.689675010455,319.38854384435,721.599193383442,1159.2143988302
TIMESTAMP,2013-04-17 05:30:00,25,49.4810200104087,76.8337561277206,123.886740524571,171.050170280686,368.399515514582,0.0265356905598379,0.0374850267845496,0.0573351666157709,0.0787883624330834,0.112348786385058,160.121873955628,240.316507433178,361.816189320922,528.595874206299,1038.88984786545
